,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,41.8,28.4,79.3,32.7,22.0,64.1,36.97106977083568
root,54.7,55.60000000000001,53.800000000000004,40.300000000000004,44.3,37.0,46.95114482097322
haunt,56.10000000000001,65.7,48.9,15.6,18.6,13.4,29.583103285490523
frame,35.6,38.3,33.300000000000004,36.5,34.8,38.4,36.047191291416866
regain,86.5,98.1,77.4,32.6,50.6,24.099999999999998,53.10273062658831
cultivate,22.7,15.9,39.300000000000004,28.599999999999998,22.6,39.2,25.479795917550046
presume,84.8,84.8,84.8,17.2,17.2,17.2,38.191098439296034
reap,34.2,21.5,83.89999999999999,10.299999999999999,5.8999999999999995,40.9,18.768590783540464
accommodate,64.7,100.0,47.8,61.6,100.0,44.5,63.13097496475086
sniff,42.1,37.5,48.0,53.5,47.4,61.3,47.45892961287686
mean,52.31999999999999,54.58,59.65,32.89,36.339999999999996,38.01,39.56846295133189
