,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,28.599999999999998,17.299999999999997,82.39999999999999,33.0,21.099999999999998,75.3,30.72132809629167
root,55.900000000000006,60.3,52.1,38.1,47.9,31.6,46.14964788598067
haunt,44.800000000000004,37.1,56.49999999999999,21.3,17.4,27.6,30.89077532209252
frame,39.5,34.0,47.099999999999994,46.400000000000006,42.5,51.2,42.81121348431974
regain,51.0,36.1,86.7,24.7,16.5,48.699999999999996,35.4922526757601
cultivate,23.400000000000002,15.9,44.0,24.2,19.3,32.300000000000004,23.79663841806233
presume,57.9,47.8,73.3,12.3,9.700000000000001,17.0,26.686513447807304
reap,33.1,19.8,100.0,23.9,13.600000000000001,100.0,28.1263221911433
accommodate,62.3,86.4,48.699999999999996,47.599999999999994,66.7,37.1,54.456220948574824
sniff,43.6,37.5,52.2,49.6,44.9,55.400000000000006,46.503333213867585
mean,44.010000000000005,39.21999999999999,64.30000000000001,32.11,29.959999999999997,47.620000000000005,36.563424568390005
