,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,20.8,12.3,66.7,19.900000000000002,12.7,46.1,20.345023961647232
root,48.9,54.0,44.7,31.3,40.1,25.7,39.12249992012269
haunt,41.3,27.1,86.4,46.2,32.0,82.69999999999999,43.681346133103546
frame,48.3,44.7,52.5,46.9,45.5,48.5,47.59485266286681
regain,65.60000000000001,57.4,76.5,8.7,7.3999999999999995,10.5,23.88974675462258
cultivate,16.3,10.100000000000001,41.199999999999996,27.3,20.7,39.900000000000006,21.094786085665813
presume,27.0,16.3,78.9,15.299999999999999,9.5,39.7,20.324861623145186
reap,21.6,12.4,83.3,9.3,5.2,40.9,14.173214173221261
accommodate,31.2,22.7,50.0,54.300000000000004,43.2,72.8,41.160174926741995
sniff,49.0,37.5,70.6,60.9,52.0,73.6,54.62691644235468
mean,37.0,29.45,65.08000000000001,32.01,26.830000000000002,48.04,32.60134226834918
