,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,25.7,16.0,65.0,20.7,13.4,46.1,23.064908410830512
root,29.2,20.599999999999998,50.0,41.5,33.7,53.800000000000004,34.81091782760116
haunt,32.4,24.3,48.6,9.6,7.199999999999999,14.299999999999999,17.636326148038883
frame,23.5,21.3,26.3,27.200000000000003,25.2,29.599999999999998,25.282404948896772
regain,22.7,13.900000000000002,62.5,14.7,9.3,35.0,18.267183690979845
cultivate,18.2,11.600000000000001,42.1,31.2,23.799999999999997,45.0,23.829393613770367
presume,29.599999999999998,18.5,73.9,12.8,8.0,32.2,19.4648400969543
reap,28.599999999999998,17.4,80.80000000000001,8.799999999999999,5.1,34.2,15.86442561204155
accommodate,29.4,22.7,41.699999999999996,49.1,40.9,61.4,37.99394688631335
sniff,32.7,25.0,47.099999999999994,43.2,37.9,50.1,37.585103432077986
mean,27.2,19.13,53.8,25.880000000000003,20.45,40.17,25.379945066750473
