,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,38.800000000000004,24.7,90.9,37.4,24.2,82.0,38.093569011054875
root,42.199999999999996,36.5,50.0,28.000000000000004,27.400000000000002,28.7,34.374409085830116
haunt,33.7,22.900000000000002,64.0,31.4,22.0,55.1,32.529678756483285
frame,48.1,55.300000000000004,42.6,32.2,35.9,29.099999999999998,39.35505050180981
regain,30.099999999999998,18.5,80.0,21.6,13.8,48.699999999999996,25.498235233050934
cultivate,22.0,14.499999999999998,45.5,25.6,20.200000000000003,34.9,23.731835158706122
presume,23.9,14.099999999999998,76.5,16.3,9.9,45.300000000000004,19.737527707390306
reap,39.0,25.6,81.6,6.3,3.6999999999999997,20.7,15.674820573135758
accommodate,13.3,9.1,25.0,36.7,28.9,50.0,22.093211627103926
sniff,30.4,21.9,50.0,54.800000000000004,46.1,67.7,40.815683260237115
mean,32.15,24.310000000000002,60.61,29.03,23.21,46.22,29.190402091480223
