,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,46.400000000000006,35.8,65.9,20.8,15.6,31.5,31.06638054231616
root,55.900000000000006,60.3,52.1,38.1,47.9,31.6,46.14964788598067
haunt,47.5,34.300000000000004,77.4,38.0,28.199999999999996,58.199999999999996,42.485291572496
frame,41.199999999999996,42.6,40.0,34.599999999999994,34.9,34.300000000000004,37.756059116385536
regain,32.1,20.4,75.9,21.2,13.600000000000001,48.699999999999996,26.086778260260502
cultivate,25.2,18.8,38.2,15.9,13.600000000000001,19.3,20.016992781134732
presume,32.2,20.7,73.1,13.200000000000001,8.3,32.2,20.616498247762642
reap,26.400000000000002,15.7,82.6,8.6,4.9,34.2,15.06784656146989
accommodate,20.0,13.600000000000001,37.5,45.0,35.5,61.4,30.0
sniff,46.400000000000006,40.6,54.2,49.3,46.5,52.5,47.82802525716486
mean,37.33,30.28,59.69000000000001,28.47,24.9,40.39,31.707352022497105
