,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,26.5,16.0,76.5,25.1,16.1,57.3,25.79050212772136
root,55.900000000000006,60.3,52.1,38.1,47.9,31.6,46.14964788598067
haunt,30.4,20.0,63.6,31.8,22.1,56.99999999999999,31.09212118849404
frame,39.4,29.799999999999997,58.3,48.0,41.4,57.199999999999996,43.48792935976603
regain,25.0,14.799999999999999,80.0,21.6,13.600000000000001,52.900000000000006,23.2379000772445
cultivate,22.5,14.499999999999998,50.0,33.7,25.900000000000002,48.3,27.53633962602873
presume,22.400000000000002,13.0,80.0,16.0,9.700000000000001,45.300000000000004,18.93145530591877
reap,35.5,22.3,87.1,9.8,5.7,34.2,18.65207763226392
accommodate,37.8,31.8,46.7,49.3,43.7,56.49999999999999,43.168738689009665
sniff,45.6,40.6,52.0,48.0,45.6,50.5,46.784612855083026
mean,34.10000000000001,26.310000000000002,64.63000000000001,32.14,27.170000000000005,49.08,32.48313247475107
