,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,40.8,25.900000000000002,95.5,45.6,29.5,100.0,43.13328181346743
root,55.900000000000006,60.3,52.1,38.1,47.9,31.6,46.14964788598067
haunt,27.0,17.1,63.2,31.1,21.4,56.99999999999999,28.9775775385038
frame,52.400000000000006,57.4,48.199999999999996,41.3,45.2,38.0,46.52010318131291
regain,29.2,17.599999999999998,86.4,24.6,15.5,59.4,26.801492495754786
cultivate,50.4,50.7,50.0,15.1,18.2,12.9,27.58695343817436
presume,23.400000000000002,14.099999999999998,68.4,13.0,7.9,35.5,17.441330224498362
reap,37.2,24.0,82.89999999999999,7.3,4.3,24.5,16.479077644091614
accommodate,20.0,13.600000000000001,37.5,45.0,35.5,61.4,30.0
sniff,40.699999999999996,34.4,50.0,49.8,43.5,58.4,45.020661923165896
mean,37.7,31.509999999999998,63.42,31.090000000000003,26.889999999999997,47.86999999999999,32.811012614494985
