,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,43.4,28.4,92.0,46.800000000000004,30.5,100.0,45.06794869971341
root,28.199999999999996,19.0,54.50000000000001,42.9,34.4,56.99999999999999,34.78189184043904
haunt,27.3,17.1,66.7,32.2,22.1,59.199999999999996,29.64894601836632
frame,36.6,31.900000000000002,42.9,39.900000000000006,36.7,43.7,38.21439519343464
regain,25.0,14.799999999999999,80.0,21.6,13.600000000000001,52.900000000000006,23.2379000772445
cultivate,39.0,33.300000000000004,46.9,21.6,20.7,22.6,29.02412789387478
presume,23.599999999999998,14.099999999999998,72.2,11.799999999999999,7.3,31.0,16.68772003600252
reap,37.6,23.1,100.0,26.3,15.1,100.0,31.44646244015374
accommodate,29.4,22.7,41.699999999999996,43.4,36.199999999999996,54.300000000000004,35.7205823020846
sniff,26.1,18.8,42.9,48.5,40.8,59.9,35.57878581402125
mean,31.619999999999997,22.32,63.980000000000004,33.5,25.74,58.05999999999999,31.94087603153348
