,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,24.5,14.799999999999999,70.6,23.200000000000003,14.799999999999999,52.900000000000006,23.841140912296964
root,37.6,25.4,72.7,52.2,41.8,69.39999999999999,44.30259586073936
haunt,27.1,18.6,50.0,19.7,13.8,34.300000000000004,23.105627020273655
frame,35.3,38.3,32.7,23.799999999999997,24.4,23.200000000000003,28.9851686212104
regain,25.6,15.7,68.0,9.8,6.3,22.1,15.839191898578665
cultivate,20.9,13.0,52.900000000000006,35.699999999999996,27.1,52.1,27.315380282910212
presume,23.599999999999998,14.099999999999998,72.2,14.399999999999999,8.799999999999999,39.7,18.434749794884656
reap,21.6,12.4,83.3,9.3,5.2,40.9,14.173214173221261
accommodate,29.4,22.7,41.699999999999996,49.1,40.9,61.4,37.99394688631335
sniff,50.0,43.8,58.3,57.99999999999999,52.900000000000006,64.3,53.85164807134504
mean,29.560000000000002,21.880000000000003,60.239999999999995,29.52,23.6,46.03,28.78426635217736
