,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,20.4,12.3,58.8,12.3,7.9,28.199999999999996,15.840454538932903
root,28.199999999999996,19.0,54.50000000000001,43.2,34.599999999999994,57.4,34.90329497339757
haunt,28.000000000000004,18.6,56.49999999999999,20.5,14.499999999999998,34.9,23.95829710142188
frame,46.300000000000004,40.400000000000006,54.300000000000004,45.2,41.5,49.5,45.746693869612045
regain,27.3,16.7,75.0,20.5,13.0,48.699999999999996,23.656922876824027
cultivate,23.200000000000003,15.9,42.3,27.500000000000004,22.0,36.5,25.25866188063018
presume,25.5,15.2,77.8,14.000000000000002,8.6,36.6,18.894443627691185
reap,29.4,17.4,95.5,14.899999999999999,8.5,63.5,20.929882942816473
accommodate,40.0,31.8,53.800000000000004,52.400000000000006,45.7,61.4,45.78209256903839
sniff,49.0,37.5,70.6,60.9,52.0,73.6,54.62691644235468
mean,31.73,22.48,63.910000000000004,31.140000000000004,24.830000000000002,49.029999999999994,30.959766082271933
