,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,24.5,14.799999999999999,70.6,23.200000000000003,14.799999999999999,52.900000000000006,23.841140912296964
root,44.4,38.1,53.300000000000004,31.5,30.599999999999998,32.4,37.39786090139381
haunt,36.0,25.7,60.0,22.0,15.9,35.5,28.142494558940577
frame,35.4,29.799999999999997,43.8,40.300000000000004,36.7,44.800000000000004,37.770623505576395
regain,36.8,23.1,89.3,25.6,16.3,59.4,30.693321749201402
cultivate,22.7,14.499999999999998,52.6,35.0,26.8,50.5,28.186876378910807
presume,27.800000000000004,17.4,69.6,17.599999999999998,11.0,44.2,22.119674500317586
reap,37.6,23.1,100.0,24.6,14.000000000000002,100.0,30.41315504843258
accommodate,23.5,18.2,33.300000000000004,40.0,33.300000000000004,50.0,30.659419433511783
sniff,43.6,37.5,52.2,49.6,44.9,55.400000000000006,46.503333213867585
mean,33.230000000000004,24.22,62.470000000000006,30.940000000000005,24.43,52.510000000000005,31.572790020244945
