,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,38.1,24.7,83.3,34.8,22.7,75.3,36.412635169677024
root,56.2,57.099999999999994,55.400000000000006,42.3,46.5,38.800000000000004,48.75715332133327
haunt,33.0,25.7,46.2,16.1,12.0,24.4,23.049945770001283
frame,48.5,53.2,44.6,43.0,42.8,43.2,45.66727493512176
regain,85.2,85.2,85.2,31.2,31.2,31.2,51.558122541458005
cultivate,60.0,82.6,47.099999999999994,3.6999999999999997,9.5,2.3,14.89966442575134
presume,40.0,27.200000000000003,75.8,14.099999999999998,9.0,32.2,23.748684174075834
reap,38.5,24.8,85.7,11.4,6.6000000000000005,40.9,20.949940334043916
accommodate,42.9,40.9,45.0,48.3,44.5,52.800000000000004,45.519995606326674
sniff,40.699999999999996,34.4,50.0,49.8,43.5,58.4,45.020661923165896
mean,48.309999999999995,45.58,61.83,29.47,26.830000000000002,39.949999999999996,35.558407820095496
