,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,22.2,13.600000000000001,61.1,18.5,11.799999999999999,41.699999999999996,20.265734627691145
root,55.900000000000006,60.3,52.1,38.1,47.9,31.6,46.14964788598067
haunt,31.8,20.0,77.8,36.4,25.0,67.10000000000001,34.022345598150636
frame,43.5,42.6,44.4,37.7,37.3,38.0,40.49629612692993
regain,36.8,23.1,89.3,26.8,17.299999999999997,59.4,31.404458282224834
cultivate,46.0,46.400000000000006,45.7,11.3,13.600000000000001,9.6,22.799122790142608
presume,29.299999999999997,18.5,70.8,13.600000000000001,8.4,35.5,19.961963831246663
reap,29.599999999999998,17.4,100.0,23.3,13.200000000000001,100.0,26.261759270848554
accommodate,41.5,50.0,35.5,20.5,25.5,17.2,29.16761903207048
sniff,43.1,43.8,42.4,42.0,42.199999999999996,41.8,42.54644520991149
mean,37.970000000000006,33.57,61.910000000000004,26.82,24.22,44.19,31.307539265519704
