,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,33.300000000000004,21.0,81.0,34.0,22.0,75.3,33.648179742743885
root,60.9,55.60000000000001,67.30000000000001,52.6,52.900000000000006,52.2,56.59805650373518
haunt,23.400000000000002,15.7,45.800000000000004,12.3,8.6,21.7,16.965258618718433
frame,24.3,19.1,33.300000000000004,33.7,30.0,38.3,28.616603572052362
regain,26.400000000000002,15.7,81.0,21.8,13.700000000000001,52.900000000000006,23.98999791579816
cultivate,18.6,13.0,32.1,28.599999999999998,22.6,39.2,23.064258063072398
presume,40.0,27.200000000000003,75.8,14.099999999999998,9.0,32.2,23.748684174075834
reap,37.6,23.1,100.0,24.6,14.000000000000002,100.0,30.41315504843258
accommodate,41.9,40.9,42.9,36.6,36.1,37.1,39.16043922123448
sniff,43.6,37.5,52.2,49.6,44.9,55.400000000000006,46.503333213867585
mean,35.0,26.880000000000003,61.14,30.790000000000003,25.380000000000003,50.43000000000001,32.27079660737309
