,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,22.7,13.600000000000001,68.8,21.9,14.000000000000002,50.5,22.29641226744787
root,48.9,54.0,44.7,31.3,40.1,25.7,39.12249992012269
haunt,34.1,21.4,83.3,38.1,26.1,70.1,36.04455576089127
frame,36.8,34.0,40.0,36.0,34.9,37.1,36.39780213144744
regain,32.800000000000004,20.4,84.6,25.4,16.1,59.4,28.86381818124553
cultivate,42.3,37.7,48.1,21.3,20.8,21.8,30.01649546499391
presume,29.799999999999997,18.5,77.3,21.4,13.3,54.0,25.25311861929136
reap,20.4,11.600000000000001,87.5,11.1,6.2,49.8,15.047923444781341
accommodate,20.0,13.600000000000001,37.5,45.0,35.5,61.4,30.0
sniff,42.9,37.5,50.0,54.7,48.199999999999996,63.2,48.44202720778725
mean,33.06999999999999,26.229999999999997,62.17999999999999,30.619999999999997,25.52,49.3,31.14846529980087
