,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,27.700000000000003,17.299999999999997,70.0,20.200000000000003,13.200000000000001,42.9,23.65459786172659
root,55.900000000000006,60.3,52.1,38.1,47.9,31.6,46.14964788598067
haunt,28.000000000000004,18.6,56.49999999999999,15.9,11.200000000000001,27.1,21.099763031844695
frame,41.4,38.3,45.0,45.0,41.0,49.9,43.162483709814474
regain,26.400000000000002,15.7,81.0,21.8,13.700000000000001,52.900000000000006,23.98999791579816
cultivate,23.799999999999997,17.4,37.5,23.7,19.400000000000002,30.3,23.749947368362733
presume,21.6,13.0,63.2,9.8,6.0,26.8,14.54922678357857
reap,27.800000000000004,16.5,87.0,10.2,5.800000000000001,40.9,16.83923988783342
accommodate,38.3,40.9,36.0,29.9,30.7,29.099999999999998,33.84036051817415
sniff,34.0,25.0,53.300000000000004,56.10000000000001,47.4,68.7,43.67379076746144
mean,32.49,26.3,58.15999999999999,27.07,23.630000000000003,40.019999999999996,29.07090557305749
