,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,26.5,16.0,76.5,25.1,16.1,57.3,25.79050212772136
root,35.699999999999996,23.799999999999997,71.39999999999999,53.7,42.9,71.8,43.78458632898111
haunt,19.6,12.9,40.9,10.8,7.5,19.3,14.54922678357857
frame,49.4,42.6,58.8,51.4,47.099999999999994,56.8,50.390078388508186
regain,25.8,15.7,70.8,17.8,11.3,42.3,21.429885673983424
cultivate,21.5,14.499999999999998,41.699999999999996,30.0,23.3,42.1,25.39685019840059
presume,24.3,14.099999999999998,86.7,19.1,11.600000000000001,54.0,21.543676566454483
reap,36.0,22.3,93.10000000000001,13.100000000000001,7.5,49.8,21.71635328502463
accommodate,37.5,27.3,60.0,62.8,50.0,84.3,48.52834223420371
sniff,24.0,18.8,33.300000000000004,38.0,33.5,43.9,30.199337741083
mean,30.029999999999994,20.8,63.31999999999999,32.18,25.080000000000002,52.160000000000004,30.33288393279391
