,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
bert__transl_target__en__10__kmeans.json,29.840000000000003,20.119999999999997,64.43,36.35000000000001,27.619999999999997,62.529999999999994,32.33533473218397
bert__transl_target__en-ru__10__kmeans.json,30.029999999999994,20.8,63.31999999999999,32.18,25.080000000000002,52.160000000000004,30.33288393279391
bert__transl_target__en-fr__10__kmeans.json,31.619999999999997,22.32,63.980000000000004,33.5,25.74,58.05999999999999,31.94087603153348
bert__transl_target__en-de__10__kmeans.json,27.2,19.13,53.8,25.880000000000003,20.45,40.17,25.379945066750473
bert__transl_target__en-es__10__kmeans.json,32.15,24.310000000000002,60.61,29.03,23.21,46.22,29.190402091480223
bert__transl_target__en-ru-fr__10__kmeans.json,32.49,26.3,58.15999999999999,27.07,23.630000000000003,40.019999999999996,29.07090557305749
bert__transl_target__en-ru-de__10__kmeans.json,31.73,22.48,63.910000000000004,31.140000000000004,24.830000000000002,49.029999999999994,30.959766082271933
bert__transl_target__en-ru-es__10__kmeans.json,33.230000000000004,24.22,62.470000000000006,30.940000000000005,24.43,52.510000000000005,31.572790020244945
bert__transl_target__en-fr-de__10__kmeans.json,34.10000000000001,26.310000000000002,64.63000000000001,32.14,27.170000000000005,49.08,32.48313247475107
bert__transl_target__en-fr-es__10__kmeans.json,37.7,31.509999999999998,63.42,31.090000000000003,26.889999999999997,47.86999999999999,32.811012614494985
bert__transl_target__en-de-es__10__kmeans.json,37.0,29.45,65.08000000000001,32.01,26.830000000000002,48.04,32.60134226834918
bert__transl_target__en-ru-fr-de__10__kmeans.json,35.0,26.880000000000003,61.14,30.790000000000003,25.380000000000003,50.43000000000001,32.27079660737309
bert__transl_target__en-ru-fr-es__10__kmeans.json,33.06999999999999,26.229999999999997,62.17999999999999,30.619999999999997,25.52,49.3,31.14846529980087
bert__transl_target__en-ru-de-es__10__kmeans.json,29.560000000000002,21.880000000000003,60.239999999999995,29.52,23.6,46.03,28.78426635217736
bert__transl_target__en-fr-de-es__10__kmeans.json,37.33,30.28,59.69000000000001,28.47,24.9,40.39,31.707352022497105
bert__transl_target__en-ru-fr-de-es__10__kmeans.json,32.29,26.110000000000003,58.580000000000005,27.610000000000003,23.560000000000002,42.879999999999995,29.186563639101017
