,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,22.900000000000002,14.6,53.800000000000004,10.6,7.5,17.9,15.580115532305914
address.n,44.9,50.8,40.300000000000004,12.3,16.2,9.9,23.50042552806225
camp.n,23.1,14.6,54.50000000000001,35.099999999999994,26.400000000000002,52.6,28.474725635201473
innovation.n,50.3,41.699999999999996,63.5,17.1,13.8,22.2,29.327972995077584
mind.n,34.4,70.89999999999999,22.7,3.0,7.000000000000001,1.9,10.158740079360236
park.n,21.6,14.899999999999999,39.300000000000004,27.500000000000004,21.9,37.0,24.372115213907882
reputation.n,40.0,47.8,34.4,1.2,1.5,1.0,6.928203230275509
gap.n,49.3,53.6,45.6,5.1,6.3,4.3,15.856544390250985
challenge.n,51.0,51.2,50.9,6.3,7.8,5.3,17.924843095547587
failure.n,23.799999999999997,17.8,36.3,18.5,16.0,21.9,20.98332671432249
air.n,41.3,56.89999999999999,32.4,10.100000000000001,15.4,7.5,20.42376067231498
moment.n,43.0,35.9,53.6,0.6,0.5,0.8,5.079370039680118
tour.n,21.7,16.900000000000002,30.5,27.6,22.6,35.699999999999996,24.472842090774826
movement.n,50.3,54.400000000000006,46.800000000000004,11.700000000000001,14.099999999999998,10.0,24.259225049452837
body.n,42.8,55.400000000000006,34.9,3.2,4.6,2.5,11.702991070662236
guarantee.n,24.3,16.7,44.7,29.299999999999997,22.900000000000002,40.5,26.683140744672468
class.n,30.9,28.199999999999996,34.1,13.5,13.5,13.5,20.42425029223839
road.n,44.3,50.6,39.5,4.3999999999999995,5.8999999999999995,3.5000000000000004,13.961375290421785
speed.n,60.099999999999994,60.8,59.3,15.7,17.299999999999997,14.399999999999999,30.717584540454997
foundation.n,50.0,49.1,51.0,5.6000000000000005,6.3,5.1,16.73320053068151
idea.n,39.1,51.1,31.6,2.8000000000000003,4.0,2.1999999999999997,10.463269087622663
entry.n,23.7,16.5,41.8,21.9,17.0,30.7,22.782229917196428
flight.n,41.099999999999994,51.800000000000004,34.1,8.4,11.700000000000001,6.6000000000000005,18.580635080642427
origin.n,61.199999999999996,78.0,50.4,29.2,38.800000000000004,23.3,42.27339588914049
note.n,21.9,15.299999999999999,38.9,27.6,22.7,35.199999999999996,24.585361498257452
rally.n,45.2,38.5,54.800000000000004,11.899999999999999,9.9,15.1,23.192240081544515
gas.n,65.60000000000001,61.6,70.1,28.499999999999996,29.7,27.400000000000002,43.23887140062747
chip.n,23.799999999999997,15.8,48.3,10.6,7.9,16.400000000000002,15.88332458901473
mark.n,24.099999999999998,14.799999999999999,65.7,27.700000000000003,20.1,44.1,25.837376027762573
margin.n,28.599999999999998,20.9,45.300000000000004,39.5,33.5,48.199999999999996,33.611010100858316
function.n,32.2,24.099999999999998,48.5,37.2,31.4,45.5,34.60982519458889
legislation.n,19.8,12.5,48.4,3.2,2.1,6.3,7.95989949685296
screen.n,33.0,36.1,30.3,18.7,21.099999999999998,16.8,24.841497539399672
commission.n,32.300000000000004,21.7,63.5,33.1,24.8,49.7,32.697553425294686
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,44.7,54.1,38.1,3.2,4.3999999999999995,2.6,11.959933110180843
dealer.n,30.0,20.200000000000003,58.599999999999994,18.9,14.2,28.499999999999996,23.811761799581316
community.n,38.800000000000004,50.7,31.4,4.0,5.6000000000000005,3.1,12.45792920191795
house.n,25.4,16.1,59.9,14.099999999999998,10.5,21.6,18.924587181759076
shape.n,50.9,77.2,38.0,26.3,42.199999999999996,19.1,36.587839509869944
access.n,30.599999999999998,29.5,31.8,15.7,15.0,16.400000000000002,21.918485349129394
field.n,46.9,41.6,53.800000000000004,29.299999999999997,29.099999999999998,29.5,37.06979902831954
edge.n,30.8,22.6,48.0,54.400000000000006,46.9,64.9,40.9331161774913
cell.n,61.0,60.9,61.1,26.3,33.2,21.8,40.053713935164616
officer.n,67.0,75.2,60.4,48.4,59.3,40.9,56.94558806439705
market.n,50.5,55.800000000000004,46.1,0.4,0.5,0.3,4.494441010848846
promotion.n,41.099999999999994,32.2,56.49999999999999,43.0,36.5,52.300000000000004,42.03926735803087
accounting.n,19.8,12.4,48.0,28.999999999999996,21.7,43.6,23.96247065725903
television.n,46.6,51.7,42.5,1.3,1.6,1.0999999999999999,7.783315488916019
campaign.n,48.699999999999996,55.800000000000004,43.3,9.1,11.4,7.5,21.0516032643597
cheat.v,49.6,40.699999999999996,63.5,18.5,14.399999999999999,25.8,30.29191311224829
assemble.v,48.8,48.5,49.1,1.6,1.6,1.6,8.836288813749809
root.v,50.0,54.0,46.6,33.2,41.699999999999996,27.500000000000004,40.74309757492673
reveal.v,50.4,51.6,49.3,3.9,4.1000000000000005,3.6999999999999997,14.019985734657507
haunt.v,70.5,88.6,58.5,27.200000000000003,38.0,21.2,43.790409909020035
operate.v,55.300000000000004,53.1,57.699999999999996,6.7,6.5,7.000000000000001,19.248636315334135
frame.v,57.9,70.19999999999999,49.3,50.9,59.4,44.6,54.28729133047623
assert.v,28.599999999999998,21.2,43.7,20.200000000000003,16.1,27.1,24.035806622620346
introduce.v,67.80000000000001,62.1,74.6,21.0,20.1,21.9,37.7332744404723
swear.v,39.2,66.8,27.800000000000004,9.3,17.599999999999998,6.3,19.0934543757802
bow.v,28.000000000000004,20.3,45.2,44.1,36.8,55.00000000000001,35.139721114431175
figure.v,45.5,56.3,38.2,5.1,7.000000000000001,4.0,15.23318745371434
analyze.v,64.0,50.0,88.9,12.5,8.5,23.3,28.284271247461902
expose.v,56.3,65.2,49.5,1.7000000000000002,1.9,1.5,9.78314877736202
conclude.v,55.2,74.6,43.7,25.1,36.0,19.2,37.222573796017926
appeal.v,44.2,58.3,35.699999999999996,10.9,14.799999999999999,8.6,21.949487465542333
owe.v,47.0,61.8,37.9,22.5,29.9,18.099999999999998,32.5192250830182
mount.v,30.3,35.699999999999996,26.3,32.5,35.099999999999994,30.3,31.38072656902641
regain.v,55.400000000000006,42.6,79.3,26.3,19.3,41.099999999999994,38.170931348344126
relax.v,47.0,53.0,42.1,6.4,7.9,5.5,17.34358671094304
cultivate.v,48.3,50.7,46.1,9.8,12.4,8.200000000000001,21.756378375088076
violate.v,20.5,11.5,93.60000000000001,2.7,1.4000000000000001,25.3,7.439758060582347
commit.v,54.300000000000004,53.400000000000006,55.300000000000004,21.8,23.5,20.3,34.405522812478814
pour.v,56.99999999999999,76.1,45.6,36.7,50.9,28.7,45.73729331737942
deny.v,58.3,50.5,68.89999999999999,3.6999999999999997,3.3000000000000003,4.2,14.687069142616576
lay.v,34.699999999999996,28.1,45.4,24.0,21.4,27.200000000000003,28.85827437668441
shave.v,34.9,22.900000000000002,73.4,16.8,11.200000000000001,33.6,24.214045510818718
weigh.v,33.800000000000004,23.799999999999997,58.5,50.3,42.5,61.7,41.23275397059964
apply.v,39.4,63.800000000000004,28.499999999999996,2.0,3.3000000000000003,1.4000000000000001,8.87693640846886
level.v,44.4,74.6,31.7,6.6000000000000005,12.5,4.5,17.118411141224527
presume.v,35.3,22.8,77.8,19.5,12.5,44.2,26.236425061353156
wait.v,66.8,50.9,97.39999999999999,1.0999999999999999,0.6,5.5,8.572047596694736
stick.v,41.4,56.2,32.800000000000004,6.7,9.5,5.2,16.65472905813841
separate.v,49.1,34.8,83.0,7.199999999999999,5.0,12.8,18.802127539190877
reap.v,19.3,10.7,92.9,20.1,11.1,100.0,19.695938667654307
signal.v,26.200000000000003,16.6,62.3,23.9,16.1,45.9,25.023588871303016
swim.v,19.7,11.1,90.7,6.6000000000000005,3.5999999999999996,47.9,11.402631275280282
slow.v,64.8,51.7,86.9,0.4,0.3,0.7000000000000001,5.091168824543142
question.v,27.1,18.3,52.1,6.7,4.6,12.6,13.474791278531924
happen.v,65.9,55.300000000000004,81.6,2.4,1.7999999999999998,3.5000000000000004,12.576167937809991
insist.v,54.900000000000006,56.49999999999999,53.300000000000004,7.5,7.7,7.3999999999999995,20.291623887703025
observe.v,39.300000000000004,50.2,32.300000000000004,2.3,3.2,1.7999999999999998,9.507365565707463
lie.v,46.800000000000004,34.2,73.9,3.9,2.8000000000000003,6.5,13.509996299037244
deploy.v,20.0,13.5,38.5,33.2,24.7,50.4,25.768197453450252
accommodate.v,20.0,13.600000000000001,37.5,45.0,35.5,61.4,30.0
