,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,39.7,33.5,48.9,5.800000000000001,5.0,7.000000000000001,15.174320413119002
address.n,43.4,34.4,58.8,35.6,31.3,41.199999999999996,39.3069968326251
camp.n,66.0,79.0,56.599999999999994,29.599999999999998,39.300000000000004,23.7,44.19954750899606
innovation.n,40.400000000000006,28.299999999999997,70.89999999999999,24.2,17.1,41.4,31.26787488781417
mind.n,32.5,51.4,23.799999999999997,2.8000000000000003,4.7,2.0,9.539392014169458
park.n,26.0,17.7,49.0,34.300000000000004,27.200000000000003,46.400000000000006,29.863020610782158
reputation.n,17.9,11.899999999999999,35.6,22.900000000000002,17.4,33.300000000000004,20.246234217750224
gap.n,42.199999999999996,36.9,49.4,11.0,10.0,12.2,21.545301111843386
challenge.n,65.0,79.60000000000001,55.00000000000001,8.6,13.900000000000002,6.2,23.643180835073778
failure.n,21.4,15.0,37.3,24.8,20.599999999999998,31.1,23.03736095997109
air.n,41.0,56.99999999999999,32.1,11.0,16.8,8.200000000000001,21.236760581595302
moment.n,51.4,49.6,53.400000000000006,0.4,0.4,0.4,4.534313619501853
tour.n,16.3,11.5,27.900000000000002,19.7,15.9,25.900000000000002,17.91954240487184
movement.n,53.0,47.099999999999994,60.4,18.7,17.4,20.1,31.48174073967321
body.n,42.8,54.2,35.3,3.5000000000000004,4.8,2.7,12.239281024635394
guarantee.n,27.800000000000004,20.3,43.9,28.1,22.900000000000002,36.5,27.949597492629483
class.n,29.4,21.4,46.800000000000004,25.8,22.400000000000002,30.5,27.541241802068402
road.n,49.1,55.400000000000006,44.0,7.5,10.0,6.0,19.189841062395487
speed.n,57.99999999999999,58.3,57.8,13.900000000000002,15.2,12.8,28.39366126444422
foundation.n,32.7,23.400000000000002,53.900000000000006,15.299999999999999,11.899999999999999,21.4,22.367610511630428
idea.n,38.800000000000004,50.6,31.5,2.8000000000000003,3.9,2.1,10.423051376636307
entry.n,28.299999999999997,22.1,39.5,16.8,14.299999999999999,20.5,21.804586673450153
flight.n,42.1,53.800000000000004,34.599999999999994,9.0,12.6,7.000000000000001,19.465353837010003
origin.n,61.199999999999996,78.0,50.4,29.2,38.800000000000004,23.3,42.27339588914049
note.n,32.5,24.3,49.1,27.1,23.5,32.1,29.6774325035034
rally.n,36.7,25.8,63.3,20.3,14.499999999999998,33.800000000000004,27.294871313124013
gas.n,62.9,59.0,67.30000000000001,23.0,23.9,22.1,38.03550972446669
chip.n,20.8,13.0,51.300000000000004,13.900000000000002,10.0,23.3,17.00352904546583
mark.n,28.199999999999996,18.5,59.599999999999994,23.9,18.0,35.699999999999996,25.96112478302895
margin.n,35.099999999999994,50.9,26.8,20.8,27.500000000000004,16.8,27.019992598074484
function.n,47.5,76.9,34.4,14.6,29.099999999999998,9.700000000000001,26.334388164527386
legislation.n,42.4,36.9,49.9,3.6999999999999997,3.1,4.6,12.52517464948094
screen.n,40.400000000000006,51.300000000000004,33.300000000000004,18.3,25.7,14.2,27.190439496264126
commission.n,24.0,15.1,58.599999999999994,25.0,18.099999999999998,40.300000000000004,24.49489742783178
display.n,48.5,78.10000000000001,35.199999999999996,10.7,19.400000000000002,7.3999999999999995,22.780474095154382
office.n,44.7,54.1,38.1,2.4,3.3000000000000003,1.9,10.357605900979241
dealer.n,21.5,13.5,52.6,19.900000000000002,14.299999999999999,32.4,20.684535286053684
community.n,39.0,51.0,31.5,5.2,7.3,4.0,14.24078649513432
house.n,26.8,17.5,56.99999999999999,11.0,8.3,16.3,17.1697408250678
shape.n,27.500000000000004,21.5,38.3,34.0,28.999999999999996,41.199999999999996,30.577769702841312
access.n,32.4,30.9,34.1,17.599999999999998,16.8,18.5,23.879698490558877
field.n,42.9,38.2,48.8,22.3,22.1,22.400000000000002,30.930082444119027
edge.n,18.3,13.200000000000001,29.799999999999997,39.800000000000004,34.1,47.8,26.987775010178222
