,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,51.300000000000004,51.6,50.9,1.7000000000000002,1.9,1.5,9.33862944976403
address.n,47.0,50.0,44.3,15.4,17.0,14.000000000000002,26.903531366718386
camp.n,63.2,77.60000000000001,53.400000000000006,25.0,34.0,19.8,39.74921382870358
innovation.n,55.50000000000001,54.7,56.3,6.5,6.4,6.5,18.99341991322258
mind.n,33.6,52.400000000000006,24.7,5.4,8.799999999999999,3.9,13.46996659238619
park.n,31.0,23.799999999999997,44.7,37.5,31.0,47.599999999999994,34.09545424246464
reputation.n,20.4,14.2,36.5,22.6,17.299999999999997,32.4,21.471842026244513
gap.n,46.2,49.0,43.6,9.1,11.0,7.8,20.504145922227533
challenge.n,39.0,32.800000000000004,48.1,10.100000000000001,9.8,10.4,19.846914117816908
failure.n,39.4,49.5,32.7,4.3999999999999995,6.6000000000000005,3.4000000000000004,13.16662447250623
air.n,37.2,52.300000000000004,28.9,3.9,6.0,2.9000000000000004,12.044915939930839
moment.n,52.2,50.4,54.2,1.5,1.5,1.6,8.848728722251575
tour.n,17.5,11.5,37.0,33.4,26.200000000000003,46.2,24.176434807473164
movement.n,52.300000000000004,53.1,51.6,14.099999999999998,16.1,12.6,27.155662392952227
body.n,29.2,23.9,37.3,7.8,6.800000000000001,9.1,15.091719583930786
guarantee.n,22.6,16.2,37.8,22.6,17.9,30.7,22.6
class.n,32.0,31.900000000000002,32.2,11.700000000000001,12.7,10.9,19.34941859591652
road.n,44.6,50.5,39.900000000000006,1.0999999999999999,1.5,0.8999999999999999,7.004284403134983
speed.n,51.300000000000004,51.6,51.1,10.6,11.600000000000001,9.8,23.31909089137053
foundation.n,61.4,65.60000000000001,57.8,6.800000000000001,8.200000000000001,5.800000000000001,20.43330614462574
idea.n,38.800000000000004,50.7,31.4,2.4,3.4000000000000004,1.7999999999999998,9.649870465451855
entry.n,22.0,15.0,41.099999999999994,14.299999999999999,11.1,19.900000000000002,17.736967046256808
flight.n,42.1,53.5,34.599999999999994,7.1,9.9,5.5,17.289013852733184
origin.n,19.7,13.200000000000001,38.7,26.1,20.1,37.2,22.67531697683629
note.n,38.3,34.8,42.5,22.900000000000002,23.400000000000002,22.5,29.615367632362762
