,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,63.9,92.80000000000001,48.8,2.6,9.700000000000001,1.5,12.889530635364501
address.n,49.5,62.2,41.199999999999996,8.3,12.1,6.3,20.269435117930644
camp.n,54.400000000000006,85.39999999999999,40.0,3.1,6.9,2.0,12.986146464598342
innovation.n,27.700000000000003,18.099999999999998,58.8,14.799999999999999,10.0,28.299999999999997,20.247468977627797
mind.n,37.8,93.4,23.7,1.0,5.6000000000000005,0.6,6.148170459575759
park.n,48.199999999999996,82.3,34.1,11.899999999999999,24.099999999999998,7.9,23.94953026679229
reputation.n,24.5,18.7,35.699999999999996,27.200000000000003,21.099999999999998,38.3,25.814724480420086
gap.n,61.7,97.5,45.1,4.9,26.8,2.7,17.38763928772391
challenge.n,68.5,99.5,52.2,12.8,57.49999999999999,7.199999999999999,29.610808837314796
failure.n,51.1,100.0,34.4,11.1,100.0,5.8999999999999995,23.816170976880393
air.n,43.7,96.6,28.199999999999996,1.3,15.8,0.7000000000000001,7.5372408744845085
moment.n,69.1,97.39999999999999,53.5,0.2,0.7000000000000001,0.1,3.7175260590882213
tour.n,41.5,61.5,31.3,3.2,5.4,2.3,11.523888232710346
movement.n,57.599999999999994,78.2,45.6,7.7,14.7,5.2,21.059914529741093
body.n,49.7,98.8,33.2,0.8999999999999999,16.1,0.4,6.688049042882386
guarantee.n,49.6,97.5,33.300000000000004,9.8,43.5,5.5,22.04722204723307
class.n,45.300000000000004,99.0,29.4,1.6,27.900000000000002,0.8,8.513518661517105
road.n,56.699999999999996,98.0,39.900000000000006,0.7000000000000001,9.700000000000001,0.4,6.3
speed.n,65.4,95.1,49.8,1.7999999999999998,8.7,1.0,10.849884792015075
foundation.n,69.6,98.3,53.900000000000006,6.2,30.3,3.5000000000000004,20.773059476158057
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
entry.n,35.199999999999996,27.1,50.5,27.1,21.7,36.1,30.885595347993537
flight.n,48.6,97.39999999999999,32.4,1.0999999999999999,13.900000000000002,0.6,7.311634564172364
origin.n,24.4,16.5,46.9,38.7,29.599999999999998,56.2,30.729139265524505
note.n,34.9,31.4,39.2,25.7,23.5,28.4,29.948789624958135
rally.n,64.60000000000001,95.5,48.8,3.5999999999999996,13.700000000000001,2.1,15.249918032566601
