,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,24.2,15.8,51.1,3.6999999999999997,2.7,6.0,9.462557793746889
address.n,47.099999999999994,55.300000000000004,41.0,12.0,16.3,9.5,23.773935307390737
camp.n,42.8,48.8,38.2,11.899999999999999,15.1,9.8,22.568119106385446
innovation.n,18.9,11.600000000000001,50.8,9.5,6.3,19.8,13.399626860476376
mind.n,27.800000000000004,31.2,25.1,9.3,10.299999999999999,8.4,16.07917908352289
park.n,42.3,55.7,34.1,10.100000000000001,14.299999999999999,7.8,20.66954281061872
reputation.n,18.099999999999998,11.899999999999999,37.2,27.900000000000002,20.9,41.699999999999996,22.471982556063004
gap.n,48.4,51.1,46.0,11.5,13.8,9.9,23.59237164847994
challenge.n,50.6,53.800000000000004,47.699999999999996,8.1,10.6,6.6000000000000005,20.244999382563588
failure.n,26.900000000000002,22.7,33.0,13.8,13.0,14.7,19.267070353325646
air.n,36.4,50.1,28.499999999999996,1.3,1.9,0.8999999999999999,6.878953408767935
moment.n,51.7,50.3,53.1,0.0,0.0,0.0,0.0
tour.n,14.299999999999999,9.5,29.2,22.6,17.9,30.5,17.977207792090518
movement.n,50.9,52.2,49.5,3.4000000000000004,3.9,3.0,13.155227098001767
body.n,40.699999999999996,50.8,33.900000000000006,1.7999999999999998,2.5,1.4000000000000001,8.559205570612264
guarantee.n,20.0,13.3,40.5,21.2,16.400000000000002,29.9,20.591260281974
class.n,20.3,15.1,31.1,14.299999999999999,12.5,16.7,17.03789893149974
road.n,44.5,50.0,40.1,2.6,3.4000000000000004,2.1,10.756393447619885
speed.n,49.2,48.6,49.9,5.5,5.8999999999999995,5.1,16.44992401198255
foundation.n,19.6,12.3,48.9,11.700000000000001,8.3,19.8,15.143315356948756
idea.n,39.2,51.7,31.5,2.0,2.9000000000000004,1.5,8.854377448471462
entry.n,20.1,13.3,41.099999999999994,22.0,16.6,32.6,21.028552018624584
flight.n,18.6,12.7,34.5,10.4,8.200000000000001,14.2,13.908270920570969
origin.n,26.0,18.7,42.5,28.1,22.400000000000002,37.6,27.029613389761977
note.n,23.5,16.6,40.0,23.200000000000003,19.2,29.099999999999998,23.34951819631403
rally.n,49.4,49.3,49.4,2.1999999999999997,2.1999999999999997,2.1999999999999997,10.424970023937718
gas.n,23.9,14.799999999999999,61.0,13.600000000000001,9.3,24.7,18.0288657435791
chip.n,20.7,13.0,50.8,10.2,7.3,17.1,14.530657245974801
mark.n,22.900000000000002,14.2,59.9,21.5,15.8,33.5,22.188961219489297
margin.n,24.0,18.5,34.1,28.599999999999998,24.8,33.6,26.199236630100504
function.n,30.9,22.1,51.2,44.4,36.5,56.699999999999996,37.03997840172156
legislation.n,22.5,14.499999999999998,50.1,3.3000000000000003,2.3,6.3,8.616843969807043
screen.n,33.300000000000004,36.1,30.9,19.5,21.8,17.5,25.482346830698308
commission.n,46.6,48.8,44.6,1.9,2.3,1.7000000000000002,9.409569596958194
display.n,41.199999999999996,53.0,33.7,11.799999999999999,16.5,9.2,22.049036260118037
office.n,43.4,51.6,37.5,2.9000000000000004,3.8,2.3,11.218734331465383
dealer.n,20.9,13.200000000000001,50.0,15.2,11.0,24.7,17.823579887329032
community.n,38.3,50.1,31.0,3.1,4.3999999999999995,2.4,10.896329657274508
house.n,52.800000000000004,50.5,55.300000000000004,3.9,4.6,3.3000000000000003,14.349912891721678
shape.n,25.8,19.5,38.2,30.2,25.7,36.5,27.913437624198135
access.n,23.0,17.1,35.099999999999994,24.099999999999998,19.6,31.3,23.543576618687315
field.n,28.199999999999996,22.0,39.4,11.200000000000001,9.9,12.8,17.77188791321845
edge.n,29.299999999999997,28.299999999999997,30.3,36.6,36.4,36.9,32.74721362192515
cell.n,49.2,49.1,49.4,2.4,3.0,2.0,10.8664621657649
officer.n,56.2,65.2,49.3,36.0,45.300000000000004,29.799999999999997,44.97999555357915
market.n,48.5,51.2,46.1,0.7000000000000001,0.8,0.6,5.826662852782886
promotion.n,19.6,13.200000000000001,38.1,25.900000000000002,20.5,34.9,22.530867715203517
accounting.n,44.6,51.800000000000004,39.2,1.6,2.0,1.3,8.44748483277715
television.n,46.400000000000006,50.8,42.699999999999996,1.5,1.7999999999999998,1.3,8.342661445845685
campaign.n,43.9,49.7,39.300000000000004,0.7000000000000001,0.8999999999999999,0.6,5.543464620614079
cheat.v,38.5,25.900000000000002,75.0,18.7,12.8,35.0,26.83188401883103
assemble.v,19.0,12.1,44.0,4.8,3.2,9.5,9.549869109050658
root.v,20.9,14.299999999999999,39.1,38.4,30.3,52.400000000000006,28.329489935401238
reveal.v,49.0,49.9,48.1,0.6,0.7000000000000001,0.6,5.422176684690384
haunt.v,32.9,20.0,93.30000000000001,51.0,34.300000000000004,100.0,40.9621776764859
operate.v,27.200000000000003,18.0,55.60000000000001,2.0,1.4000000000000001,3.6999999999999997,7.37563556583431
frame.v,28.1,19.1,52.900000000000006,58.5,46.7,78.2,40.544420084642965
assert.v,32.7,30.7,34.9,5.5,5.3,5.7,13.41081652995074
introduce.v,47.099999999999994,36.6,66.10000000000001,15.0,11.799999999999999,20.599999999999998,26.580067720004024
swear.v,14.799999999999999,10.299999999999999,26.3,24.2,20.0,30.599999999999998,18.925115587493778
bow.v,19.8,13.0,40.9,43.3,35.3,55.900000000000006,29.28036885013575
figure.v,45.5,56.3,38.2,5.1,7.000000000000001,4.0,15.23318745371434
analyze.v,49.4,34.1,89.60000000000001,12.2,7.3999999999999995,34.5,24.549541747250597
