,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,65.7,98.1,49.4,0.7000000000000001,7.3,0.4,6.7815927332743895
address.n,45.7,38.2,56.8,32.1,29.2,35.699999999999996,38.3010443721839
camp.n,24.6,16.6,47.9,31.4,24.0,45.4,27.79280482427062
innovation.n,53.7,42.0,74.4,28.4,21.7,40.8,39.05227266113971
mind.n,35.099999999999994,80.5,22.400000000000002,7.000000000000001,21.2,4.2,15.674820573135758
park.n,32.5,27.0,40.9,25.8,22.8,29.799999999999997,28.956864471140516
reputation.n,33.6,29.099999999999998,39.800000000000004,27.6,23.3,33.7,30.45258609707885
gap.n,61.7,97.5,45.1,4.9,26.8,2.7,17.38763928772391
challenge.n,68.30000000000001,95.7,53.1,15.1,43.2,9.1,32.11432702081736
failure.n,48.0,83.89999999999999,33.6,6.2,16.7,3.8,17.25108692227826
air.n,43.6,93.89999999999999,28.4,2.0,11.600000000000001,1.0999999999999999,9.338094023943002
moment.n,69.1,97.39999999999999,53.5,0.2,0.7000000000000001,0.1,3.7175260590882213
tour.n,20.5,16.2,27.900000000000002,21.9,18.7,26.6,21.188440244623955
movement.n,42.5,40.699999999999996,44.3,14.399999999999999,13.5,15.299999999999999,24.73863375370596
body.n,49.7,98.8,33.2,0.8999999999999999,16.1,0.4,6.688049042882386
guarantee.n,45.4,84.8,31.0,9.0,25.7,5.5,20.213856633507618
class.n,46.0,96.0,30.3,6.0,30.599999999999998,3.3000000000000003,16.61324772583615
road.n,53.0,85.2,38.4,5.1,15.6,3.1,16.44080290010193
speed.n,68.30000000000001,71.3,65.60000000000001,28.7,29.299999999999997,28.1,44.27425888707794
foundation.n,69.6,98.3,53.900000000000006,6.2,30.3,3.5000000000000004,20.773059476158057
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
entry.n,50.6,77.7,37.5,7.7,17.299999999999997,5.0,19.738794289418998
flight.n,48.6,97.39999999999999,32.4,1.0999999999999999,13.900000000000002,0.6,7.311634564172364
origin.n,46.400000000000006,31.900000000000002,85.3,55.60000000000001,42.0,82.3,50.79212537391993
note.n,52.7,94.69999999999999,36.5,7.9,33.900000000000006,4.3999999999999995,20.404166241236126
rally.n,59.8,65.7,54.900000000000006,24.6,24.6,24.6,38.354660733736125
gas.n,70.19999999999999,63.7,78.2,35.9,33.4,38.800000000000004,50.20139440294462
chip.n,32.7,23.799999999999997,52.2,12.3,9.5,17.2,20.055173896029924
mark.n,38.0,28.199999999999996,58.4,21.9,18.099999999999998,27.700000000000003,28.84787687161743
margin.n,35.199999999999996,79.60000000000001,22.6,13.4,37.4,8.200000000000001,21.718195136797164
function.n,50.1,84.39999999999999,35.699999999999996,9.1,20.200000000000003,5.800000000000001,21.35204908199679
legislation.n,65.4,97.0,49.3,2.4,12.3,1.3,12.52836781069266
screen.n,45.0,89.1,30.099999999999998,4.3999999999999995,20.200000000000003,2.5,14.071247279470288
commission.n,44.4,35.199999999999996,60.199999999999996,28.4,23.5,35.9,35.5099985919459
display.n,48.9,74.9,36.3,18.7,27.500000000000004,14.2,30.239543647350235
office.n,47.599999999999994,73.1,35.3,1.0999999999999999,2.1,0.7000000000000001,7.236021006050216
dealer.n,61.6,92.5,46.1,8.200000000000001,21.0,5.1,22.474874860608235
community.n,49.7,93.7,33.800000000000004,14.799999999999999,40.9,9.0,27.12120941256123
house.n,69.8,96.8,54.50000000000001,0.8,5.8999999999999995,0.4,7.472616676907762
shape.n,44.2,95.6,28.799999999999997,4.0,26.8,2.1,13.29661611087573
access.n,48.1,84.39999999999999,33.6,14.7,27.1,10.100000000000001,26.59078787851161
field.n,53.400000000000006,99.5,36.5,6.4,46.800000000000004,3.4000000000000004,18.48675201326615
edge.n,36.9,94.3,22.900000000000002,14.6,55.00000000000001,8.4,23.21077336066164
cell.n,63.1,64.5,61.8,24.6,30.4,20.599999999999998,39.398730944029154
officer.n,70.8,61.5,83.5,42.9,35.3,54.6,55.11188619526644
market.n,63.1,99.8,46.1,0.2,12.5,0.1,3.5524639336663224
