,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,49.9,51.1,48.8,0.7000000000000001,0.8,0.6,5.910160742314882
address.n,42.8,36.3,52.2,27.400000000000002,25.4,29.599999999999998,34.24499963498321
camp.n,66.0,85.9,53.7,33.1,48.0,25.2,46.73970474874654
innovation.n,42.8,31.2,68.30000000000001,19.7,14.6,30.4,29.037217497549587
mind.n,34.1,74.3,22.2,4.3,11.3,2.6,12.109087496587016
park.n,33.7,29.4,39.5,22.6,20.8,24.7,27.59746365157494
reputation.n,38.5,45.5,33.300000000000004,0.3,0.4,0.2,3.3985290935932855
gap.n,28.4,18.0,67.5,34.0,24.8,53.900000000000006,31.074104975043124
challenge.n,50.8,48.1,53.800000000000004,13.0,14.099999999999998,12.0,25.69824896758532
failure.n,41.3,51.2,34.599999999999994,13.8,20.200000000000003,10.5,23.873416177832613
air.n,41.4,57.199999999999996,32.5,7.199999999999999,11.0,5.4,17.26499348392579
moment.n,51.6,50.4,53.0,0.1,0.1,0.1,2.2715633383201093
tour.n,23.400000000000002,17.599999999999998,35.099999999999994,35.8,28.999999999999996,46.800000000000004,28.943393028461607
movement.n,33.6,24.5,53.7,18.7,14.799999999999999,25.5,25.06631205422928
body.n,43.7,58.3,35.0,3.4000000000000004,4.9,2.6,12.189339604753
guarantee.n,44.0,56.99999999999999,35.8,9.8,13.4,7.7,20.765355763867856
class.n,42.0,45.4,39.1,17.0,20.200000000000003,14.7,26.720778431774775
road.n,45.5,51.300000000000004,40.9,9.6,12.7,7.7,20.89976076418101
speed.n,55.50000000000001,55.800000000000004,55.300000000000004,10.7,11.700000000000001,9.9,24.369037732335677
foundation.n,29.7,20.9,51.6,8.4,6.5,11.899999999999999,15.79493589730582
idea.n,39.800000000000004,52.6,32.0,3.4000000000000004,4.9,2.6,11.632712495372694
entry.n,43.2,49.4,38.3,3.3000000000000003,4.3,2.7,11.93984924527944
flight.n,43.0,54.900000000000006,35.3,12.0,16.8,9.3,22.715633383201094
origin.n,30.0,19.8,62.1,44.800000000000004,33.900000000000006,65.8,36.660605559646726
note.n,22.900000000000002,16.900000000000002,35.3,17.599999999999998,15.1,21.0,20.075856146127368
rally.n,26.3,16.6,64.1,16.0,10.7,31.7,20.513410247932935
gas.n,68.4,64.5,72.8,31.5,32.9,30.2,46.41766904961946
chip.n,19.900000000000002,12.4,50.8,11.3,8.0,19.1,14.995666040559854
mark.n,23.799999999999997,14.499999999999998,67.2,27.3,19.8,44.1,25.489998038446373
margin.n,33.300000000000004,52.1,24.5,8.5,13.5,6.2,16.824089871371942
function.n,50.1,84.39999999999999,35.699999999999996,9.1,20.200000000000003,5.800000000000001,21.35204908199679
legislation.n,32.6,23.599999999999998,52.800000000000004,7.000000000000001,5.1,11.200000000000001,15.106290080625357
screen.n,36.1,40.300000000000004,32.7,19.900000000000002,22.900000000000002,17.599999999999998,26.80279836136518
commission.n,36.8,25.900000000000002,63.5,27.6,21.9,37.5,31.869734859267343
display.n,51.1,77.3,38.1,17.1,28.199999999999996,12.3,29.560277400592845
office.n,45.2,55.300000000000004,38.2,2.1999999999999997,3.0,1.7000000000000002,9.971960689854328
dealer.n,24.4,15.7,54.800000000000004,21.099999999999998,15.299999999999999,33.900000000000006,22.69008594078039
community.n,41.199999999999996,57.199999999999996,32.2,4.6,6.800000000000001,3.5000000000000004,13.766626311482415
house.n,57.99999999999999,58.4,57.699999999999996,6.3,7.9,5.2,19.115438786488788
shape.n,41.199999999999996,58.099999999999994,31.900000000000002,9.700000000000001,14.6,7.3,19.990997974088238
access.n,48.4,85.5,33.800000000000004,11.200000000000001,23.7,7.3,23.2826115373684
field.n,65.10000000000001,78.4,55.60000000000001,35.099999999999994,50.6,26.8,47.8017782096022
edge.n,37.2,33.0,42.699999999999996,40.9,37.9,44.5,39.00615336071989
cell.n,65.5,65.9,65.10000000000001,30.099999999999998,38.2,24.8,44.402139588087415
officer.n,47.4,33.900000000000006,78.8,40.400000000000006,31.6,55.900000000000006,43.760255940750625
market.n,27.0,18.4,50.4,5.1,3.9,7.3999999999999995,11.734564329364767
promotion.n,66.7,60.3,74.5,51.300000000000004,46.5,57.3,58.4953844333038
accounting.n,21.0,13.0,55.60000000000001,35.8,26.400000000000002,55.60000000000001,27.418971534322726
television.n,34.1,26.200000000000003,49.0,7.8,6.2,10.299999999999999,16.308893279434997
campaign.n,39.0,32.800000000000004,48.199999999999996,13.0,11.600000000000001,14.899999999999999,22.516660498395403
cheat.v,42.0,30.9,65.8,22.3,15.8,38.1,30.603921317373693
assemble.v,20.7,13.3,45.800000000000004,3.5999999999999996,2.5,6.7,8.632496741962894
root.v,48.0,65.10000000000001,38.0,4.8,8.0,3.4000000000000004,15.17893276880822
reveal.v,51.7,53.7,49.8,4.8,5.1,4.5,15.753094934012173
haunt.v,70.5,88.6,58.5,27.200000000000003,38.0,21.2,43.790409909020035
operate.v,54.7,52.5,56.99999999999999,5.6000000000000005,5.4,5.800000000000001,17.501999885727347
frame.v,40.5,63.800000000000004,29.7,23.1,36.7,16.8,30.586761842339573
assert.v,28.4,19.8,50.0,25.7,19.7,37.2,27.01629138131287
introduce.v,63.4,57.8,70.19999999999999,13.200000000000001,12.6,13.900000000000002,28.92887830525062
swear.v,37.8,64.4,26.8,8.7,16.6,5.8999999999999995,18.134497511648895
bow.v,61.3,66.7,56.8,59.0,60.6,57.49999999999999,60.13900564525489
figure.v,51.9,61.8,44.800000000000004,21.099999999999998,28.000000000000004,17.0,33.09214408284842
analyze.v,61.8,48.3,85.9,9.2,6.3,17.2,23.844496220302076
expose.v,29.099999999999998,18.9,63.9,10.9,7.3999999999999995,20.8,17.809828747071094
conclude.v,52.0,71.6,40.8,20.8,30.4,15.8,32.887687665751145
appeal.v,49.5,68.10000000000001,38.9,19.400000000000002,27.500000000000004,15.0,30.988707620680152
owe.v,47.9,64.3,38.1,23.400000000000002,31.6,18.6,33.479247303366904
mount.v,27.3,21.4,37.5,49.6,43.9,57.099999999999994,36.797826022742164
regain.v,61.5,48.1,85.2,31.6,23.400000000000002,48.699999999999996,44.08401070683111
relax.v,29.4,19.8,57.199999999999996,19.3,14.299999999999999,29.5,23.820579338042975
cultivate.v,26.0,18.8,41.9,19.3,16.3,23.799999999999997,22.400892839349062
violate.v,20.1,11.200000000000001,95.3,3.5000000000000004,1.7999999999999998,33.300000000000004,8.387490685538793
commit.v,55.400000000000006,53.6,57.3,24.2,25.7,22.8,36.61529734960512
pour.v,60.9,79.4,49.4,41.8,56.99999999999999,33.1,50.45413759048905
deny.v,57.99999999999999,50.2,68.60000000000001,3.5000000000000004,3.1,4.0,14.247806848775006
lay.v,45.0,42.3,48.1,29.5,28.999999999999996,30.099999999999998,36.43487340447336
shave.v,20.0,11.700000000000001,68.60000000000001,20.9,13.200000000000001,50.6,20.445048300260872
weigh.v,39.5,63.6,28.7,10.5,17.9,7.5,20.3654118544163
apply.v,38.3,59.199999999999996,28.299999999999997,1.7000000000000002,2.7,1.2,8.069076774947677
level.v,41.8,55.900000000000006,33.300000000000004,18.5,26.3,14.299999999999999,27.808272150566996
presume.v,63.1,51.1,82.5,21.7,16.8,30.5,37.00364846876589
wait.v,65.9,49.9,97.1,2.6,1.4000000000000001,13.100000000000001,13.089690599857585
stick.v,41.6,59.199999999999996,32.1,5.0,7.3,3.8,14.422205101855956
separate.v,42.1,28.000000000000004,85.1,13.8,9.0,28.799999999999997,24.103526712910707
reap.v,18.0,9.9,100.0,19.8,11.0,100.0,18.87855926706273
signal.v,27.6,18.7,52.900000000000006,18.9,13.0,34.5,22.839439572809138
swim.v,25.7,15.1,88.3,4.8,2.6,30.099999999999998,11.106754701531855
slow.v,63.5,50.2,86.5,0.2,0.1,0.3,3.5637059362410923
question.v,54.1,55.300000000000004,52.900000000000006,6.6000000000000005,6.800000000000001,6.5,18.89603132935591
happen.v,64.5,53.5,81.39999999999999,4.8,3.5999999999999996,7.199999999999999,17.595453958338215
insist.v,51.0,51.6,50.4,1.7000000000000002,1.7000000000000002,1.7000000000000002,9.311283477587825
observe.v,40.6,52.800000000000004,33.0,3.6999999999999997,5.2,2.9000000000000004,12.256426885516023
lie.v,47.199999999999996,34.5,74.7,3.2,2.3,5.4,12.289833196589774
deploy.v,47.4,55.400000000000006,41.4,10.2,12.5,8.6,21.988178642170432
accommodate.v,20.7,13.600000000000001,42.9,53.5,40.9,77.2,33.27837135437971
sniff.v,22.2,15.6,38.5,58.9,46.2,81.39999999999999,36.16047566058832
straighten.v,49.3,70.3,38.0,10.0,15.299999999999999,7.3999999999999995,22.20360331117452
