,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,54.6,65.5,46.9,4.9,6.5,3.9,16.35665002376709
address.n,28.1,17.9,65.3,39.2,30.0,56.49999999999999,33.18915485516316
camp.n,24.5,16.6,46.6,34.2,26.1,49.6,28.946502379389468
innovation.n,28.9,18.099999999999998,71.39999999999999,25.900000000000002,17.2,52.6,27.358910797032838
mind.n,38.3,98.7,23.7,1.9,30.4,1.0,8.530533394811838
park.n,29.7,25.900000000000002,34.8,24.2,21.3,28.000000000000004,26.80932673529867
reputation.n,15.4,10.4,29.2,19.1,14.399999999999999,28.199999999999996,17.1505101964927
gap.n,28.999999999999996,21.0,46.9,30.3,23.0,44.2,29.642874354556103
challenge.n,29.5,21.7,45.9,14.6,11.600000000000001,19.900000000000002,20.7533129885327
failure.n,47.0,48.5,45.5,28.799999999999997,27.900000000000002,29.799999999999997,36.79130332021414
air.n,44.3,99.0,28.599999999999998,1.0999999999999999,22.1,0.6,6.980687645210892
moment.n,67.4,91.7,53.300000000000004,0.0,0.1,0.0,0.0
tour.n,16.400000000000002,12.2,25.4,24.2,19.7,31.5,19.921847303902318
movement.n,33.6,27.6,43.0,14.7,11.700000000000001,20.0,22.22431101294256
body.n,50.6,99.8,33.900000000000006,5.7,62.3,3.0,16.98293260894596
guarantee.n,29.9,26.200000000000003,34.699999999999996,20.4,17.4,24.8,24.6973682808513
class.n,36.5,34.1,39.300000000000004,25.0,23.5,26.700000000000003,30.20761493398643
road.n,56.699999999999996,98.0,39.900000000000006,0.7000000000000001,9.700000000000001,0.4,6.3
speed.n,27.800000000000004,18.099999999999998,59.9,20.1,14.2,34.300000000000004,23.63852787294505
foundation.n,26.200000000000003,17.1,55.300000000000004,17.0,12.3,27.800000000000004,21.104501889407388
idea.n,34.9,36.7,33.2,5.2,5.2,5.1,13.47145129523913
entry.n,40.699999999999996,44.6,37.4,26.6,24.9,28.7,32.9031913345803
flight.n,35.6,42.699999999999996,30.599999999999998,9.9,10.6,9.3,18.77338541659442
origin.n,26.6,20.9,36.5,29.099999999999998,23.1,39.4,27.82193379332213
note.n,52.400000000000006,97.1,35.9,4.0,28.299999999999997,2.1999999999999997,14.477568856683087
rally.n,26.3,17.8,50.6,13.4,9.2,24.9,18.77285274006058
gas.n,46.400000000000006,32.7,79.80000000000001,26.6,19.2,43.2,35.13175202007438
chip.n,27.800000000000004,18.3,57.599999999999994,18.6,13.5,29.799999999999997,22.739393131743867
mark.n,40.6,27.800000000000004,75.2,35.8,27.400000000000002,51.9,38.12453278402241
margin.n,28.9,25.8,32.800000000000004,28.7,26.0,32.1,28.799826388365606
function.n,29.599999999999998,24.6,37.1,34.5,29.9,40.699999999999996,31.956220051814636
legislation.n,31.7,23.1,50.6,5.7,4.0,10.100000000000001,13.442098050527678
screen.n,22.8,17.599999999999998,32.300000000000004,33.900000000000006,28.1,42.699999999999996,27.80143881168743
commission.n,30.099999999999998,20.4,56.89999999999999,27.6,20.599999999999998,41.9,28.822907556317077
display.n,26.1,23.5,29.299999999999997,24.9,21.6,29.4,25.49294019920025
office.n,31.8,27.700000000000003,37.4,5.4,4.8,6.2,13.104197800704934
dealer.n,43.3,34.8,57.3,24.4,19.3,33.0,32.50415358073488
community.n,46.9,91.2,31.5,6.0,20.1,3.5000000000000004,16.774981371077583
house.n,57.699999999999996,53.400000000000006,62.6,12.4,11.5,13.600000000000001,26.74845789947525
shape.n,44.2,95.6,28.799999999999997,4.0,26.8,2.1,13.29661611087573
