,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,19.1,11.799999999999999,51.4,8.1,5.7,14.499999999999998,12.438247464976728
address.n,24.2,15.299999999999999,58.8,39.4,30.099999999999998,57.3,30.878471464760036
camp.n,18.9,11.700000000000001,49.0,31.6,23.5,48.0,24.43849422529956
innovation.n,22.5,13.4,69.8,25.5,16.7,54.0,23.95307913400697
mind.n,19.2,14.299999999999999,29.099999999999998,18.3,15.8,21.7,18.74459922217597
park.n,26.400000000000002,18.4,46.400000000000006,37.2,29.799999999999997,49.4,31.33815565728143
reputation.n,14.2,9.0,34.300000000000004,23.5,17.4,36.0,18.26745740380965
gap.n,22.3,13.8,58.599999999999994,27.6,20.0,44.6,24.808869381735235
challenge.n,19.8,12.5,46.5,13.8,10.4,20.5,16.529972776747094
failure.n,22.5,15.4,42.0,25.2,20.8,31.8,23.811761799581316
air.n,21.4,16.1,32.0,10.2,8.7,12.3,14.774302013970066
moment.n,23.200000000000003,14.799999999999999,53.900000000000006,4.1000000000000005,2.8000000000000003,8.3,9.752948272189288
tour.n,14.399999999999999,10.100000000000001,25.0,20.4,16.3,27.400000000000002,17.139428228502837
movement.n,19.8,12.8,44.0,15.8,11.4,26.1,17.687283567580412
body.n,23.1,15.6,44.6,16.0,12.5,22.3,19.224983745116667
guarantee.n,18.9,12.7,36.6,17.599999999999998,13.700000000000001,24.6,18.238420984284794
class.n,23.7,17.8,35.199999999999996,18.7,16.7,21.4,21.052078282202924
road.n,23.9,16.1,47.0,12.4,9.700000000000001,17.1,17.215109642404258
speed.n,24.6,15.2,64.2,30.4,21.099999999999998,54.900000000000006,27.34666341621954
foundation.n,27.400000000000002,18.099999999999998,55.900000000000006,17.4,12.9,26.900000000000002,21.83483455398735
idea.n,21.5,15.9,33.2,6.7,5.5,8.5,12.002083152519816
entry.n,25.8,18.5,42.3,28.000000000000004,21.6,39.900000000000006,26.877499883731748
flight.n,20.599999999999998,14.399999999999999,36.6,14.2,11.3,19.2,17.103216071838652
origin.n,28.599999999999998,18.7,60.699999999999996,40.8,30.8,60.199999999999996,34.15962529068491
note.n,34.4,25.5,52.800000000000004,21.6,18.4,26.200000000000003,27.25876005984131
rally.n,28.199999999999996,18.099999999999998,63.0,20.5,14.000000000000002,38.3,24.043710196223874
gas.n,35.3,22.900000000000002,76.3,21.4,15.1,36.7,27.484904947989175
chip.n,24.6,15.9,54.400000000000006,14.2,10.299999999999999,22.8,18.690104333577167
mark.n,25.5,15.5,71.5,30.3,22.1,48.199999999999996,27.796582523756406
margin.n,27.900000000000002,21.7,39.2,32.1,28.000000000000004,37.5,29.926409741230238
function.n,20.1,13.100000000000001,43.3,35.4,27.900000000000002,48.3,26.6747071211663
legislation.n,17.9,10.9,50.6,5.1,3.3000000000000003,10.4,9.554580053565934
screen.n,15.1,10.100000000000001,30.0,29.2,23.599999999999998,38.4,20.99809515170364
commission.n,26.700000000000003,16.900000000000002,63.800000000000004,27.500000000000004,20.1,43.6,27.09704780967846
display.n,18.8,13.4,31.4,24.6,19.7,32.6,21.505348172024558
office.n,20.0,13.3,40.2,8.1,6.3,11.600000000000001,12.727922061357855
dealer.n,24.099999999999998,15.299999999999999,57.99999999999999,23.1,16.6,37.6,23.59470279533099
community.n,24.9,17.299999999999997,44.6,20.8,16.5,28.000000000000004,22.75785578651908
house.n,19.900000000000002,12.0,57.4,12.6,9.1,20.5,15.834771864475977
shape.n,29.099999999999998,20.8,48.4,36.8,30.3,46.9,32.72430289555455
access.n,46.5,66.8,35.6,23.3,28.7,19.6,32.91580167639852
field.n,26.3,18.0,48.8,25.7,20.9,33.4,25.99826917315843
edge.n,30.4,22.6,46.2,50.7,43.7,60.3,39.2591390634079
