,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,65.7,98.1,49.4,0.7000000000000001,7.3,0.4,6.7815927332743895
address.n,32.7,23.3,55.00000000000001,36.6,29.099999999999998,49.3,34.595086356302104
camp.n,26.5,17.599999999999998,53.7,37.5,28.499999999999996,54.900000000000006,31.523800532296228
innovation.n,29.799999999999997,18.5,77.3,32.0,21.2,65.4,30.88041450499005
mind.n,37.8,97.39999999999999,23.400000000000002,1.2,18.5,0.6,6.734983296193094
park.n,30.3,31.2,29.4,12.2,12.3,12.2,19.226544151250895
reputation.n,16.0,10.4,34.1,22.1,16.6,33.300000000000004,18.804254837669053
gap.n,34.0,23.1,64.2,25.8,19.3,38.7,29.61756235749323
challenge.n,65.2,85.2,52.800000000000004,13.3,25.900000000000002,8.9,29.447580545776592
failure.n,32.300000000000004,26.200000000000003,42.3,31.8,27.900000000000002,37.0,32.04902494616646
air.n,44.3,98.0,28.599999999999998,2.1,25.1,1.0999999999999999,9.645206063117573
moment.n,56.599999999999994,59.8,53.7,5.7,5.0,6.7,17.961625761606324
tour.n,15.299999999999999,10.8,26.200000000000003,21.8,17.4,28.999999999999996,18.26307750626931
movement.n,39.900000000000006,38.0,42.0,9.3,8.4,10.5,19.26317730801438
body.n,48.8,94.0,32.9,1.0,5.7,0.6,6.985699678629192
guarantee.n,31.2,31.2,31.3,9.4,8.799999999999999,10.2,17.125419702886116
class.n,42.4,53.900000000000006,34.9,16.5,18.7,14.799999999999999,26.449952740978574
road.n,50.5,75.8,37.8,4.3999999999999995,9.4,2.9000000000000004,14.906374475371265
speed.n,38.1,28.299999999999997,58.3,20.4,15.1,31.2,27.879024373173465
foundation.n,22.0,14.099999999999998,50.0,16.5,11.799999999999999,27.6,19.05255888325765
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
entry.n,25.7,19.5,37.3,15.5,12.4,20.599999999999998,19.95870737297383
flight.n,50.0,100.0,33.300000000000004,8.3,100.0,4.3,20.371548787463365
origin.n,33.800000000000004,26.400000000000002,47.099999999999994,34.4,26.8,48.0,34.098680326370406
note.n,51.6,92.80000000000001,35.8,3.5000000000000004,15.2,2.0,13.438749941865874
rally.n,38.2,28.999999999999996,55.900000000000006,23.0,16.400000000000002,38.6,29.641187560554993
gas.n,72.5,99.3,57.099999999999994,3.0,25.1,1.6,14.747881203752625
chip.n,34.699999999999996,26.200000000000003,51.5,14.7,11.600000000000001,20.0,22.585172126862346
mark.n,41.099999999999994,33.300000000000004,53.5,21.8,17.7,28.199999999999996,29.932925015774853
margin.n,30.8,29.9,31.7,27.800000000000004,26.200000000000003,29.5,29.261578904768623
function.n,34.1,26.1,49.1,38.3,31.900000000000002,47.9,36.13903706520139
legislation.n,65.4,97.0,49.3,2.4,12.3,1.3,12.52836781069266
screen.n,42.699999999999996,75.6,29.7,12.5,29.2,8.0,23.103030104295843
commission.n,30.099999999999998,19.900000000000002,62.2,29.4,21.6,45.800000000000004,29.74794110522609
display.n,32.6,34.4,31.0,26.200000000000003,24.2,28.499999999999996,29.22533147801749
office.n,52.5,95.89999999999999,36.199999999999996,1.9,13.100000000000001,1.0,9.987492177719089
dealer.n,29.5,20.5,52.800000000000004,19.400000000000002,14.499999999999998,29.299999999999997,23.922792479140057
community.n,47.3,99.7,31.0,2.0,40.0,1.0999999999999999,9.726253132630262
house.n,55.1,54.2,56.10000000000001,10.4,9.8,11.0,23.938253904577085
shape.n,32.7,30.2,35.699999999999996,31.0,27.6,35.5,31.83865575051811
access.n,45.1,82.1,31.1,3.2,7.5,2.0,12.013325934144966
field.n,53.6,98.8,36.7,9.9,58.599999999999994,5.4,23.03562458454296
edge.n,32.4,47.199999999999996,24.6,25.5,29.4,22.5,28.74369496080836
cell.n,31.4,20.9,62.9,31.8,25.2,43.0,31.599367082269225
officer.n,67.80000000000001,57.8,82.0,39.1,32.2,49.8,51.48766842652715
market.n,62.8,98.3,46.2,0.3,3.0,0.2,4.340506882842141
promotion.n,51.5,42.1,66.2,49.9,40.8,64.1,50.693687970002735
accounting.n,21.4,14.000000000000002,45.800000000000004,26.400000000000002,19.8,39.6,23.768887226792927
television.n,25.900000000000002,17.7,48.6,9.6,7.1,15.1,15.768322675541619
campaign.n,36.6,30.7,45.300000000000004,13.8,11.4,17.4,22.47398496039365
cheat.v,39.6,27.200000000000003,73.3,29.099999999999998,19.6,56.39999999999999,33.946428383557524
assemble.v,33.800000000000004,26.1,48.0,9.8,6.9,16.8,18.200000000000003
root.v,22.0,15.9,35.699999999999996,42.5,32.800000000000004,60.199999999999996,30.577769702841312
reveal.v,32.6,24.5,48.5,5.2,3.8,8.3,13.019984639007836
haunt.v,38.800000000000004,28.599999999999998,60.6,35.3,25.2,59.199999999999996,37.00864763808589
operate.v,67.60000000000001,83.89999999999999,56.599999999999994,9.4,12.4,7.6,25.207935258564913
frame.v,17.4,12.8,27.3,43.0,35.5,54.7,27.35324478009876
assert.v,34.2,28.299999999999997,43.2,35.0,27.6,47.9,34.597687784012386
introduce.v,37.3,28.499999999999996,54.1,6.7,4.6,11.899999999999999,15.808541994757139
