,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,65.7,98.1,49.4,0.7000000000000001,7.3,0.4,6.7815927332743895
address.n,25.7,16.400000000000002,58.9,34.599999999999994,26.700000000000003,49.0,29.819792085123595
camp.n,23.0,14.6,53.6,34.0,25.6,51.0,27.964262908219126
innovation.n,31.8,20.7,69.5,28.599999999999998,19.1,56.2,30.157586110297355
mind.n,38.0,95.1,23.7,2.4,16.3,1.3,9.549869109050658
park.n,27.700000000000003,21.3,39.7,29.2,24.4,36.5,28.440112517358298
reputation.n,17.4,11.200000000000001,39.5,25.1,18.7,38.1,20.89832529175484
gap.n,33.5,24.9,51.1,30.0,23.0,42.8,31.701734968294716
challenge.n,31.5,23.400000000000002,48.5,18.3,14.399999999999999,24.8,24.00937316966022
failure.n,48.199999999999996,59.199999999999996,40.6,17.7,20.1,15.8,29.208560389036634
air.n,34.8,41.4,30.0,16.400000000000002,17.8,15.299999999999999,23.88974675462258
moment.n,68.60000000000001,96.7,53.1,1.7000000000000002,8.7,1.0,10.79907403437906
tour.n,16.400000000000002,12.2,25.0,27.800000000000004,22.5,36.6,21.352283250275605
movement.n,24.0,16.0,48.1,16.0,11.700000000000001,25.2,19.595917942265423
body.n,46.6,71.5,34.5,6.6000000000000005,10.0,4.9,17.537388631150307
guarantee.n,43.1,66.7,31.900000000000002,8.5,14.2,6.1,19.140271680412482
class.n,38.800000000000004,35.199999999999996,43.2,20.0,19.0,21.0,27.856776554368242
road.n,56.699999999999996,98.0,39.900000000000006,0.7000000000000001,9.700000000000001,0.4,6.3
speed.n,33.2,23.599999999999998,55.800000000000004,23.599999999999998,17.1,38.0,27.991427259073447
foundation.n,28.1,18.6,57.8,19.1,13.8,31.1,23.16700239564886
idea.n,30.2,28.9,31.5,5.4,4.9,6.0,12.770277992275657
entry.n,32.6,28.299999999999997,38.3,20.8,17.0,26.8,26.039969278015672
flight.n,30.5,27.700000000000003,33.900000000000006,9.6,8.4,11.0,17.11139970896595
origin.n,21.099999999999998,15.4,33.300000000000004,26.6,20.7,37.3,23.69092653316877
note.n,52.300000000000004,98.5,35.6,2.1,24.5,1.0999999999999999,10.47998091601316
rally.n,31.5,21.9,56.3,25.5,17.599999999999998,46.400000000000006,28.341665441536776
gas.n,71.5,91.10000000000001,58.8,5.2,10.7,3.4000000000000004,19.282116066448722
chip.n,24.3,15.6,54.6,13.700000000000001,9.9,22.2,18.245821439441965
mark.n,29.7,18.6,74.6,29.4,21.6,46.300000000000004,29.549619286887605
margin.n,30.5,26.3,36.4,30.599999999999998,27.200000000000003,34.9,30.54995908344232
function.n,34.0,29.599999999999998,39.900000000000006,37.0,32.300000000000004,43.4,35.4682957019364
legislation.n,37.7,29.799999999999997,51.1,6.7,5.0,10.100000000000001,15.893080255255745
screen.n,16.2,10.9,31.7,34.599999999999994,27.700000000000003,46.2,23.675303588338625
commission.n,34.1,23.3,63.9,37.3,27.700000000000003,57.199999999999996,35.664127635482686
display.n,51.5,85.8,36.8,20.1,39.2,13.5,32.17374706185153
office.n,53.300000000000004,99.0,36.4,0.7000000000000001,10.8,0.3,6.1081912216301815
dealer.n,38.800000000000004,29.099999999999998,58.3,25.3,19.6,35.699999999999996,31.331134674633155
community.n,45.7,91.8,30.5,1.9,8.4,1.0999999999999999,9.318261640456335
house.n,72.2,99.4,56.699999999999996,8.1,45.7,4.3999999999999995,24.183051916579927
shape.n,44.2,92.30000000000001,28.999999999999996,7.7,32.2,4.3999999999999995,18.44830615530868
access.n,46.0,89.0,31.0,5.5,17.2,3.3000000000000003,15.905973720586866
field.n,57.4,81.39999999999999,44.3,20.0,34.5,14.099999999999998,33.88214869219483
edge.n,34.0,39.6,29.799999999999997,41.5,43.0,40.1,37.5632799419859
cell.n,32.7,21.4,68.89999999999999,34.300000000000004,26.6,48.4,33.49044639893592
officer.n,69.89999999999999,58.699999999999996,86.2,41.5,33.5,54.400000000000006,53.85953954500539
market.n,37.5,29.799999999999997,50.5,5.1,4.1000000000000005,6.9,13.82931668593933
promotion.n,39.300000000000004,29.799999999999997,58.099999999999994,42.9,34.8,55.900000000000006,41.06056502290245
accounting.n,28.4,21.2,42.699999999999996,27.500000000000004,21.6,37.9,27.94637722496424
