,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,21.099999999999998,13.4,49.4,4.2,2.9000000000000004,7.199999999999999,9.413819628609845
address.n,21.4,14.499999999999998,40.9,29.2,22.7,40.9,24.99759988478894
camp.n,23.400000000000002,14.6,58.8,36.7,27.400000000000002,55.60000000000001,29.304948387601712
innovation.n,29.2,17.8,81.69999999999999,33.0,21.9,67.5,31.0419071579051
mind.n,17.7,13.8,24.6,12.8,11.4,14.7,15.051910177781423
park.n,28.499999999999996,28.000000000000004,28.9,10.6,10.5,10.7,17.381024135533554
reputation.n,25.4,17.2,48.9,31.2,23.599999999999998,46.1,28.15102129586065
gap.n,28.299999999999997,18.3,62.3,26.0,19.3,39.800000000000004,27.12563363315224
challenge.n,17.9,11.0,47.9,15.2,11.200000000000001,23.599999999999998,16.494847680412207
failure.n,22.8,16.1,39.1,26.0,21.5,32.9,24.347484469653125
air.n,23.200000000000003,17.8,33.300000000000004,13.200000000000001,11.5,15.5,17.499714283381888
moment.n,20.599999999999998,12.6,56.699999999999996,3.5000000000000004,2.3,7.5,8.491171886141512
tour.n,23.9,20.3,29.099999999999998,9.8,9.1,10.5,15.304247776352812
movement.n,19.3,12.2,45.800000000000004,14.6,10.5,23.9,16.78630394101096
body.n,22.2,15.299999999999999,40.400000000000006,15.5,12.2,21.3,18.549932614432862
guarantee.n,18.3,12.5,33.800000000000004,18.6,14.499999999999998,26.0,18.449390233826158
class.n,25.3,17.8,43.2,25.6,21.8,31.1,25.44955795293899
road.n,18.099999999999998,11.700000000000001,39.7,11.600000000000001,8.9,16.8,14.489996549343966
speed.n,21.8,13.600000000000001,54.50000000000001,19.8,13.700000000000001,35.6,20.775947631816944
foundation.n,26.700000000000003,18.4,48.699999999999996,9.2,6.9,13.700000000000001,15.672906558772052
idea.n,18.3,13.0,31.2,6.1,4.9,8.1,10.56550992617015
entry.n,14.799999999999999,9.3,36.6,16.2,12.1,24.8,15.484185480676727
flight.n,25.6,21.2,32.4,11.3,9.9,13.3,17.00823330037544
origin.n,21.099999999999998,14.299999999999999,40.6,37.8,28.499999999999996,56.2,28.24145888582953
note.n,23.5,16.5,40.6,19.900000000000002,16.7,24.8,21.625216761919408
rally.n,24.099999999999998,14.6,69.19999999999999,25.4,16.8,52.1,24.741463174194042
gas.n,26.900000000000002,17.0,64.9,20.4,14.000000000000002,37.4,23.425626992676204
chip.n,19.6,12.2,49.4,11.4,8.1,19.2,14.947909552843836
mark.n,24.7,15.1,67.10000000000001,25.900000000000002,18.8,41.8,25.292884374859266
margin.n,27.800000000000004,24.8,31.7,26.6,24.8,28.599999999999998,27.193381547722236
function.n,29.2,20.1,53.300000000000004,44.800000000000004,36.0,59.3,36.16849457746341
legislation.n,18.6,11.5,49.6,6.1,4.1000000000000005,12.5,10.651760417883985
screen.n,23.0,16.0,41.3,39.4,31.8,51.800000000000004,30.103155980727337
commission.n,28.199999999999996,18.7,57.699999999999996,28.9,21.5,44.3,28.547854560369327
display.n,18.5,12.1,38.5,29.299999999999997,23.0,40.300000000000004,23.281967270830012
office.n,19.5,12.9,39.6,7.5,5.800000000000001,10.7,12.093386622447824
dealer.n,22.7,14.399999999999999,52.800000000000004,16.7,12.1,27.200000000000003,19.470233691458354
community.n,21.9,15.299999999999999,38.800000000000004,15.0,11.899999999999999,20.200000000000003,18.12456896039186
house.n,22.400000000000002,13.900000000000002,58.5,12.3,9.0,19.2,16.598795136997143
shape.n,26.5,18.5,47.0,35.099999999999994,28.499999999999996,45.7,30.498360611678784
access.n,18.0,12.7,31.0,16.8,13.4,22.5,17.389652095427326
field.n,30.3,20.4,58.9,29.799999999999997,24.099999999999998,39.2,30.048960048560748
edge.n,20.0,16.0,26.6,35.6,31.6,40.6,26.68332812825267
cell.n,22.3,13.600000000000001,61.5,28.599999999999998,21.3,43.6,25.25430656343587
officer.n,40.2,28.799999999999997,66.60000000000001,36.6,28.7,50.5,38.35778930021907
market.n,23.200000000000003,15.2,49.7,4.3,3.1,6.800000000000001,9.987992791347018
promotion.n,46.400000000000006,34.699999999999996,70.0,43.7,35.699999999999996,56.10000000000001,45.029767931891456
accounting.n,32.5,23.3,53.6,28.299999999999997,22.8,37.5,30.3273803682415
television.n,20.599999999999998,13.5,43.2,5.0,3.5999999999999996,7.9,10.14889156509222
campaign.n,27.500000000000004,18.6,52.800000000000004,15.2,11.5,22.2,20.445048300260876
cheat.v,39.6,27.200000000000003,73.3,29.099999999999998,19.6,56.39999999999999,33.946428383557524
assemble.v,16.6,10.299999999999999,42.5,5.0,3.3000000000000003,10.0,9.1104335791443
root.v,25.6,17.5,47.8,45.2,35.6,61.6,34.01646660075088
reveal.v,21.7,13.900000000000002,49.3,4.9,3.4000000000000004,9.0,10.311643903859364
haunt.v,30.8,20.0,66.7,32.9,22.7,59.199999999999996,31.8326876025258
operate.v,28.799999999999997,19.1,58.199999999999996,4.8,3.3000000000000003,8.799999999999999,11.757550765359253
frame.v,18.5,12.8,33.300000000000004,49.9,40.0,66.3,30.383383616707338
assert.v,27.700000000000003,20.3,43.4,16.6,13.100000000000001,22.5,21.44341390730497
introduce.v,21.3,12.8,64.60000000000001,9.8,6.3,21.7,14.447837208385206
swear.v,18.8,13.0,33.6,27.700000000000003,22.900000000000002,34.9,22.820166519988415
