,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,19.8,12.3,50.1,6.7,4.7,11.799999999999999,11.51781229227148
address.n,20.3,12.6,52.400000000000006,33.4,25.3,49.0,26.038817177437227
camp.n,16.900000000000002,10.7,40.0,28.999999999999996,21.8,43.5,22.138202275704323
innovation.n,25.8,15.9,67.7,24.2,16.1,48.6,24.987196721521205
mind.n,18.9,14.6,26.8,13.900000000000002,12.3,16.0,16.20833119108812
park.n,26.0,20.200000000000003,36.5,24.4,20.8,29.7,25.187298386289864
reputation.n,11.700000000000001,7.5,27.0,17.8,13.3,27.1,14.431216164966832
gap.n,22.6,14.099999999999998,57.099999999999994,25.8,18.8,41.5,24.147049509205054
challenge.n,18.7,11.4,53.1,20.200000000000003,14.899999999999999,31.7,19.435534466538346
failure.n,18.6,12.6,35.9,21.4,17.4,27.6,19.950939827486824
air.n,23.3,17.299999999999997,35.4,14.299999999999999,12.2,17.299999999999997,18.253492816444748
moment.n,19.900000000000002,12.2,54.6,4.3999999999999995,2.9000000000000004,9.3,9.357350052231668
tour.n,17.0,10.8,40.0,31.3,24.3,44.0,23.067292862405854
movement.n,23.799999999999997,15.4,52.0,14.899999999999999,10.9,23.400000000000002,18.8313568284391
body.n,25.2,18.5,39.5,12.4,10.100000000000001,16.2,17.677103835187484
guarantee.n,19.6,13.3,36.8,19.5,15.2,27.1,19.54993606127652
class.n,25.3,17.5,45.4,24.099999999999998,20.3,29.5,24.692711475251155
road.n,23.5,16.2,42.699999999999996,11.3,9.0,15.1,16.295704955601032
speed.n,18.6,11.700000000000001,45.6,9.8,6.9,17.1,13.501111065390138
foundation.n,30.4,21.0,55.1,14.299999999999999,11.0,20.599999999999998,20.849940047875435
idea.n,17.7,12.5,30.2,4.1000000000000005,3.3000000000000003,5.5,8.518802732778827
entry.n,18.099999999999998,11.5,42.199999999999996,19.2,14.299999999999999,28.999999999999996,18.641888316369666
flight.n,25.0,18.4,38.800000000000004,14.399999999999999,11.899999999999999,18.3,18.973665961010276
origin.n,16.900000000000002,11.0,37.0,27.700000000000003,20.9,41.0,21.636312070221212
note.n,28.599999999999998,21.2,44.2,20.7,17.9,24.7,24.33146111518994
rally.n,24.7,15.8,57.099999999999994,19.2,13.0,36.8,21.77705214210592
gas.n,26.200000000000003,15.9,75.3,22.2,15.0,42.699999999999996,24.11721376942204
chip.n,26.200000000000003,18.0,47.699999999999996,8.6,6.5,12.5,15.010662876768635
mark.n,25.4,15.2,78.10000000000001,33.4,24.0,54.900000000000006,29.126620126612696
margin.n,29.7,22.900000000000002,42.199999999999996,32.6,28.4,38.4,31.116233705254242
function.n,21.7,14.6,42.6,37.9,30.2,50.9,28.678040379356467
legislation.n,18.7,11.4,52.1,6.4,4.2,13.200000000000001,10.939835464941876
screen.n,8.9,5.8999999999999995,17.9,21.6,17.2,28.999999999999996,13.865064009949611
commission.n,26.5,16.2,72.8,34.0,24.3,56.3,30.01666203960727
display.n,17.299999999999997,11.3,36.8,27.0,21.099999999999998,37.2,21.61249638519345
office.n,18.7,12.4,38.4,5.1,3.9,7.199999999999999,9.765756499114648
dealer.n,26.200000000000003,17.1,56.00000000000001,20.9,15.4,32.7,23.400427346525106
community.n,23.599999999999998,16.3,43.1,18.3,14.499999999999998,24.8,20.781722738983888
house.n,25.1,16.1,57.4,10.8,8.1,16.1,16.464507280814694
shape.n,26.8,19.1,44.9,35.099999999999994,28.7,45.1,30.670507005916935
access.n,21.9,16.5,32.6,17.599999999999998,14.299999999999999,22.900000000000002,19.63262590689284
field.n,27.900000000000002,18.8,54.0,26.8,21.7,35.199999999999996,27.34446927625402
edge.n,22.5,16.0,37.8,46.2,39.4,55.7,32.24127789030702
