,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,65.7,98.1,49.4,0.7000000000000001,7.3,0.4,6.7815927332743895
address.n,31.5,21.4,59.599999999999994,32.4,25.3,45.1,31.946830828737927
camp.n,36.9,32.7,42.4,32.800000000000004,28.1,39.5,34.78965363437814
innovation.n,31.3,19.6,78.3,31.3,20.7,63.4,31.3
mind.n,36.4,88.6,22.900000000000002,2.5,12.1,1.4000000000000001,9.539392014169456
park.n,32.2,33.7,30.8,20.7,20.3,21.099999999999998,25.817435968740195
reputation.n,28.4,23.9,35.199999999999996,13.600000000000001,11.700000000000001,16.2,19.652989594461197
gap.n,61.7,97.5,45.1,4.9,26.8,2.7,17.38763928772391
challenge.n,68.10000000000001,99.0,51.9,13.700000000000001,61.4,7.7,30.544557616701542
failure.n,27.6,21.3,39.2,28.199999999999996,24.2,33.800000000000004,27.898387050150408
air.n,44.1,95.89999999999999,28.7,1.4000000000000001,9.6,0.7000000000000001,7.857480512225277
moment.n,69.1,97.39999999999999,53.5,0.2,0.7000000000000001,0.1,3.7175260590882213
tour.n,26.5,23.599999999999998,30.2,18.4,17.1,19.900000000000002,22.081666603768838
movement.n,42.0,42.199999999999996,41.699999999999996,9.8,9.0,10.8,20.287927444665215
body.n,49.7,98.8,33.2,0.8999999999999999,16.1,0.4,6.688049042882386
guarantee.n,45.4,84.8,31.0,9.0,25.7,5.5,20.213856633507618
class.n,34.2,45.9,27.3,13.8,17.4,11.5,21.724640388278008
road.n,53.0,85.2,38.4,5.1,15.6,3.1,16.44080290010193
speed.n,26.400000000000002,17.5,53.400000000000006,20.200000000000003,14.399999999999999,33.800000000000004,23.092856038177697
foundation.n,27.400000000000002,18.6,52.2,14.6,10.8,22.6,20.00099997500125
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
entry.n,53.7,82.5,39.800000000000004,13.900000000000002,31.1,8.9,27.320871142772884
flight.n,48.8,96.2,32.6,1.4000000000000001,10.0,0.8,8.26559132790873
origin.n,53.900000000000006,95.6,37.5,11.700000000000001,39.2,6.9,25.112347560512937
