,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,44.3,41.099999999999994,47.9,8.4,7.3999999999999995,9.9,19.290412126235147
address.n,30.599999999999998,21.0,56.699999999999996,42.4,33.2,58.8,36.01999444752872
camp.n,32.9,26.8,42.6,28.1,23.200000000000003,35.6,30.405427147139374
innovation.n,31.7,22.1,56.00000000000001,9.9,7.000000000000001,17.2,17.71524766973355
mind.n,36.6,90.3,22.900000000000002,4.5,25.1,2.5,12.833549781724463
park.n,25.1,20.200000000000003,33.1,23.3,19.400000000000002,29.299999999999997,24.183258672064856
reputation.n,24.9,17.9,40.699999999999996,23.7,18.4,33.300000000000004,24.292591463242452
gap.n,33.800000000000004,27.3,44.3,19.2,16.1,23.9,25.474693324945054
challenge.n,67.10000000000001,95.8,51.7,11.899999999999999,40.8,7.000000000000001,28.257565358678725
failure.n,33.2,26.900000000000002,43.3,22.1,19.5,25.7,27.08726638108763
air.n,44.3,99.0,28.599999999999998,1.0999999999999999,22.1,0.6,6.980687645210892
moment.n,69.1,98.3,53.2,0.8999999999999999,7.6,0.5,7.886063656856948
tour.n,18.7,14.2,27.3,23.5,19.2,30.5,20.96306275332877
movement.n,38.5,35.5,42.0,16.3,13.8,19.8,25.050948085850965
body.n,49.7,98.8,33.2,0.8999999999999999,16.1,0.4,6.688049042882386
guarantee.n,47.199999999999996,88.0,32.2,2.1999999999999997,6.2,1.3,10.190191362285596
class.n,39.800000000000004,71.1,27.700000000000003,4.6,10.5,2.9000000000000004,13.530705820466277
road.n,55.60000000000001,94.1,39.4,2.0,12.0,1.0999999999999999,10.545141061171254
speed.n,33.1,23.9,53.900000000000006,19.5,14.6,29.299999999999997,25.405708020049353
foundation.n,28.000000000000004,18.6,56.99999999999999,19.7,14.299999999999999,31.6,23.48616614094348
idea.n,46.9,97.0,31.0,1.2,10.7,0.7000000000000001,7.50199973340442
entry.n,51.7,76.7,39.0,15.5,26.900000000000002,10.9,28.308126041827638
flight.n,32.2,32.6,31.900000000000002,13.5,12.2,15.1,20.849460424672866
origin.n,23.0,17.599999999999998,33.300000000000004,32.300000000000004,25.0,45.6,27.256191957058125
note.n,52.400000000000006,97.1,35.9,4.0,28.299999999999997,2.1999999999999997,14.477568856683087
rally.n,32.300000000000004,22.5,57.599999999999994,23.1,16.0,41.4,27.315380282910215
gas.n,74.8,96.3,61.1,18.2,40.300000000000004,11.799999999999999,36.89661231061735
chip.n,27.6,18.8,52.400000000000006,13.8,10.2,21.4,19.516147160748712
mark.n,39.0,30.2,55.00000000000001,19.5,16.6,23.599999999999998,27.577164466275352
margin.n,31.6,28.499999999999996,35.6,29.799999999999997,27.400000000000002,32.800000000000004,30.68680498194623
function.n,40.2,47.699999999999996,34.699999999999996,19.3,24.4,15.9,27.854263587465386
legislation.n,41.4,35.8,48.9,5.3,4.0,7.8,14.81283227475421
screen.n,41.5,65.5,30.4,14.899999999999999,23.3,11.0,24.8666443252804
commission.n,43.8,45.1,42.6,10.6,10.2,11.1,21.54715758516654
display.n,51.5,85.8,36.8,20.1,39.2,13.5,32.17374706185153
office.n,39.900000000000006,41.8,38.2,3.8,3.9,3.6999999999999997,12.313407326974934
dealer.n,48.3,40.400000000000006,60.0,20.0,15.9,26.900000000000002,31.080540535840107
community.n,46.400000000000006,96.3,30.599999999999998,1.0,8.0,0.5,6.811754546370561
house.n,70.3,98.4,54.7,0.4,5.2,0.2,5.302829433425141
shape.n,44.2,95.6,28.799999999999997,4.0,26.8,2.1,13.29661611087573
access.n,46.400000000000006,66.5,35.6,24.5,29.2,21.099999999999998,33.71646482061843
field.n,52.1,98.9,35.4,1.2,20.200000000000003,0.6,7.906958960308318
edge.n,35.699999999999996,96.2,21.9,7.3,43.8,4.0,16.143419712068443
cell.n,32.7,22.0,63.1,30.8,24.3,42.0,31.73578421907989
