,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,25.900000000000002,17.599999999999998,49.0,3.6999999999999997,2.8000000000000003,5.7,9.789279850938986
address.n,35.3,24.0,66.3,42.5,33.2,58.9,38.73306081372862
camp.n,38.0,36.6,39.5,20.7,19.900000000000002,21.5,28.046390142048583
innovation.n,26.5,16.3,71.39999999999999,24.7,16.400000000000002,50.0,25.58417479615084
mind.n,33.5,59.5,23.3,1.5,2.8000000000000003,1.0999999999999999,7.088723439378913
park.n,27.500000000000004,26.200000000000003,28.9,11.1,10.8,11.4,17.47140520965615
reputation.n,27.800000000000004,22.400000000000002,36.6,15.8,13.3,19.3,20.95805334471692
gap.n,36.5,27.200000000000003,55.800000000000004,22.3,17.8,29.599999999999998,28.529808972371338
challenge.n,51.6,53.1,50.2,3.8,4.8,3.1,14.002856851371437
failure.n,37.1,37.1,37.2,17.1,19.0,15.5,25.18749689826284
air.n,20.9,14.799999999999999,35.5,14.899999999999999,12.4,18.7,17.646812743382302
moment.n,52.300000000000004,50.8,53.900000000000006,2.3,2.1999999999999997,2.3,10.96767979109529
tour.n,31.8,32.4,31.2,13.700000000000001,14.7,12.9,20.872469906553945
movement.n,22.2,15.4,39.7,11.200000000000001,8.3,17.2,15.768322675541619
body.n,39.900000000000006,50.1,33.1,0.6,0.8,0.4,4.892851929090027
guarantee.n,38.800000000000004,47.9,32.6,9.6,11.5,8.3,19.29974093090371
class.n,22.7,16.3,37.5,21.3,18.2,25.6,21.988860816331528
road.n,22.3,14.7,46.9,13.100000000000001,10.100000000000001,18.8,17.091810904640855
speed.n,23.3,14.6,56.3,16.900000000000002,11.799999999999999,29.799999999999997,19.843638779215873
foundation.n,29.5,20.1,55.1,13.5,10.299999999999999,19.6,19.956202043475106
idea.n,38.800000000000004,51.4,31.2,1.6,2.3,1.2,7.879086241436885
entry.n,35.8,33.300000000000004,38.800000000000004,12.5,11.600000000000001,13.5,21.154195801306177
flight.n,20.200000000000003,14.7,32.2,9.9,8.1,12.9,14.141428499271212
origin.n,36.199999999999996,27.500000000000004,53.2,41.699999999999996,32.7,57.3,38.85279912696124
note.n,29.2,24.8,35.5,8.799999999999999,8.4,9.4,16.0299719276111
rally.n,21.9,13.600000000000001,55.60000000000001,15.6,10.4,31.2,18.483506160899235
gas.n,44.0,29.7,85.3,30.599999999999998,21.8,51.2,36.69332364340957
chip.n,23.5,14.799999999999999,57.4,17.8,12.7,29.7,20.452383724153037
mark.n,23.1,14.299999999999999,59.599999999999994,22.3,16.3,35.699999999999996,22.69647549731015
margin.n,31.4,27.500000000000004,36.7,31.1,28.499999999999996,34.2,31.249639997926376
function.n,42.5,52.800000000000004,35.6,12.5,17.4,9.700000000000001,23.04886114323222
legislation.n,20.8,13.100000000000001,50.0,5.6000000000000005,3.8,11.200000000000001,10.792590050585634
screen.n,37.4,47.9,30.599999999999998,8.5,12.0,6.6000000000000005,17.829750418892576
commission.n,54.6,62.9,48.3,13.700000000000001,15.8,12.2,27.349954296122693
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,40.5,42.0,39.2,6.1,6.6000000000000005,5.7,15.717824276915682
dealer.n,26.200000000000003,17.2,54.900000000000006,14.499999999999998,10.7,22.6,19.491023574969066
community.n,24.0,18.0,35.8,11.899999999999999,9.9,14.899999999999999,16.899704139422084
house.n,21.0,12.7,60.3,14.399999999999999,10.4,23.400000000000002,17.389652095427326
shape.n,41.3,37.9,45.4,38.1,35.5,41.199999999999996,39.66774508337977
access.n,48.0,65.9,37.7,18.9,23.799999999999997,15.6,30.11976095522672
field.n,49.5,73.3,37.3,5.5,10.100000000000001,3.6999999999999997,16.5
edge.n,24.2,17.9,37.3,39.800000000000004,34.699999999999996,46.7,31.034819155264948
cell.n,41.6,31.5,61.1,28.499999999999996,25.3,32.6,34.43254274665175
officer.n,72.6,71.7,73.5,52.900000000000006,53.2,52.7,61.9720904924144
market.n,27.0,18.6,48.8,3.2,2.4,4.6,9.2951600308978
promotion.n,38.6,26.400000000000002,71.1,51.4,40.0,71.7,44.542563913632094
accounting.n,38.5,29.5,55.300000000000004,39.1,32.2,49.8,38.79884018885101
television.n,27.400000000000002,20.4,41.3,3.6999999999999997,2.9000000000000004,5.2,10.0687635785135
campaign.n,35.099999999999994,26.8,50.8,17.599999999999998,14.6,22.2,24.854778212649574
cheat.v,37.6,23.5,95.0,36.8,23.7,82.0,37.19784940020054
assemble.v,52.0,47.3,57.8,12.8,10.9,15.5,25.79922479455536
root.v,75.4,77.8,73.1,57.4,63.6,52.2,65.78723280394152
reveal.v,51.800000000000004,55.60000000000001,48.4,1.2,1.3,1.0999999999999999,7.884161337770809
haunt.v,77.3,82.89999999999999,72.5,47.3,45.300000000000004,49.4,60.467263870626724
operate.v,52.900000000000006,50.8,55.2,2.4,2.3,2.5,11.26765281680262
frame.v,30.0,31.900000000000002,28.299999999999997,28.599999999999998,29.599999999999998,27.700000000000003,29.291637031753616
assert.v,29.9,21.7,47.9,20.9,16.6,28.1,24.998199935195334
introduce.v,24.2,14.899999999999999,65.4,10.5,6.9,22.0,15.940514420808382
swear.v,25.2,21.2,31.0,22.900000000000002,21.099999999999998,25.2,24.022489463001126
bow.v,36.199999999999996,24.6,68.0,60.9,49.4,79.5,46.95295517856144
figure.v,40.300000000000004,38.2,42.699999999999996,14.6,14.7,14.399999999999999,24.256545508377734
