,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,19.8,12.2,53.1,9.9,6.9,17.7,14.000714267493642
address.n,23.0,14.499999999999998,55.900000000000006,36.7,27.900000000000002,53.400000000000006,29.053399112668384
camp.n,42.699999999999996,41.5,44.0,19.7,20.0,19.400000000000002,29.003275677067926
innovation.n,34.5,26.1,51.1,2.6,2.0,3.9,9.47100839404126
mind.n,24.0,21.099999999999998,27.800000000000004,14.499999999999998,13.5,15.5,18.654758106177628
park.n,26.8,18.099999999999998,51.5,37.3,29.5,50.6,31.617083989514278
reputation.n,14.6,9.700000000000001,29.5,14.099999999999998,10.7,20.7,14.347822134386806
gap.n,20.9,13.900000000000002,42.0,20.8,15.4,32.0,20.849940047875435
challenge.n,26.6,17.9,51.4,15.1,12.0,20.4,20.04145703286066
failure.n,29.5,25.900000000000002,34.4,8.0,7.9,8.1,15.362291495737216
air.n,32.7,28.7,38.1,15.0,14.299999999999999,15.8,22.147234590350102
moment.n,42.6,35.199999999999996,54.0,2.4,1.9,3.1,10.11137972781163
tour.n,16.2,10.8,32.0,28.7,22.6,39.2,21.56246739127969
movement.n,23.599999999999998,15.5,49.3,21.8,15.9,34.9,22.682151573428833
body.n,23.200000000000003,15.8,43.5,17.0,13.3,23.5,19.859506539690255
guarantee.n,38.2,43.7,34.0,7.000000000000001,7.7,6.3,16.352369858830862
class.n,23.400000000000002,16.5,40.2,26.400000000000002,22.400000000000002,32.0,24.854778212649578
road.n,25.900000000000002,18.099999999999998,45.300000000000004,13.5,10.9,17.8,18.698930450696906
speed.n,20.599999999999998,12.7,54.50000000000001,20.5,14.2,37.1,20.549939172659368
foundation.n,32.2,22.400000000000002,57.099999999999994,18.5,14.2,26.5,24.40696621868437
idea.n,17.5,12.1,31.7,6.0,4.8,8.0,10.246950765959598
entry.n,50.7,73.4,38.800000000000004,15.299999999999999,28.000000000000004,10.5,27.851570871317115
flight.n,30.099999999999998,28.499999999999996,31.900000000000002,9.5,9.3,9.700000000000001,16.91005617968196
origin.n,21.2,13.200000000000001,54.50000000000001,39.800000000000004,29.4,61.6,29.047547228638773
note.n,36.9,27.900000000000002,54.6,24.8,21.099999999999998,30.099999999999998,30.250950398293273
rally.n,33.300000000000004,24.9,50.4,6.4,4.8,9.6,14.598630072715729
gas.n,38.800000000000004,25.4,81.39999999999999,26.900000000000002,19.0,45.9,32.30665566102441
chip.n,25.7,17.2,51.5,13.3,9.8,20.4,18.48810428356569
mark.n,32.7,23.5,53.800000000000004,17.1,14.000000000000002,22.1,23.646775678726268
margin.n,32.300000000000004,27.0,40.2,34.300000000000004,31.0,38.5,33.28498159831248
function.n,38.9,47.699999999999996,32.9,9.0,12.5,7.1,18.71095935541521
legislation.n,20.0,12.4,51.6,9.700000000000001,6.4,19.6,13.928388277184121
screen.n,16.900000000000002,11.799999999999999,29.799999999999997,32.800000000000004,26.5,42.9,23.544001359157285
commission.n,48.9,54.0,44.6,1.2,1.5,1.0,7.660287200882222
display.n,21.6,16.2,32.5,26.200000000000003,21.6,33.5,23.78907312191881
office.n,38.800000000000004,39.2,38.4,3.5999999999999996,3.8,3.4000000000000004,11.818629362155326
dealer.n,28.199999999999996,18.6,57.8,20.7,15.2,32.1,24.16071191004106
community.n,44.2,60.0,34.9,12.8,18.6,9.8,23.78570999570961
house.n,45.9,38.800000000000004,56.10000000000001,4.7,4.5,4.8,14.687749997872377
shape.n,29.4,22.5,42.4,32.800000000000004,27.800000000000004,40.0,31.05350221794637
access.n,43.2,56.599999999999994,34.9,19.1,21.8,17.0,28.72490208860598
field.n,42.699999999999996,52.0,36.3,3.2,4.6,2.4,11.689311356961966
edge.n,26.5,18.9,44.4,48.1,41.099999999999994,57.99999999999999,35.702240826032195
cell.n,33.5,22.7,63.800000000000004,27.3,21.9,36.1,30.241527739186722
officer.n,72.2,72.6,71.8,53.300000000000004,54.300000000000004,52.2,62.03434532579514
market.n,40.6,35.9,46.7,2.4,2.3,2.6,9.871170143402452
promotion.n,20.0,14.000000000000002,34.699999999999996,29.2,23.200000000000003,39.4,24.166091947189145
accounting.n,22.8,14.499999999999998,52.800000000000004,30.599999999999998,23.0,45.800000000000004,26.413632843666164
television.n,22.6,14.899999999999999,47.099999999999994,10.7,7.8,17.2,15.550562690783893
campaign.n,21.7,14.099999999999998,47.4,15.8,11.700000000000001,24.099999999999998,18.516479146965278
cheat.v,31.1,19.8,72.7,26.6,16.8,64.1,28.76212787677574
assemble.v,42.9,34.5,56.39999999999999,11.600000000000001,9.1,15.8,22.307846153315655
root.v,41.699999999999996,47.599999999999994,37.0,4.1000000000000005,5.3,3.3000000000000003,13.075549701637787
reveal.v,27.500000000000004,19.1,49.1,3.4000000000000004,2.4,5.8999999999999995,9.66953980290686
haunt.v,16.3,10.0,43.8,29.799999999999997,19.6,62.3,22.03950997640374
operate.v,36.199999999999996,27.3,53.5,0.6,0.5,0.8999999999999999,4.660472079092417
frame.v,36.4,25.5,63.2,56.599999999999994,47.099999999999994,71.0,45.389866710533525
assert.v,30.099999999999998,26.900000000000002,34.1,9.1,7.9,10.8,16.550226584551645
introduce.v,25.900000000000002,16.0,67.80000000000001,12.0,7.9,25.0,17.62952069683121
swear.v,30.3,25.0,38.4,29.299999999999997,26.8,32.300000000000004,29.79580507386904
bow.v,28.9,20.3,50.0,47.699999999999996,40.1,58.699999999999996,37.12856043533064
figure.v,46.7,55.60000000000001,40.2,6.2,8.3,5.0,17.01587494077222
analyze.v,50.1,34.4,92.4,16.0,9.9,42.5,28.31254139069822
expose.v,28.7,20.1,50.5,9.9,7.000000000000001,17.2,16.856156145456175
conclude.v,23.9,17.8,36.4,17.7,14.399999999999999,22.7,20.567693113229787
appeal.v,33.300000000000004,29.799999999999997,37.8,20.0,18.099999999999998,22.5,25.806975801127884
owe.v,41.099999999999994,56.699999999999996,32.2,5.7,7.9,4.5,15.305881222588916
mount.v,29.299999999999997,50.0,20.7,11.1,17.9,8.1,18.034134301374156
regain.v,19.5,11.1,80.0,28.000000000000004,17.1,76.5,23.366642891095847
relax.v,25.7,17.599999999999998,48.199999999999996,16.2,12.2,24.0,20.40441128775834
cultivate.v,20.7,13.0,50.0,34.4,26.3,49.9,26.6848271495245
violate.v,24.0,13.700000000000001,96.2,3.5999999999999996,1.9,32.7,9.2951600308978
commit.v,36.1,25.0,64.9,19.900000000000002,14.799999999999999,30.3,26.80279836136518
pour.v,27.200000000000003,23.400000000000002,32.6,15.8,14.000000000000002,18.099999999999998,20.730653631759903
deny.v,60.0,52.2,70.6,6.3,5.6000000000000005,7.199999999999999,19.44222209522358
lay.v,38.4,40.0,36.9,11.5,12.6,10.7,21.014280858501916
shave.v,21.2,13.200000000000001,54.0,9.2,6.0,20.599999999999998,13.965672200076872
weigh.v,21.5,16.900000000000002,29.799999999999997,32.2,28.000000000000004,38.0,26.31159440246828
apply.v,37.0,52.0,28.799999999999997,2.5,3.5999999999999996,1.9,9.617692030835672
level.v,44.6,49.2,40.8,26.200000000000003,28.7,24.099999999999998,34.18362180928171
presume.v,82.89999999999999,73.9,94.39999999999999,43.3,36.199999999999996,54.0,59.91302028774713
wait.v,26.200000000000003,15.2,96.89999999999999,1.3,0.7000000000000001,16.6,5.8360945845659495
stick.v,37.1,49.3,29.7,1.2,1.7000000000000002,0.8999999999999999,6.672330927044911
separate.v,49.9,35.8,82.5,6.3,4.3999999999999995,11.1,17.73048222694465
reap.v,26.400000000000002,15.7,82.6,8.6,4.9,34.2,15.06784656146989
signal.v,60.9,63.0,58.9,20.7,21.2,20.200000000000003,35.50535170928462
swim.v,39.900000000000006,25.3,94.69999999999999,7.7,4.3,37.3,17.527977635768483
slow.v,47.4,32.800000000000004,85.5,3.5999999999999996,2.1999999999999997,9.3,13.062924634246345
question.v,61.3,73.3,52.7,13.100000000000001,15.9,11.200000000000001,28.337783964170523
happen.v,67.9,56.39999999999999,85.2,2.1999999999999997,1.6,3.2,12.222111110606056
insist.v,54.0,59.3,49.5,0.1,0.1,0.1,2.32379000772445
observe.v,32.9,34.699999999999996,31.3,2.5,2.7,2.3,9.069178573608527
