,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,65.7,98.1,49.4,0.7000000000000001,7.3,0.4,6.7815927332743895
address.n,39.5,35.5,44.5,23.5,22.3,24.7,30.467195473164246
camp.n,50.1,69.8,39.1,10.0,16.2,7.3,22.38302928559939
innovation.n,67.5,56.49999999999999,83.89999999999999,41.3,32.9,55.60000000000001,52.799147720394124
mind.n,37.8,97.39999999999999,23.400000000000002,1.2,18.5,0.6,6.734983296193094
park.n,30.7,32.6,28.9,18.9,18.3,19.400000000000002,24.08796379937499
reputation.n,23.0,16.400000000000002,38.6,23.9,18.2,34.5,23.44568190520378
gap.n,61.7,97.5,45.1,4.9,26.8,2.7,17.38763928772391
challenge.n,68.5,99.6,52.2,16.1,72.6,9.1,33.209185476310616
failure.n,31.0,26.3,37.8,27.400000000000002,24.7,30.7,29.144467742609404
air.n,44.3,99.0,28.599999999999998,1.0999999999999999,22.1,0.6,6.980687645210892
moment.n,69.1,97.39999999999999,53.5,0.2,0.7000000000000001,0.1,3.7175260590882213
tour.n,25.8,23.599999999999998,28.499999999999996,14.7,13.900000000000002,15.5,19.474598840540978
movement.n,63.6,95.7,47.599999999999994,1.5,8.9,0.8,9.767292357659825
body.n,50.0,99.5,33.4,1.5,28.199999999999996,0.8,8.660254037844387
guarantee.n,45.4,84.8,31.0,9.0,25.7,5.5,20.213856633507618
class.n,42.3,84.3,28.299999999999997,1.2,4.3,0.7000000000000001,7.12460525222275
road.n,56.699999999999996,98.0,39.900000000000006,0.7000000000000001,9.700000000000001,0.4,6.3
speed.n,43.8,34.8,59.099999999999994,20.200000000000003,15.7,28.1,29.744915531902258
foundation.n,24.3,16.0,50.5,12.0,8.7,19.5,17.07629936490925
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
entry.n,53.7,87.7,38.7,4.1000000000000005,13.8,2.4,14.83812656638297
flight.n,48.8,96.2,32.6,1.4000000000000001,10.0,0.8,8.26559132790873
origin.n,54.300000000000004,90.10000000000001,38.9,10.5,23.400000000000002,6.800000000000001,23.877813970294685
note.n,53.0,96.7,36.5,5.0,26.3,2.8000000000000003,16.278820596099706
rally.n,32.4,23.1,54.2,23.400000000000002,16.3,41.199999999999996,27.53470537340104
gas.n,72.5,99.3,57.099999999999994,3.0,25.1,1.6,14.747881203752625
chip.n,29.099999999999998,20.3,51.4,11.4,8.5,17.299999999999997,18.21373108399265
mark.n,49.8,43.5,58.3,17.2,15.2,19.7,29.267046314925597
margin.n,34.300000000000004,55.00000000000001,24.9,10.0,16.0,7.199999999999999,18.520259177452136
function.n,51.2,98.0,34.699999999999996,9.6,50.5,5.3,22.17025033688163
legislation.n,65.4,97.0,49.3,2.4,12.3,1.3,12.52836781069266
screen.n,43.6,81.5,29.799999999999997,2.4,7.1,1.5,10.229369482035537
commission.n,61.1,94.5,45.2,1.9,9.9,1.0,10.774506949276148
display.n,48.199999999999996,76.5,35.199999999999996,13.100000000000001,20.3,9.700000000000001,25.128071951504754
office.n,47.599999999999994,64.4,37.8,2.3,3.2,1.7999999999999998,10.463269087622662
dealer.n,36.1,26.200000000000003,57.8,19.5,14.7,28.999999999999996,26.532056083160988
community.n,46.7,98.5,30.599999999999998,0.7000000000000001,13.4,0.4,5.717516943569123
house.n,71.3,99.8,55.50000000000001,2.8000000000000003,36.5,1.4000000000000001,14.12940196894405
shape.n,44.2,92.30000000000001,28.999999999999996,7.7,32.2,4.3999999999999995,18.44830615530868
access.n,47.3,97.7,31.2,5.4,35.4,2.9000000000000004,15.981864722240642
field.n,52.6,99.9,35.699999999999996,3.0,52.5,1.6,12.561846997953765
edge.n,36.9,94.3,22.900000000000002,14.6,55.00000000000001,8.4,23.21077336066164
cell.n,28.7,19.6,53.400000000000006,28.799999999999997,22.900000000000002,38.6,28.749956521706252
officer.n,65.0,60.0,71.0,33.7,28.299999999999997,41.5,46.80277769534624
market.n,62.9,98.5,46.2,0.4,4.0,0.2,5.015974481593781
promotion.n,62.2,57.9,67.30000000000001,55.50000000000001,50.6,61.5,58.75457429000742
accounting.n,58.5,95.3,42.199999999999996,7.1,28.9,4.1000000000000005,20.38013738913455
television.n,59.0,98.8,42.0,1.0999999999999999,14.7,0.6,8.056053624449131
campaign.n,43.1,42.1,44.2,22.0,20.599999999999998,23.599999999999998,30.792856314411626
cheat.v,39.6,27.200000000000003,73.3,29.099999999999998,19.6,56.39999999999999,33.946428383557524
assemble.v,63.7,89.4,49.5,0.1,0.3,0.1,2.5238858928247927
root.v,59.0,93.7,43.1,14.299999999999999,41.8,8.6,29.04651442083886
reveal.v,55.2,63.800000000000004,48.6,2.3,2.5,2.1999999999999997,11.267652816802618
haunt.v,77.3,82.89999999999999,72.5,47.3,45.300000000000004,49.4,60.467263870626724
operate.v,48.3,40.400000000000006,60.0,8.7,6.3,13.8,20.49902436702781
frame.v,14.899999999999999,10.6,25.0,44.2,35.6,58.3,25.662813563598203
assert.v,41.0,44.800000000000004,37.8,25.7,24.8,26.700000000000003,32.46074552440224
introduce.v,68.0,78.4,60.0,2.5,3.5000000000000004,1.9,13.038404810405298
swear.v,45.2,95.89999999999999,29.599999999999998,10.4,45.300000000000004,5.8999999999999995,21.681328372588244
bow.v,50.0,94.19999999999999,34.0,27.400000000000002,71.5,16.900000000000002,37.013511046643494
figure.v,53.6,97.0,37.1,1.7999999999999998,15.7,1.0,9.82242332624694
analyze.v,61.8,48.3,85.9,9.2,6.3,17.2,23.844496220302076
expose.v,59.199999999999996,73.4,49.6,1.7999999999999998,2.3,1.4000000000000001,10.322790320451151
conclude.v,46.5,97.1,30.599999999999998,2.3,20.7,1.2,10.341663309158735
appeal.v,47.3,96.8,31.3,3.3000000000000003,24.099999999999998,1.7999999999999998,12.493598360760602
owe.v,44.7,73.2,32.1,21.0,32.9,15.4,30.638211436048287
mount.v,36.5,74.3,24.2,38.2,57.8,28.499999999999996,37.340326725940685
regain.v,47.099999999999994,33.300000000000004,80.0,26.400000000000002,18.099999999999998,48.699999999999996,35.262444611796276
relax.v,57.99999999999999,92.10000000000001,42.3,1.2,4.1000000000000005,0.7000000000000001,8.342661445845684
cultivate.v,15.4,10.100000000000001,31.8,30.3,22.6,46.1,21.601388844238695
violate.v,36.4,22.400000000000002,95.8,4.3,2.3,33.7,12.51079533842673
commit.v,54.900000000000006,58.599999999999994,51.7,14.499999999999998,17.2,12.6,28.214358046923554
pour.v,44.6,77.4,31.3,9.4,19.5,6.2,20.475351034841868
deny.v,52.5,41.199999999999996,72.3,6.1,4.3999999999999995,10.2,17.89553016817328
lay.v,49.0,98.0,32.7,1.7999999999999998,21.0,1.0,9.391485505499116
shave.v,73.5,90.7,61.8,2.9000000000000004,6.3,1.9,14.599657530229948
weigh.v,40.8,51.5,33.800000000000004,24.4,30.2,20.4,31.55186206866403
apply.v,38.9,66.10000000000001,27.500000000000004,0.6,1.0,0.4,4.831148931672465
level.v,46.9,84.7,32.5,13.100000000000001,30.4,8.3,24.786891697024057
presume.v,75.2,64.1,90.8,33.4,26.8,44.2,50.1166638953552
wait.v,97.1,97.1,97.1,0.3,0.3,0.3,5.397221507405454
stick.v,46.300000000000004,95.0,30.599999999999998,8.0,35.4,4.5,19.245778757951054
separate.v,72.8,67.80000000000001,78.60000000000001,4.6,4.3,4.9,18.299726773916596
reap.v,100.0,100.0,100.0,100.0,100.0,100.0,100.0
signal.v,61.199999999999996,83.39999999999999,48.3,0.8999999999999999,1.5,0.6,7.421590126111789
swim.v,19.6,11.1,86.7,4.8,2.6,33.5,9.699484522385713
slow.v,72.8,61.6,88.8,2.3,1.6,3.6999999999999997,12.939860895697448
question.v,65.7,97.7,49.4,2.3,13.3,1.2,12.292680749128726
happen.v,91.0,99.5,83.89999999999999,3.1,16.6,1.7000000000000002,16.79583281650541
insist.v,66.3,98.5,49.9,1.7000000000000002,13.3,0.8999999999999999,10.616496597277278
observe.v,47.699999999999996,96.6,31.7,1.6,15.2,0.8,8.736131867136622
lie.v,85.0,97.8,75.2,0.6,2.7,0.3,7.14142842854285
deploy.v,32.0,27.0,39.2,28.299999999999997,22.7,37.7,30.093188598086442
accommodate.v,56.699999999999996,77.3,44.7,43.3,52.0,37.1,49.54906659060289
sniff.v,28.000000000000004,21.9,38.9,44.800000000000004,39.5,51.7,35.417509793885856
straighten.v,48.199999999999996,92.80000000000001,32.6,3.5999999999999996,18.099999999999998,2.0,13.172699040060088
pursue.v,82.89999999999999,85.3,80.60000000000001,2.7,3.0,2.4,14.96094916775002
defend.v,70.8,93.4,56.99999999999999,0.0,0.0,0.0,0.0
divide.v,44.6,46.0,43.2,25.900000000000002,24.8,27.200000000000003,33.98735058812323
mean,51.816,71.888,47.93000000000001,12.892000000000001,21.405,14.484000000000002,20.71919460303638
