,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,20.4,12.7,52.300000000000004,8.4,5.800000000000001,14.799999999999999,13.090454537562858
address.n,40.6,39.300000000000004,41.9,10.9,11.4,10.4,21.03663471185446
camp.n,27.1,17.599999999999998,59.0,38.3,29.2,55.60000000000001,32.2169210198616
innovation.n,66.10000000000001,54.7,83.39999999999999,41.6,33.800000000000004,54.300000000000004,52.438154048364446
mind.n,32.300000000000004,50.2,23.799999999999997,1.7999999999999998,3.0,1.3,7.6249590162833005
park.n,24.4,18.4,35.9,23.7,19.7,29.7,24.04745308759329
reputation.n,16.5,11.899999999999999,26.700000000000003,6.6000000000000005,5.3,8.799999999999999,10.435516278555651
gap.n,53.400000000000006,58.699999999999996,48.9,9.2,11.4,7.7,22.16483701722167
challenge.n,50.2,51.1,49.4,3.4000000000000004,4.3,2.9000000000000004,13.064455595240087
failure.n,38.0,37.5,38.5,19.7,21.8,17.9,27.360555549915283
air.n,42.4,58.5,33.300000000000004,7.9,12.1,5.8999999999999995,18.301912468373352
moment.n,22.400000000000002,14.000000000000002,55.2,4.3999999999999995,2.9000000000000004,8.9,9.927738916792686
tour.n,31.1,31.1,31.1,9.5,10.100000000000001,9.0,17.18865905182833
movement.n,49.2,50.1,48.4,8.7,9.9,7.7,20.68912757948
body.n,31.7,29.599999999999998,34.1,6.5,6.3,6.800000000000001,14.354441821262155
guarantee.n,38.7,50.2,31.5,1.0999999999999999,1.5,0.8999999999999999,6.524568951279464
class.n,20.8,14.6,36.3,19.3,16.3,23.599999999999998,20.03596765818911
road.n,20.200000000000003,13.700000000000001,38.1,11.3,8.9,15.5,15.108275877809488
speed.n,28.1,18.5,57.699999999999996,22.5,16.2,36.8,25.144581921360317
foundation.n,32.6,23.599999999999998,52.7,15.299999999999999,11.899999999999999,21.4,22.3333830845217
idea.n,39.4,53.6,31.1,2.5,3.5999999999999996,1.9,9.924716620639604
entry.n,34.0,30.8,38.0,7.000000000000001,6.6000000000000005,7.3999999999999995,15.427248620541514
flight.n,33.800000000000004,34.599999999999994,33.1,5.5,5.800000000000001,5.1,13.634515026211972
origin.n,26.3,22.0,32.800000000000004,11.200000000000001,9.700000000000001,13.3,17.16275036233995
note.n,45.5,63.3,35.5,3.4000000000000004,5.800000000000001,2.4,12.437845472588894
rally.n,43.9,36.9,54.400000000000006,12.1,10.0,15.5,23.04755952373266
gas.n,52.6,42.0,70.3,23.799999999999997,20.200000000000003,29.099999999999998,35.38191628501769
chip.n,27.400000000000002,18.0,57.199999999999996,15.5,11.5,24.099999999999998,20.6082507748717
mark.n,26.0,16.400000000000002,63.0,20.5,15.2,31.3,23.08679276123039
margin.n,34.300000000000004,55.00000000000001,24.9,10.0,16.0,7.199999999999999,18.520259177452136
function.n,22.6,16.1,38.1,32.800000000000004,26.900000000000002,42.1,27.22645772038662
legislation.n,21.099999999999998,13.700000000000001,46.2,0.8,0.5,1.5,4.1085277168348275
screen.n,40.8,65.5,29.7,2.0,3.5999999999999996,1.4000000000000001,9.033271832508971
commission.n,24.0,15.6,51.5,21.099999999999998,15.6,32.6,22.503333086456326
display.n,33.900000000000006,35.199999999999996,32.6,18.8,19.5,18.099999999999998,25.24519756310099
office.n,45.800000000000004,58.4,37.6,3.9,5.5,3.0,13.36487934850143
dealer.n,25.7,16.6,56.599999999999994,20.599999999999998,15.0,32.7,23.009128623222566
community.n,39.2,51.300000000000004,31.7,3.2,4.5,2.5,11.200000000000001
house.n,31.7,21.2,63.1,13.700000000000001,10.6,19.2,20.839625716408634
shape.n,25.2,20.1,33.7,23.9,20.9,28.000000000000004,24.54139360346107
access.n,48.699999999999996,75.1,36.1,17.0,27.700000000000003,12.2,28.77325146729163
field.n,55.60000000000001,69.69999999999999,46.300000000000004,16.5,24.6,12.4,30.288611721239388
edge.n,17.9,15.1,21.9,32.6,29.5,36.3,24.156572604572858
cell.n,31.5,20.9,64.0,32.0,25.4,43.0,31.74901573277509
officer.n,69.3,77.4,62.7,48.6,59.3,41.199999999999996,58.03430020255263
