,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,23.5,15.5,48.5,5.2,3.6999999999999997,8.9,11.054410884348384
address.n,33.2,24.8,50.4,24.2,20.7,29.099999999999998,28.345017198795276
camp.n,21.3,13.200000000000001,56.2,35.699999999999996,26.5,54.50000000000001,27.575532633115177
innovation.n,22.400000000000002,13.4,67.30000000000001,27.200000000000003,17.8,57.49999999999999,24.683597792866422
mind.n,32.9,50.9,24.3,3.8,6.1,2.7,11.181234278915722
park.n,37.0,48.199999999999996,30.0,4.3,6.1,3.3000000000000003,12.613484847574837
reputation.n,10.5,6.7,23.7,14.299999999999999,10.6,21.7,12.253570908106745
gap.n,21.7,13.8,51.7,25.8,18.8,40.699999999999996,23.66136090760631
challenge.n,52.400000000000006,54.800000000000004,50.3,2.3,3.0,1.9,10.978160137290766
failure.n,26.700000000000003,20.8,37.2,20.7,18.4,23.5,23.50935983815808
air.n,40.6,55.7,32.0,9.8,14.799999999999999,7.3,19.946929588285013
moment.n,52.7,52.400000000000006,53.1,1.5,1.5,1.5,8.891006692158093
tour.n,17.299999999999997,12.2,30.0,26.1,21.0,34.4,21.249235280357738
movement.n,42.0,37.6,47.599999999999994,11.0,10.299999999999999,11.799999999999999,21.494185260204677
body.n,28.1,21.099999999999998,41.699999999999996,12.3,10.299999999999999,15.2,18.591126915816588
guarantee.n,43.7,60.6,34.2,8.6,12.5,6.5,19.386077478437972
class.n,23.400000000000002,16.900000000000002,38.2,24.0,20.5,28.799999999999997,23.6981011897578
road.n,27.500000000000004,19.400000000000002,47.3,12.3,10.0,15.8,18.391574157749524
speed.n,22.0,13.8,54.400000000000006,15.7,11.0,27.500000000000004,18.584940139801365
foundation.n,28.599999999999998,19.3,55.1,14.399999999999999,10.8,21.6,20.293841430345314
idea.n,38.5,50.3,31.2,1.6,2.3,1.3,7.848566748139434
entry.n,33.2,31.1,35.6,5.2,5.0,5.5,13.139254164525473
flight.n,34.2,35.199999999999996,33.300000000000004,7.5,8.0,7.000000000000001,16.015617378046965
origin.n,16.5,11.0,33.300000000000004,29.799999999999997,22.3,44.7,22.17430945937212
note.n,31.4,22.7,51.0,22.900000000000002,19.3,28.199999999999996,26.81529414345478
rally.n,27.900000000000002,18.5,56.599999999999994,13.200000000000001,9.2,23.400000000000002,19.190622710063373
gas.n,41.099999999999994,27.800000000000004,79.10000000000001,23.799999999999997,17.2,38.7,31.275869292475306
chip.n,22.0,13.600000000000001,56.8,13.900000000000002,9.8,23.5,17.487138130637618
mark.n,29.299999999999997,18.7,67.30000000000001,27.6,21.099999999999998,40.2,28.43729944984228
margin.n,35.699999999999996,71.3,23.799999999999997,12.9,26.700000000000003,8.5,21.45996272130965
function.n,38.0,35.699999999999996,40.6,31.1,30.8,31.3,34.37731810365666
legislation.n,53.7,56.3,51.300000000000004,5.2,5.4,5.0,16.710475756243447
screen.n,13.0,8.4,28.599999999999998,32.2,25.5,43.7,20.459716518075222
commission.n,26.900000000000002,16.900000000000002,66.0,32.2,23.3,52.2,29.430936104718114
display.n,43.9,66.4,32.7,7.8,12.9,5.6000000000000005,18.504594024187615
office.n,42.8,50.9,36.9,1.7000000000000002,2.3,1.4000000000000001,8.52994724485445
dealer.n,28.799999999999997,19.0,58.9,21.7,16.1,33.5,24.99919998719959
community.n,24.7,19.1,34.599999999999994,10.2,8.799999999999999,12.3,15.872617931519676
house.n,57.699999999999996,56.89999999999999,58.599999999999994,3.5000000000000004,4.3,3.0,14.210911300827966
shape.n,33.2,24.8,50.0,40.400000000000006,34.1,49.6,36.62348972995337
access.n,47.3,86.1,32.6,11.1,25.900000000000002,7.1,22.91353311909798
field.n,53.900000000000006,65.7,45.7,14.499999999999998,21.099999999999998,11.0,27.9562157668022
edge.n,25.900000000000002,22.6,30.4,35.6,33.5,37.9,30.365111559156176
cell.n,24.5,15.1,64.1,28.7,21.4,43.2,26.516975694826137
officer.n,72.89999999999999,71.2,74.7,52.1,51.800000000000004,52.400000000000006,61.62864593677197
market.n,40.6,35.0,48.1,3.2,3.0,3.5000000000000004,11.398245479020007
promotion.n,60.3,75.2,50.3,30.2,40.8,23.9,42.6738795986491
