,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,50.1,51.300000000000004,49.0,1.7999999999999998,2.1,1.6,9.496315074806647
address.n,28.199999999999996,17.9,66.2,42.199999999999996,32.300000000000004,61.0,34.49695638748439
camp.n,33.7,24.9,52.0,31.7,26.400000000000002,39.7,32.68470590352619
innovation.n,57.3,48.6,69.8,19.5,16.0,25.1,33.426785666587804
mind.n,35.8,56.8,26.1,9.2,15.2,6.6000000000000005,18.148278155241062
park.n,20.599999999999998,13.8,40.2,30.0,23.7,40.8,24.859605789312106
reputation.n,38.5,45.5,33.300000000000004,0.3,0.4,0.2,3.3985290935932855
gap.n,29.7,19.8,59.599999999999994,31.0,23.1,47.099999999999994,30.343038740376677
challenge.n,52.7,52.7,52.6,12.6,15.6,10.6,25.768585525790893
failure.n,25.4,18.6,39.800000000000004,24.6,20.599999999999998,30.4,24.996799795173782
air.n,38.3,46.6,32.5,15.1,18.5,12.8,24.04849267625728
moment.n,52.5,52.0,53.0,1.0999999999999999,1.0999999999999999,1.0999999999999999,7.599342076785331
tour.n,16.1,11.5,27.0,25.8,20.9,33.7,20.38087338658479
movement.n,52.400000000000006,62.6,45.1,15.6,21.4,12.3,28.59090764561349
body.n,43.8,55.900000000000006,35.9,4.3,6.0,3.3000000000000003,13.723702124426922
guarantee.n,33.7,30.0,38.3,27.1,23.5,31.8,30.22035737710592
class.n,27.0,20.0,41.5,24.2,21.2,28.4,25.56169008496895
road.n,44.4,50.2,39.900000000000006,4.6,6.1,3.6999999999999997,14.291256067959877
speed.n,55.50000000000001,55.800000000000004,55.300000000000004,10.7,11.700000000000001,9.9,24.369037732335677
foundation.n,50.5,49.0,52.0,6.7,7.3999999999999995,6.1,18.394292593084412
idea.n,38.3,49.9,31.0,2.4,3.4000000000000004,1.7999999999999998,9.587491851365506
entry.n,29.2,23.799999999999997,37.8,22.400000000000002,19.0,27.500000000000004,25.57498778103325
flight.n,22.1,15.299999999999999,39.900000000000006,20.0,15.8,27.200000000000003,21.02379604162864
origin.n,60.0,62.6,57.599999999999994,43.0,44.0,42.1,50.79370039680118
note.n,25.8,17.8,46.7,28.599999999999998,23.5,36.5,27.163946694101725
rally.n,26.200000000000003,16.400000000000002,65.4,22.400000000000002,14.899999999999999,44.7,24.225606287562755
gas.n,62.9,59.0,67.30000000000001,28.299999999999997,29.4,27.200000000000003,42.19087579086265
chip.n,22.900000000000002,14.499999999999998,55.2,17.299999999999997,12.4,28.9,19.904019694524017
mark.n,24.4,15.5,57.49999999999999,22.3,16.6,33.800000000000004,23.326379916309346
margin.n,33.6,31.6,35.9,30.9,30.2,31.6,32.221731797034124
function.n,49.7,80.4,36.0,8.9,17.9,6.0,21.031642826940555
legislation.n,18.7,11.600000000000001,47.8,4.3999999999999995,2.9000000000000004,8.9,9.070832376358853
screen.n,28.299999999999997,25.2,32.300000000000004,23.400000000000002,22.6,24.2,25.73363557680881
commission.n,27.6,17.8,61.7,29.5,21.5,46.7,28.53419001829209
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,43.7,52.7,37.4,2.5,3.4000000000000004,2.0,10.452272480183437
dealer.n,36.7,26.700000000000003,58.699999999999996,22.0,17.0,31.0,28.414784883929705
community.n,39.5,52.400000000000006,31.6,4.0,5.7,3.1,12.569805089976535
house.n,32.0,21.5,62.3,15.1,11.799999999999999,21.0,21.98181066245454
shape.n,38.9,53.0,30.7,10.6,15.5,8.1,20.30615670184784
access.n,39.800000000000004,45.4,35.5,15.8,16.7,14.899999999999999,25.076682396202255
field.n,58.9,71.0,50.4,27.1,39.0,20.7,39.952346614435555
edge.n,32.0,31.1,33.0,41.099999999999994,41.0,41.3,36.26568626125803
cell.n,74.6,80.5,69.5,32.7,44.6,25.900000000000002,49.39048491359444
officer.n,67.9,76.1,61.3,49.4,60.4,41.8,57.91597361695649
market.n,49.0,51.300000000000004,46.9,2.0,2.3,1.7000000000000002,9.899494936611665
promotion.n,47.0,35.5,69.39999999999999,49.2,41.0,61.4,48.087420392447754
accounting.n,19.3,12.4,42.9,28.799999999999997,21.7,42.6,23.5762592452662
television.n,47.699999999999996,53.2,43.2,2.7,3.2,2.3,11.348568191626642
campaign.n,47.9,55.2,42.3,6.4,8.1,5.3,17.50885490259143
cheat.v,49.6,40.699999999999996,63.5,18.5,14.399999999999999,25.8,30.29191311224829
assemble.v,47.699999999999996,47.3,48.1,0.0,0.0,0.0,0.0
root.v,57.699999999999996,50.8,66.7,47.0,44.1,50.4,52.07590613709952
reveal.v,54.0,60.4,48.699999999999996,3.5999999999999996,4.2,3.2,13.9427400463467
haunt.v,22.0,12.9,75.0,40.0,26.3,82.69999999999999,29.664793948382652
operate.v,55.400000000000006,53.300000000000004,57.699999999999996,5.7,5.5,5.8999999999999995,17.77019977377857
frame.v,50.7,72.3,39.1,36.4,52.900000000000006,27.700000000000003,42.9590502688316
assert.v,42.3,49.1,37.1,14.299999999999999,15.6,13.100000000000001,24.59451158287149
introduce.v,65.2,59.5,72.2,19.900000000000002,19.0,20.9,36.02054969041978
swear.v,16.8,12.7,25.0,23.200000000000003,19.6,28.299999999999997,19.742340286804907
bow.v,31.4,23.200000000000003,48.5,56.2,46.300000000000004,71.5,42.00809445809224
figure.v,44.7,53.5,38.3,5.5,7.3999999999999995,4.3999999999999995,15.679604586851035
analyze.v,61.8,48.3,85.9,9.2,6.3,17.2,23.844496220302076
expose.v,54.0,60.699999999999996,48.699999999999996,0.4,0.5,0.4,4.6475800154489
conclude.v,45.4,59.3,36.8,11.799999999999999,16.400000000000002,9.2,23.145625936664576
appeal.v,33.7,30.7,37.4,13.0,12.1,14.099999999999998,20.93083849252103
owe.v,43.8,56.699999999999996,35.699999999999996,12.8,16.8,10.4,23.677837739117987
mount.v,25.7,44.3,18.099999999999998,7.199999999999999,11.600000000000001,5.2,13.602940858505558
regain.v,51.0,37.0,81.6,28.999999999999996,20.7,48.699999999999996,38.45776904605882
relax.v,51.2,48.6,54.0,11.0,10.6,11.4,23.731835158706122
cultivate.v,47.099999999999994,52.2,42.9,13.200000000000001,17.599999999999998,10.5,24.93431370621618
violate.v,25.7,14.799999999999999,96.39999999999999,5.3,2.8000000000000003,46.300000000000004,11.670903992407785
commit.v,55.400000000000006,53.6,57.3,24.2,25.7,22.8,36.61529734960512
pour.v,46.7,60.9,37.9,17.4,23.7,13.700000000000001,28.505788885768446
deny.v,61.9,54.800000000000004,71.1,5.0,4.5,5.6000000000000005,17.592612085759182
lay.v,53.400000000000006,60.6,47.8,33.5,38.7,29.5,42.29538981969548
shave.v,61.5,59.5,63.5,0.5,0.5,0.6,5.545268253204709
weigh.v,32.4,26.400000000000002,41.8,39.1,36.0,42.699999999999996,35.592695879913336
apply.v,39.900000000000006,62.3,29.4,5.4,8.7,3.9,14.678555787270083
level.v,47.099999999999994,69.5,35.699999999999996,22.400000000000002,34.8,16.5,32.481379281058864
presume.v,45.9,30.4,93.30000000000001,30.599999999999998,19.8,68.30000000000001,37.47719306458262
wait.v,66.3,50.2,97.3,0.8999999999999999,0.5,4.7,7.724635913750239
stick.v,41.199999999999996,54.800000000000004,33.0,6.7,9.5,5.2,16.614451540752103
separate.v,47.099999999999994,33.2,81.39999999999999,9.5,6.6000000000000005,17.1,21.15301396964508
reap.v,24.3,14.000000000000002,89.5,20.9,11.600000000000001,100.0,22.535971245988048
signal.v,30.4,21.8,50.4,11.3,8.200000000000001,18.099999999999998,18.53429254112495
swim.v,18.7,10.5,86.0,5.2,2.8000000000000003,37.3,9.86103442849684
slow.v,67.60000000000001,55.00000000000001,87.6,0.8999999999999999,0.7000000000000001,1.6,7.8
question.v,52.2,55.2,49.6,1.4000000000000001,1.4000000000000001,1.3,8.548684109265006
happen.v,62.7,50.6,82.39999999999999,6.7,4.9,10.4,20.49609718946512
insist.v,56.99999999999999,62.2,52.6,9.1,9.9,8.5,22.774986278810356
observe.v,42.5,43.6,41.5,15.0,16.0,14.099999999999998,25.248762345905195
lie.v,31.900000000000002,19.8,81.6,9.8,6.2,23.200000000000003,17.681063316441126
deploy.v,39.5,39.2,39.7,7.5,7.3999999999999995,7.5,17.211914478058507
accommodate.v,62.3,86.4,48.699999999999996,47.599999999999994,66.7,37.1,54.456220948574824
sniff.v,28.599999999999998,18.8,60.0,62.2,49.2,84.39999999999999,42.17724504990813
straighten.v,44.6,61.7,34.9,9.2,13.600000000000001,6.9,20.256357026869367
pursue.v,61.9,49.7,81.89999999999999,0.6,0.4,0.8999999999999999,6.094259594077036
defend.v,52.7,49.3,56.699999999999996,0.7000000000000001,0.6,0.7000000000000001,6.073713855624087
divide.v,49.3,81.2,35.4,12.9,31.1,8.1,25.218445630133512
mean,42.80299999999999,43.45799999999999,51.55699999999999,17.6,17.473,22.206999999999997,23.936081271405964
