,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,54.7,54.800000000000004,54.7,9.9,11.0,9.0,23.27079715007632
address.n,22.900000000000002,14.499999999999998,54.300000000000004,35.099999999999994,26.8,50.8,28.351190451196224
camp.n,68.10000000000001,85.9,56.39999999999999,36.3,50.9,28.299999999999997,49.7195132719539
innovation.n,33.1,21.4,72.8,22.7,15.6,41.699999999999996,27.41112912668867
mind.n,33.4,51.7,24.6,3.2,5.3,2.3,10.338278386656068
park.n,31.7,23.0,50.8,39.900000000000006,32.300000000000004,52.300000000000004,35.56444854064238
reputation.n,41.3,49.3,35.5,3.6999999999999997,4.6,3.1,12.361634196173254
gap.n,35.0,25.2,57.4,21.8,17.5,28.799999999999997,27.622454633866266
challenge.n,51.300000000000004,51.2,51.5,8.1,10.0,6.800000000000001,20.384552975231024
failure.n,22.7,16.1,38.3,22.8,19.1,28.499999999999996,22.749945054878705
air.n,40.0,55.800000000000004,31.2,8.799999999999999,13.5,6.5,18.761663039293715
moment.n,52.300000000000004,50.6,54.1,2.3,2.1999999999999997,2.4,10.96767979109529
tour.n,18.8,14.2,27.6,25.900000000000002,21.099999999999998,33.7,22.066263843251765
movement.n,52.900000000000006,64.1,45.0,7.6,10.7,5.8999999999999995,20.0509351402871
body.n,44.1,56.00000000000001,36.4,4.9,6.9,3.9,14.700000000000001
guarantee.n,22.900000000000002,16.2,39.2,24.4,19.2,33.300000000000004,23.63810483097154
class.n,31.1,23.0,47.9,28.599999999999998,24.9,33.5,29.823815986556784
road.n,44.7,51.0,39.800000000000004,9.3,12.4,7.3999999999999995,20.388967605055438
speed.n,44.1,34.1,62.5,19.3,15.6,25.3,29.17413237784459
foundation.n,30.5,21.4,52.6,7.3,5.7,10.4,14.921461054467823
idea.n,38.800000000000004,51.0,31.3,3.0,4.3999999999999995,2.3,10.788883167408942
entry.n,25.4,18.0,43.1,23.200000000000003,18.099999999999998,32.300000000000004,24.275090113118015
flight.n,31.5,26.0,40.0,17.9,16.0,20.4,23.745525894365866
origin.n,60.4,60.4,60.4,38.3,38.3,38.3,48.09698535251456
note.n,51.0,64.2,42.3,31.7,48.0,23.599999999999998,40.208208117248894
rally.n,29.7,20.3,55.1,12.4,8.7,21.3,19.190622710063373
gas.n,62.1,58.3,66.5,22.2,23.1,21.4,37.129772420525285
chip.n,25.3,16.8,51.0,12.5,9.3,19.3,17.783419243778738
mark.n,24.3,15.2,60.199999999999996,24.2,17.7,37.9,24.24994845355346
margin.n,35.199999999999996,28.199999999999996,46.6,37.4,32.6,43.8,36.28332950543541
function.n,31.5,24.6,43.8,34.8,29.299999999999997,42.8,33.108911187171344
legislation.n,24.8,16.5,50.1,6.6000000000000005,4.6,12.1,12.793748473375581
screen.n,34.4,37.0,32.1,26.5,29.5,24.099999999999998,30.192714352969325
commission.n,38.0,27.400000000000002,62.3,32.7,26.1,43.7,35.25053191088044
display.n,47.199999999999996,81.39999999999999,33.2,12.3,26.200000000000003,8.1,24.0948127197536
office.n,43.0,51.1,37.1,2.3,3.0,1.7999999999999998,9.944847912361455
dealer.n,23.5,15.299999999999999,51.4,18.9,13.900000000000002,29.7,21.074866547620175
community.n,38.4,50.3,31.1,1.6,2.1999999999999997,1.2,7.83836717690617
house.n,47.599999999999994,39.6,59.5,10.4,10.0,10.9,22.249494376277408
shape.n,49.8,47.3,52.6,33.5,33.300000000000004,33.800000000000004,40.844828313998335
access.n,37.5,49.1,30.3,5.8999999999999995,8.3,4.6,14.874474780643515
field.n,32.4,24.6,47.4,21.8,19.2,25.3,26.57668150842012
edge.n,24.4,17.9,38.0,47.599999999999994,40.9,56.89999999999999,34.07990610315703
cell.n,64.0,65.2,62.8,25.3,32.4,20.7,40.23928428786974
officer.n,67.0,75.2,60.4,48.4,59.3,40.9,56.94558806439705
market.n,48.9,51.2,46.800000000000004,1.9,2.1999999999999997,1.7000000000000002,9.638983348880732
promotion.n,72.39999999999999,62.8,85.39999999999999,58.099999999999994,51.800000000000004,66.0,64.85707363117764
accounting.n,30.099999999999998,20.7,54.800000000000004,33.300000000000004,25.8,46.9,31.65959570177737
television.n,47.9,53.6,43.2,2.7,3.2,2.3,11.37233485261492
campaign.n,47.699999999999996,55.2,41.9,5.800000000000001,7.3999999999999995,4.8,16.633099530754933
cheat.v,46.400000000000006,35.8,65.9,20.8,15.6,31.5,31.06638054231616
assemble.v,47.699999999999996,47.3,48.1,0.0,0.0,0.0,0.0
root.v,53.300000000000004,77.8,40.5,5.4,10.8,3.5999999999999996,16.965258618718433
reveal.v,51.7,53.1,50.4,5.5,5.800000000000001,5.2,16.86268068843148
haunt.v,17.299999999999997,10.0,63.6,38.4,25.0,82.69999999999999,25.774405909739215
operate.v,55.2,54.0,56.49999999999999,3.0,2.9000000000000004,3.0,12.86856635371633
frame.v,36.4,29.799999999999997,46.7,52.0,44.800000000000004,61.9,43.506321379771926
assert.v,32.800000000000004,27.800000000000004,39.900000000000006,17.5,14.499999999999998,22.0,23.95829710142188
introduce.v,67.60000000000001,62.1,74.1,22.2,21.4,23.200000000000003,38.73912750695349
swear.v,37.6,60.6,27.200000000000003,10.6,18.7,7.3999999999999995,19.96396754154845
bow.v,27.700000000000003,18.8,52.0,47.699999999999996,39.2,60.8,36.34955295461005
figure.v,52.2,60.699999999999996,45.800000000000004,15.5,20.1,12.6,28.44468315872054
analyze.v,62.0,48.3,86.7,10.100000000000001,6.9,19.1,25.023988491045948
expose.v,60.9,81.6,48.699999999999996,0.5,0.8,0.3,5.518151864528558
conclude.v,54.900000000000006,71.6,44.5,23.5,32.800000000000004,18.3,35.91865810411074
appeal.v,36.7,37.4,36.1,11.5,11.899999999999999,11.200000000000001,20.543855529087036
owe.v,51.6,73.2,39.800000000000004,29.7,42.199999999999996,23.0,39.14741370767678
mount.v,29.099999999999998,47.099999999999994,21.0,23.599999999999998,32.7,18.5,26.206106158679887
regain.v,30.8,18.5,90.9,39.7,24.8,100.0,34.967985358038575
relax.v,46.7,54.2,41.0,4.1000000000000005,5.1,3.4000000000000004,13.837268516582311
cultivate.v,47.099999999999994,52.2,42.9,13.200000000000001,17.599999999999998,10.5,24.93431370621618
violate.v,24.7,14.2,95.39999999999999,3.3000000000000003,1.7000000000000002,29.799999999999997,9.028288874421332
commit.v,55.400000000000006,53.6,57.3,24.2,25.7,22.8,36.61529734960512
pour.v,50.1,54.800000000000004,46.1,28.599999999999998,30.9,26.700000000000003,37.85313725439412
deny.v,61.3,54.1,70.8,4.7,4.2,5.3,16.973803345155147
lay.v,38.3,36.199999999999996,40.8,23.200000000000003,22.8,23.599999999999998,29.808723555362114
shave.v,28.999999999999996,17.599999999999998,83.7,25.8,16.5,59.199999999999996,27.35324478009876
weigh.v,38.1,31.6,48.0,37.6,34.8,40.9,37.84917436351816
apply.v,36.5,51.9,28.199999999999996,1.0999999999999999,1.6,0.8,6.336402764976355
level.v,20.3,13.600000000000001,40.0,48.199999999999996,37.8,66.4,31.280345266636683
presume.v,42.5,29.299999999999997,77.10000000000001,18.8,12.6,36.6,28.26658805020514
wait.v,65.9,49.9,97.1,0.7000000000000001,0.4,3.5999999999999996,6.7919069487147725
stick.v,41.099999999999994,55.7,32.5,6.1,8.7,4.7,15.833824553783586
separate.v,60.9,48.699999999999996,81.10000000000001,5.5,4.3999999999999995,7.3,18.301639270841285
reap.v,31.5,19.0,92.0,22.900000000000002,12.9,100.0,26.857959714021465
signal.v,21.7,13.5,54.900000000000006,16.6,11.200000000000001,32.300000000000004,18.979462584593907
swim.v,17.5,9.700000000000001,91.9,7.6,4.1000000000000005,55.7,11.532562594670797
slow.v,64.1,50.8,86.7,0.3,0.2,0.5,4.38520238985614
question.v,40.9,35.0,49.2,1.3,1.0999999999999999,1.6,7.291776189653657
happen.v,62.7,50.2,83.39999999999999,6.2,4.6,9.8,19.716490559934847
insist.v,56.49999999999999,58.4,54.7,10.5,10.7,10.2,24.356723917637197
observe.v,34.0,36.4,31.900000000000002,4.3,4.7,4.0,12.091319200153471
lie.v,49.7,36.3,78.8,8.0,5.7,13.4,19.939909728983228
deploy.v,40.5,47.3,35.4,5.800000000000001,7.199999999999999,4.9,15.326447729333761
accommodate.v,62.3,86.4,48.699999999999996,47.599999999999994,66.7,37.1,54.456220948574824
sniff.v,37.2,25.0,72.7,64.7,52.5,84.39999999999999,49.05955564413522
straighten.v,42.199999999999996,56.89999999999999,33.5,5.4,7.8,4.1000000000000005,15.09569475049095
pursue.v,27.900000000000002,16.6,86.1,8.5,5.0,28.1,15.399675321252719
defend.v,53.7,50.2,57.8,1.7999999999999998,1.7000000000000002,1.9,9.831581764904364
divide.v,49.3,81.2,35.4,12.9,31.1,8.1,25.218445630133512
mean,42.11299999999999,42.099,52.468,18.418000000000003,17.93,23.948,24.40717285453163
