,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,44.6,38.2,53.5,3.9,3.5000000000000004,4.3999999999999995,13.188631468048532
address.n,22.6,14.899999999999999,47.0,33.800000000000004,26.400000000000002,47.0,27.63837911311009
camp.n,62.6,72.2,55.2,32.0,41.199999999999996,26.200000000000003,44.75712233823797
innovation.n,35.099999999999994,22.1,84.7,28.299999999999997,18.8,57.599999999999994,31.51713819495672
mind.n,33.5,52.800000000000004,24.6,3.6999999999999997,6.1,2.7,11.133283433021903
park.n,30.8,22.3,49.6,40.5,32.800000000000004,53.0,35.31855036662745
reputation.n,17.599999999999998,11.899999999999999,33.300000000000004,20.0,15.5,28.299999999999997,18.761663039293715
gap.n,17.8,11.1,44.4,16.1,11.700000000000001,25.8,16.928673899629587
challenge.n,49.8,51.2,48.4,10.4,13.200000000000001,8.6,22.75785578651908
failure.n,23.799999999999997,16.900000000000002,40.300000000000004,24.3,20.3,30.4,24.048700588597296
air.n,37.0,50.9,28.999999999999996,2.7,4.1000000000000005,2.0,9.99499874937461
moment.n,34.2,23.799999999999997,61.3,8.0,5.7,13.700000000000001,16.540858502508268
tour.n,19.0,12.8,36.5,29.4,23.5,39.2,23.634720222587784
movement.n,20.7,12.7,57.199999999999996,21.5,15.2,36.8,21.096208190099
body.n,31.0,25.6,39.4,14.6,12.8,16.900000000000002,21.27439775880859
guarantee.n,29.299999999999997,24.3,36.8,16.3,14.2,19.0,21.853832615813637
class.n,21.8,15.4,37.5,20.3,17.299999999999997,24.7,21.03663471185446
road.n,44.2,51.800000000000004,38.6,2.5,3.5000000000000004,2.0,10.51189802081432
speed.n,26.5,16.7,63.3,25.5,17.8,44.9,25.995191863111916
foundation.n,18.099999999999998,11.1,48.4,10.8,7.5,18.9,13.981416237277251
idea.n,38.5,50.3,31.3,2.1,3.0,1.6,8.991662805065591
entry.n,18.2,12.0,37.5,20.8,15.7,30.8,19.456618411224497
flight.n,20.599999999999998,14.000000000000002,38.5,17.599999999999998,13.8,24.0,19.041008376659047
origin.n,22.400000000000002,14.299999999999999,52.0,39.300000000000004,29.2,60.199999999999996,29.670187057044316
note.n,44.800000000000004,59.8,35.9,23.7,38.2,17.2,32.58465896706608
rally.n,22.8,14.6,52.1,11.200000000000001,7.6,21.3,15.979987484350545
gas.n,26.3,16.3,68.0,13.3,9.1,24.9,18.70267360566398
chip.n,23.1,15.1,49.0,11.200000000000001,8.1,18.0,16.08477541030648
mark.n,19.5,12.1,49.5,19.7,14.399999999999999,31.1,19.599744896299033
margin.n,34.599999999999994,66.2,23.5,7.9,15.2,5.3,16.532997308413258
function.n,24.7,17.1,44.7,33.4,26.700000000000003,44.5,28.722465075268172
legislation.n,18.2,11.4,45.5,1.3,0.8999999999999999,2.6,4.864154602806124
screen.n,32.300000000000004,36.1,29.299999999999997,17.5,19.900000000000002,15.6,23.774986855937485
commission.n,22.0,14.6,44.800000000000004,12.8,9.5,19.7,16.780941570722426
display.n,28.999999999999996,24.3,35.9,20.0,17.8,22.8,24.083189157584588
office.n,22.900000000000002,16.2,39.300000000000004,5.2,4.2,6.9,10.912378292562993
dealer.n,23.9,16.0,47.3,20.9,15.5,31.8,22.34972035619238
community.n,39.4,52.300000000000004,31.6,2.4,3.5000000000000004,1.9,9.724196624914574
house.n,42.1,34.0,55.2,3.4000000000000004,3.2,3.5999999999999996,11.964113005150027
shape.n,42.1,56.99999999999999,33.300000000000004,17.2,25.1,13.100000000000001,26.909477884195375
access.n,33.1,31.5,34.8,16.400000000000002,15.9,17.0,23.298927013920622
field.n,30.2,24.5,39.5,10.0,9.2,10.9,17.378147196982766
edge.n,26.6,21.7,34.300000000000004,42.4,37.9,48.1,33.58332919768378
cell.n,26.3,17.599999999999998,52.7,19.5,15.299999999999999,26.6,22.64619173282784
officer.n,60.0,68.0,53.6,36.6,45.1,30.7,46.861498055439924
market.n,48.9,51.0,47.0,2.1,2.5,1.7999999999999998,10.133607452432722
promotion.n,34.9,24.8,58.8,44.2,35.8,57.99999999999999,39.27569222814539
accounting.n,38.6,36.8,40.6,12.3,12.5,12.2,21.789446987016444
television.n,50.0,57.9,44.1,4.9,6.1,4.1000000000000005,15.652475842498529
campaign.n,43.5,49.3,39.0,1.7000000000000002,2.1,1.4000000000000001,8.599418584997476
cheat.v,55.300000000000004,48.1,65.0,17.599999999999998,15.2,20.9,31.197435792064706
assemble.v,49.1,49.1,49.1,1.0,1.0,1.0,7.00713921654194
root.v,29.599999999999998,19.0,66.7,42.9,33.4,60.199999999999996,35.63481443756933
reveal.v,49.9,52.2,47.8,0.1,0.1,0.1,2.233830790368868
haunt.v,22.0,12.9,75.0,40.0,26.3,82.69999999999999,29.664793948382652
operate.v,54.900000000000006,53.0,56.99999999999999,7.199999999999999,7.000000000000001,7.3999999999999995,19.88164983093707
frame.v,40.5,68.10000000000001,28.799999999999997,4.5,7.8,3.2,13.5
assert.v,36.5,35.8,37.1,12.4,11.5,13.3,21.274397758808593
introduce.v,61.8,55.7,69.3,18.6,17.599999999999998,19.7,33.903982067008
swear.v,18.6,14.000000000000002,27.700000000000003,28.4,24.099999999999998,34.5,22.983472322519066
bow.v,23.0,14.499999999999998,55.60000000000001,49.9,39.800000000000004,66.9,33.87772129290871
figure.v,51.1,59.4,44.800000000000004,14.099999999999998,18.3,11.4,26.842317336623527
analyze.v,62.9,50.0,84.6,7.5,5.2,13.700000000000001,21.719806628973473
expose.v,22.7,14.799999999999999,49.3,13.4,9.2,25.2,17.44075686431068
conclude.v,47.0,61.7,37.9,11.899999999999999,16.8,9.3,23.649524308112415
appeal.v,41.3,58.5,32.0,6.1,8.799999999999999,4.6,15.872302920496445
owe.v,22.1,14.6,45.1,28.7,22.0,41.4,25.184717588251807
mount.v,27.400000000000002,47.099999999999994,19.3,9.2,14.799999999999999,6.6000000000000005,15.877027429591474
regain.v,21.9,13.0,70.0,27.800000000000004,17.0,76.5,24.674278104941592
relax.v,17.1,11.1,37.3,7.000000000000001,5.1,11.3,10.940749517286283
cultivate.v,48.3,50.7,46.1,9.8,12.4,8.200000000000001,21.756378375088076
violate.v,26.6,15.4,96.2,3.5999999999999996,1.9,30.4,9.785703858180053
commit.v,52.900000000000006,51.2,54.800000000000004,11.1,11.799999999999999,10.5,24.2320036315613
pour.v,22.3,16.7,33.7,14.299999999999999,11.700000000000001,18.5,17.85749142516944
deny.v,64.8,59.8,70.7,3.2,2.9000000000000004,3.4000000000000004,14.4
lay.v,36.4,33.2,40.300000000000004,16.7,16.2,17.299999999999997,24.655222570481897
shave.v,72.89999999999999,78.5,67.9,6.7,7.5,6.0,22.100452484055612
weigh.v,33.300000000000004,24.2,53.300000000000004,48.0,41.0,57.99999999999999,39.97999499749844
apply.v,36.3,51.1,28.1,1.9,2.7,1.4000000000000001,8.304817878797824
level.v,48.1,44.1,53.1,44.5,41.199999999999996,48.5,46.26499756835615
