,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,24.9,16.1,55.00000000000001,12.1,8.6,20.200000000000003,17.35770722186545
address.n,22.8,14.099999999999998,58.699999999999996,41.199999999999996,31.2,60.5,30.648980407184837
camp.n,46.1,62.0,36.7,3.5000000000000004,5.4,2.6,12.702361985079783
innovation.n,23.200000000000003,13.8,73.1,24.099999999999998,15.8,51.2,23.64571842850202
mind.n,36.3,58.199999999999996,26.400000000000002,9.5,15.8,6.7,18.570137317747545
park.n,22.6,15.2,43.4,33.1,26.200000000000003,44.800000000000004,27.350685548994928
reputation.n,12.8,8.200000000000001,28.9,20.599999999999998,15.299999999999999,31.3,16.23822650414755
gap.n,18.3,11.5,45.5,16.900000000000002,12.3,27.0,17.58607403600929
challenge.n,50.4,51.2,49.6,4.9,6.1,4.0,15.714961024450554
failure.n,40.8,50.6,34.2,10.0,14.7,7.6,20.199009876724155
air.n,36.9,52.0,28.599999999999998,3.2,5.0,2.4,10.8664621657649
moment.n,52.5,52.2,52.900000000000006,0.2,0.2,0.2,3.24037034920393
tour.n,17.9,11.5,40.5,37.0,28.799999999999997,51.6,25.73518991575543
movement.n,22.5,14.499999999999998,50.9,14.2,10.4,22.5,17.874562931719478
body.n,45.9,59.0,37.6,7.8,10.9,6.0,18.921416437465773
guarantee.n,21.6,16.0,33.5,17.1,13.8,22.5,19.218740853656364
class.n,25.1,18.0,41.0,27.400000000000002,23.5,33.0,26.224797425337723
road.n,44.6,49.9,40.300000000000004,1.4000000000000001,1.9,1.0999999999999999,7.901898506055365
speed.n,49.3,49.5,49.0,5.3,5.800000000000001,4.9,16.164467204334326
foundation.n,20.7,13.0,50.8,10.299999999999999,7.3,17.4,14.601712228365548
idea.n,38.4,50.2,31.1,1.4000000000000001,2.0,1.0999999999999999,7.332121111929345
entry.n,18.3,12.0,38.4,20.599999999999998,15.5,30.7,19.415972805914205
flight.n,19.6,13.200000000000001,38.5,13.900000000000002,10.9,19.2,16.505756571572235
origin.n,38.5,28.599999999999998,59.099999999999994,47.199999999999996,36.9,65.3,42.62862887778587
note.n,26.8,19.1,44.5,28.199999999999996,23.7,34.8,27.491089465497723
rally.n,18.4,11.4,46.800000000000004,3.8,2.5,7.7,8.361817984146748
gas.n,23.7,14.6,62.7,13.900000000000002,9.5,26.0,18.150206610394275
chip.n,24.099999999999998,15.5,54.6,16.1,11.600000000000001,26.3,19.697969438497967
mark.n,20.3,12.6,52.800000000000004,21.2,15.5,33.6,20.745119908065124
margin.n,29.799999999999997,29.4,30.2,24.7,24.5,24.9,27.13042572463617
function.n,23.0,15.6,44.3,34.8,27.700000000000003,46.6,28.29134143161119
legislation.n,25.5,17.299999999999997,48.3,2.1,1.5,3.5999999999999996,7.317786550590281
screen.n,39.4,51.300000000000004,31.900000000000002,16.8,24.0,12.9,25.727805969417602
commission.n,31.0,25.2,40.2,4.9,4.1000000000000005,6.0,12.324771803161306
display.n,23.799999999999997,17.0,39.6,25.4,20.4,33.7,24.586988428841785
office.n,42.8,51.4,36.6,2.1,2.8000000000000003,1.6,9.480506315593065
dealer.n,22.5,14.899999999999999,45.800000000000004,15.1,11.200000000000001,23.3,18.432308591166763
community.n,39.2,51.6,31.6,4.3999999999999995,6.2,3.4000000000000004,13.133164127505603
house.n,33.900000000000006,23.400000000000002,61.6,11.200000000000001,8.9,15.1,19.485379134109763
shape.n,29.599999999999998,21.8,46.1,33.6,28.4,41.099999999999994,31.536645351083237
access.n,36.7,38.2,35.4,16.0,17.0,15.1,24.232209969377536
field.n,39.0,38.3,39.7,10.299999999999999,11.3,9.4,20.0424549394529
edge.n,20.9,16.0,29.799999999999997,37.6,33.1,43.5,28.032837887021
cell.n,24.9,16.7,49.2,16.6,13.100000000000001,22.6,20.330764865100377
officer.n,52.6,61.199999999999996,46.0,25.4,32.1,21.099999999999998,36.55188093655373
market.n,33.5,26.0,47.099999999999994,1.9,1.6,2.4,7.978095010715277
promotion.n,25.8,17.4,50.0,39.4,30.9,54.300000000000004,31.882910783051162
accounting.n,27.500000000000004,17.1,70.19999999999999,42.9,31.7,66.3,34.34748899119119
television.n,46.7,50.9,43.0,2.1999999999999997,2.6,1.9,10.136074190730847
campaign.n,43.7,49.6,39.0,1.7999999999999998,2.3,1.5,8.869047299456689
cheat.v,59.9,50.6,73.2,25.8,21.9,31.5,39.31183028046392
assemble.v,49.6,50.6,48.5,1.0999999999999999,1.0999999999999999,1.0,7.386474125047755
root.v,33.0,23.799999999999997,53.6,36.8,30.8,45.7,34.8482424233992
reveal.v,48.6,49.6,47.599999999999994,1.5,1.6,1.4000000000000001,8.538149682454625
haunt.v,17.5,10.0,70.0,33.5,22.0,70.1,24.212600025606502
operate.v,52.2,50.8,53.6,0.1,0.1,0.1,2.2847319317591728
frame.v,38.800000000000004,55.300000000000004,29.9,15.4,22.400000000000002,11.700000000000001,24.444222221212115
