,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,65.7,98.1,49.4,0.7000000000000001,7.3,0.4,6.7815927332743895
address.n,30.2,21.0,53.900000000000006,37.3,29.299999999999997,51.2,33.56277700071911
camp.n,55.60000000000001,95.1,39.2,6.3,27.500000000000004,3.5000000000000004,18.71576875257867
innovation.n,66.9,61.6,73.3,30.099999999999998,25.8,36.0,44.87415737370452
mind.n,38.0,98.0,23.599999999999998,1.5,23.1,0.8,7.54983443527075
park.n,34.599999999999994,28.7,43.5,38.0,32.300000000000004,46.1,36.26017098691069
reputation.n,34.5,33.6,35.4,5.6000000000000005,5.3,5.8999999999999995,13.899640283115243
gap.n,61.7,97.5,45.1,4.9,26.8,2.7,17.38763928772391
challenge.n,68.5,99.6,52.2,16.1,72.6,9.1,33.209185476310616
failure.n,50.4,98.6,33.900000000000006,4.1000000000000005,37.3,2.1999999999999997,14.374978260853128
air.n,44.3,99.0,28.599999999999998,1.0999999999999999,22.1,0.6,6.980687645210892
moment.n,69.1,97.39999999999999,53.5,0.2,0.7000000000000001,0.1,3.7175260590882213
tour.n,17.0,12.8,25.3,21.8,17.7,28.199999999999996,19.250974001333024
movement.n,63.6,95.7,47.599999999999994,1.5,8.9,0.8,9.767292357659825
body.n,49.7,98.8,33.2,0.8999999999999999,16.1,0.4,6.688049042882386
guarantee.n,46.9,92.2,31.5,1.6,7.199999999999999,0.8999999999999999,8.662563131083086
class.n,45.300000000000004,99.0,29.4,1.6,27.900000000000002,0.8,8.513518661517105
road.n,56.699999999999996,98.0,39.900000000000006,0.7000000000000001,9.700000000000001,0.4,6.3
speed.n,69.3,93.4,55.1,19.400000000000002,38.3,13.0,36.666333331818166
foundation.n,69.6,98.3,53.900000000000006,6.2,30.3,3.5000000000000004,20.773059476158057
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
