,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,52.300000000000004,57.199999999999996,48.199999999999996,6.4,7.7,5.5,18.295354601646835
address.n,26.700000000000003,17.2,60.0,40.1,30.8,57.4,32.72109411373648
camp.n,64.4,79.0,54.400000000000006,27.3,37.0,21.6,41.92994156924143
innovation.n,73.8,71.39999999999999,76.4,40.9,39.900000000000006,41.9,54.9401492535286
mind.n,34.1,55.300000000000004,24.7,8.9,15.0,6.3,17.420964382031208
park.n,26.400000000000002,17.7,51.5,36.1,28.499999999999996,49.0,30.87134593761665
reputation.n,40.0,47.8,34.4,1.2,1.5,1.0,6.928203230275509
gap.n,38.3,33.300000000000004,44.9,12.1,11.5,12.9,21.52742436985902
challenge.n,23.9,15.8,48.9,15.2,11.799999999999999,21.3,19.059905561151137
failure.n,27.0,22.5,33.6,22.0,20.200000000000003,24.099999999999998,24.372115213907882
air.n,40.1,55.1,31.5,8.6,13.0,6.4,18.570406565285534
moment.n,51.5,50.0,53.0,0.2,0.2,0.2,3.2093613071762426
tour.n,19.2,14.2,29.599999999999998,23.7,19.400000000000002,30.4,21.331666601557412
movement.n,40.0,35.099999999999994,46.400000000000006,15.5,14.299999999999999,16.7,24.899799195977465
body.n,47.599999999999994,49.4,45.9,21.099999999999998,22.6,19.8,31.691639275998327
guarantee.n,33.300000000000004,27.0,43.6,29.7,25.5,35.699999999999996,31.448529377381067
class.n,23.799999999999997,17.299999999999997,38.2,19.900000000000002,17.299999999999997,23.5,21.762812318264384
road.n,47.4,53.6,42.4,13.0,17.2,10.4,24.823376079816377
speed.n,57.099999999999994,56.699999999999996,57.49999999999999,14.399999999999999,15.6,13.3,28.674727548836444
foundation.n,50.4,48.6,52.300000000000004,7.3999999999999995,8.200000000000001,6.800000000000001,19.312172327317295
idea.n,38.5,50.2,31.2,2.7,3.8,2.1,10.195587280779858
entry.n,30.0,24.6,38.4,10.6,9.5,12.1,17.832554500127006
flight.n,26.700000000000003,20.1,39.7,22.3,18.6,27.900000000000002,24.40102456865285
origin.n,29.7,20.9,51.4,39.1,30.599999999999998,54.300000000000004,34.07741187355636
note.n,19.7,13.100000000000001,40.0,21.099999999999998,17.1,27.700000000000003,20.387986658814548
rally.n,25.4,16.400000000000002,56.8,18.6,12.6,35.4,21.735684944349003
gas.n,62.9,59.0,67.30000000000001,23.0,23.9,22.1,38.03550972446669
chip.n,22.8,14.399999999999999,54.7,16.6,11.899999999999999,27.700000000000003,19.454562446891476
mark.n,22.5,14.000000000000002,56.99999999999999,24.9,18.2,39.2,23.66960075708925
margin.n,31.6,42.6,25.1,17.2,21.7,14.2,23.313515393436486
function.n,42.4,48.199999999999996,37.8,18.0,19.400000000000002,16.7,27.62607463973121
legislation.n,53.900000000000006,56.10000000000001,51.9,6.2,6.4,6.1,18.280590800080834
screen.n,20.1,14.299999999999999,34.0,36.6,29.7,47.599999999999994,27.123052925509697
commission.n,76.5,84.5,69.89999999999999,39.5,49.2,33.0,54.97044660542608
display.n,50.3,78.5,37.0,16.900000000000002,29.099999999999998,11.899999999999999,29.155959939607545
office.n,44.3,53.800000000000004,37.7,2.8000000000000003,3.8,2.1999999999999997,11.137324633860683
dealer.n,21.2,13.200000000000001,53.5,18.4,13.200000000000001,30.4,19.750443033005613
community.n,41.6,55.900000000000006,33.1,7.9,11.4,6.1,18.128430709799456
house.n,55.900000000000006,53.900000000000006,58.099999999999994,6.3,7.5,5.4,18.766193007640094
shape.n,46.6,69.1,35.099999999999994,17.4,27.400000000000002,12.8,28.47525241327985
access.n,37.8,49.1,30.7,2.9000000000000004,4.0,2.3,10.469957019969089
field.n,62.6,75.4,53.6,30.3,43.7,23.200000000000003,43.55203783980722
edge.n,21.099999999999998,15.1,34.8,41.8,35.699999999999996,50.4,29.698148090411294
cell.n,68.4,71.0,66.10000000000001,28.199999999999996,36.8,22.900000000000002,43.91901638242824
officer.n,54.7,45.6,68.30000000000001,46.300000000000004,40.300000000000004,54.300000000000004,50.32504346744273
market.n,48.1,50.2,46.2,0.7000000000000001,0.8,0.6,5.8025856305616035
promotion.n,51.6,40.5,71.0,57.8,50.0,68.5,54.61208657431064
accounting.n,31.2,22.3,51.800000000000004,31.8,24.8,44.3,31.49857139617605
television.n,33.1,24.9,49.6,10.6,8.5,14.299999999999999,18.73125729896421
campaign.n,42.699999999999996,41.0,44.5,12.1,12.1,12.2,22.730376151749006
cheat.v,48.3,34.599999999999994,80.0,24.4,17.1,42.9,34.32957908276767
assemble.v,48.0,47.599999999999994,48.5,0.5,0.5,0.5,4.898979485566356
root.v,50.5,41.3,65.0,44.9,40.699999999999996,50.0,47.61774879181081
reveal.v,51.0,53.0,49.2,3.8,4.1000000000000005,3.5999999999999996,13.921206844235883
haunt.v,42.1,28.599999999999998,80.0,38.2,26.700000000000003,67.10000000000001,40.10261836838089
operate.v,37.4,27.800000000000004,57.099999999999994,3.8,2.8000000000000003,5.8999999999999995,11.921409312660982
frame.v,30.599999999999998,23.400000000000002,44.0,55.900000000000006,45.7,72.1,41.35867502713306
assert.v,46.5,45.300000000000004,47.8,20.3,20.0,20.599999999999998,30.723769300006143
introduce.v,46.300000000000004,35.6,66.4,8.799999999999999,6.9,12.2,20.185143051264216
swear.v,37.6,60.6,27.200000000000003,10.6,18.7,7.3999999999999995,19.96396754154845
bow.v,36.0,26.1,58.099999999999994,54.900000000000006,45.9,68.5,44.45672052682249
figure.v,43.5,52.5,37.1,1.7999999999999998,2.4,1.4000000000000001,8.848728722251575
analyze.v,61.8,48.3,85.9,9.2,6.3,17.2,23.844496220302076
expose.v,58.9,70.5,50.6,4.2,5.1,3.5999999999999996,15.728318409798296
conclude.v,45.6,59.5,37.0,12.2,17.1,9.5,23.586436780488906
appeal.v,48.0,70.19999999999999,36.5,16.1,24.099999999999998,12.0,27.799280566230486
owe.v,41.4,52.900000000000006,34.0,8.1,10.6,6.6000000000000005,18.31229095443822
mount.v,21.0,18.6,24.099999999999998,40.6,36.4,46.0,29.199315060459895
regain.v,62.7,48.1,89.7,36.8,26.900000000000002,58.5,48.03498724887933
relax.v,60.3,65.60000000000001,55.7,19.900000000000002,23.5,17.2,34.640583135969294
cultivate.v,47.099999999999994,52.2,42.9,13.200000000000001,17.599999999999998,10.5,24.93431370621618
violate.v,21.099999999999998,11.899999999999999,96.1,5.2,2.7,48.9,10.474731500138798
commit.v,56.2,54.0,58.5,25.5,26.900000000000002,24.099999999999998,37.85630726840641
pour.v,62.7,80.5,51.4,43.5,58.5,34.599999999999994,52.22499401627539
deny.v,58.4,50.9,68.60000000000001,2.1,1.9,2.5,11.074294559925702
lay.v,39.6,37.9,41.5,25.4,25.1,25.7,31.714980687366026
shave.v,62.7,59.0,66.9,4.3,4.0,4.6,16.41980511455602
weigh.v,34.5,25.1,55.2,46.800000000000004,40.300000000000004,55.7,40.18208556060773
apply.v,38.5,57.699999999999996,28.9,3.5999999999999996,5.6000000000000005,2.7,11.77285012220915
level.v,27.200000000000003,18.6,50.0,50.5,40.400000000000006,67.2,37.06211003167521
presume.v,63.1,51.1,82.5,21.7,16.8,30.5,37.00364846876589
wait.v,66.10000000000001,50.0,97.2,0.8999999999999999,0.5,4.3,7.712976079309465
stick.v,39.7,53.1,31.7,4.6,6.5,3.5999999999999996,13.513696755514385
separate.v,58.3,44.7,83.6,12.3,9.1,19.2,26.778536181053664
reap.v,19.0,10.7,81.2,10.6,5.8999999999999995,49.8,14.191546779685433
signal.v,24.5,15.2,62.9,20.9,14.000000000000002,41.5,22.628521825342457
swim.v,20.200000000000003,11.4,88.9,5.4,2.9000000000000004,37.3,10.444137111317527
slow.v,64.1,50.8,86.7,0.3,0.2,0.5,4.38520238985614
question.v,43.6,38.1,50.9,3.1,2.5,3.8,11.625833303466896
happen.v,62.7,50.6,82.6,4.5,3.3000000000000003,7.1,16.797321215003304
insist.v,50.1,50.1,50.2,1.2,1.2,1.2,7.753708789992051
observe.v,38.4,48.8,31.6,1.4000000000000001,2.0,1.0999999999999999,7.332121111929345
lie.v,42.199999999999996,28.599999999999998,80.2,8.9,6.0,17.299999999999997,19.379886480575678
deploy.v,44.800000000000004,50.0,40.699999999999996,6.0,7.1,5.2,16.39512122553536
accommodate.v,62.3,86.4,48.699999999999996,47.599999999999994,66.7,37.1,54.456220948574824
sniff.v,28.599999999999998,18.8,60.0,62.2,49.2,84.39999999999999,42.17724504990813
straighten.v,38.6,42.1,35.6,17.0,18.6,15.7,25.616400996236766
pursue.v,37.1,23.599999999999998,86.8,7.5,4.5,21.4,16.680827317612277
defend.v,44.2,35.5,58.3,3.5999999999999996,2.9000000000000004,4.9,12.614277624977182
divide.v,42.9,46.0,40.2,18.7,21.099999999999998,16.7,28.32366501708421
mean,42.872,42.256,52.58100000000001,18.858,18.244,23.34,25.006488972086622
