,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,51.9,55.1,49.2,8.799999999999999,10.2,7.7,21.371008399230952
address.n,28.299999999999997,19.1,54.900000000000006,34.1,27.200000000000003,45.800000000000004,31.064931997350325
camp.n,66.0,85.9,53.7,33.1,48.0,25.2,46.73970474874654
innovation.n,54.800000000000004,43.8,72.89999999999999,27.6,22.0,36.8,38.89061583467148
mind.n,32.5,53.1,23.5,4.3999999999999995,7.3999999999999995,3.1,11.958260743101397
park.n,26.700000000000003,18.099999999999998,51.0,41.699999999999996,33.0,56.49999999999999,33.36749915711395
reputation.n,38.5,45.5,33.300000000000004,0.3,0.4,0.2,3.3985290935932855
gap.n,28.000000000000004,18.3,58.8,29.9,22.1,46.1,28.934408582170814
challenge.n,57.9,58.099999999999994,57.699999999999996,15.7,19.400000000000002,13.200000000000001,30.150124377852904
failure.n,42.0,53.400000000000006,34.599999999999994,12.3,18.4,9.2,22.728836309850973
air.n,40.699999999999996,56.3,31.900000000000002,9.5,14.499999999999998,7.1,19.66341781074694
moment.n,37.3,27.3,59.0,7.5,5.6000000000000005,11.700000000000001,16.72572868367773
tour.n,20.8,16.900000000000002,27.200000000000003,18.5,15.9,22.3,19.616319736382767
movement.n,40.400000000000006,34.5,48.9,20.7,18.0,24.3,28.918506185486137
body.n,44.1,58.099999999999994,35.5,4.3,6.2,3.3000000000000003,13.770620901034201
guarantee.n,26.5,20.3,37.8,22.3,18.5,28.199999999999996,24.3094631779478
class.n,24.2,17.4,39.6,28.9,24.7,34.699999999999996,26.44579361637688
road.n,48.0,53.900000000000006,43.2,11.0,14.499999999999998,8.9,22.978250586152114
speed.n,57.099999999999994,56.699999999999996,57.49999999999999,14.399999999999999,15.6,13.3,28.674727548836444
foundation.n,19.7,12.1,52.5,13.100000000000001,9.2,22.8,16.06455726125062
idea.n,38.4,50.3,31.1,2.5,3.5000000000000004,1.9,9.797958971132712
entry.n,16.900000000000002,10.8,39.1,17.5,13.100000000000001,26.5,17.19738352191984
flight.n,21.9,15.0,40.2,22.0,17.4,29.9,21.949943052317924
origin.n,67.9,81.3,58.3,44.2,55.800000000000004,36.5,54.78302656845458
note.n,24.4,17.1,42.5,30.2,25.1,37.8,27.145533702618557
rally.n,47.0,35.3,70.19999999999999,22.2,16.7,32.9,32.301702741496456
gas.n,63.0,59.099999999999994,67.5,25.8,26.900000000000002,24.9,40.316249825597616
chip.n,19.7,12.4,48.5,11.5,8.200000000000001,19.1,15.051577990363668
mark.n,24.4,15.299999999999999,60.6,24.6,18.0,38.5,24.499795917517353
margin.n,32.6,52.300000000000004,23.7,7.7,12.3,5.6000000000000005,15.843610699584865
function.n,29.099999999999998,25.6,33.6,16.1,15.5,16.7,21.64509182239706
legislation.n,21.5,13.900000000000002,47.4,1.9,1.3,3.5999999999999996,6.391400472509918
screen.n,21.2,15.1,35.3,35.8,29.2,46.400000000000006,27.549228664338315
commission.n,54.300000000000004,56.3,52.5,18.3,21.5,15.9,31.52284885602823
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,44.0,52.800000000000004,37.7,2.1999999999999997,3.0,1.7000000000000002,9.838699100999074
dealer.n,23.0,14.899999999999999,50.3,18.099999999999998,13.200000000000001,28.9,20.403431084011334
community.n,43.4,45.0,41.9,19.8,21.2,18.5,29.31416040073466
house.n,43.7,35.199999999999996,57.699999999999996,6.4,6.0,6.800000000000001,16.723635968293497
shape.n,28.999999999999996,24.8,34.9,25.7,23.200000000000003,28.799999999999997,27.30018314956879
access.n,50.5,79.80000000000001,36.9,23.0,38.9,16.3,34.08078637590395
field.n,62.8,75.6,53.7,32.4,46.7,24.8,45.10787071011
edge.n,26.0,18.9,41.699999999999996,49.0,42.0,58.699999999999996,35.6931365951495
cell.n,27.500000000000004,17.7,62.4,31.0,23.7,44.5,29.197602641312866
officer.n,67.9,76.1,61.3,49.4,60.4,41.8,57.91597361695649
market.n,48.8,52.1,45.9,1.4000000000000001,1.7000000000000002,1.2,8.26559132790873
promotion.n,65.60000000000001,81.8,54.7,40.8,55.2,32.4,51.73470788551918
accounting.n,41.5,29.5,69.5,44.1,34.300000000000004,61.8,42.780252453673064
television.n,46.7,50.9,43.0,2.1999999999999997,2.6,1.9,10.136074190730847
campaign.n,44.1,43.5,44.6,9.4,9.5,9.2,20.36025540114858
cheat.v,52.1,38.3,81.6,36.9,26.1,62.8,43.846208501990226
assemble.v,53.7,59.099999999999994,49.2,0.5,0.6,0.5,5.181698563212646
root.v,61.3,77.8,50.5,27.900000000000002,41.3,21.0,41.35541077053884
reveal.v,49.5,50.4,48.6,2.8000000000000003,3.0,2.7,11.772850122209151
haunt.v,17.1,10.0,58.3,31.6,20.8,65.4,23.24564475337262
operate.v,54.300000000000004,52.300000000000004,56.39999999999999,3.5000000000000004,3.4000000000000004,3.5999999999999996,13.785862323409445
frame.v,36.5,57.4,26.700000000000003,2.6,4.1000000000000005,1.9,9.741663102366044
assert.v,39.7,39.2,40.300000000000004,13.600000000000001,13.5,13.700000000000001,23.23617868755532
introduce.v,45.800000000000004,35.199999999999996,65.4,15.0,11.700000000000001,20.7,26.210684844162316
swear.v,36.6,62.3,25.900000000000002,11.3,21.4,7.7,20.336666393487405
bow.v,36.6,24.6,70.8,58.5,47.3,76.7,46.272021784227235
figure.v,47.699999999999996,45.6,50.1,19.2,19.5,18.9,30.26284851100438
analyze.v,62.0,48.3,86.7,10.100000000000001,6.9,19.1,25.023988491045948
expose.v,59.199999999999996,73.4,49.6,1.7999999999999998,2.3,1.4000000000000001,10.322790320451151
conclude.v,49.8,65.10000000000001,40.300000000000004,17.2,24.0,13.4,29.267046314925597
appeal.v,43.7,57.599999999999994,35.199999999999996,10.100000000000001,13.700000000000001,7.9,21.00880767678166
owe.v,47.0,61.8,37.9,22.5,29.9,18.099999999999998,32.5192250830182
mount.v,26.0,50.0,17.599999999999998,4.1000000000000005,7.3,2.9000000000000004,10.324727599312245
regain.v,24.8,14.799999999999999,76.2,28.499999999999996,17.8,72.3,26.58571044753177
relax.v,48.5,52.300000000000004,45.1,7.000000000000001,8.3,6.1,18.42552577268828
cultivate.v,48.3,50.7,46.1,9.8,12.4,8.200000000000001,21.756378375088076
violate.v,24.4,14.000000000000002,94.69999999999999,2.9000000000000004,1.5,25.3,8.411896337925237
commit.v,56.2,54.0,58.5,25.5,26.900000000000002,24.099999999999998,37.85630726840641
pour.v,43.3,38.800000000000004,49.0,38.4,34.699999999999996,43.1,40.7764637995989
deny.v,58.599999999999994,51.0,69.0,3.0,2.7,3.5000000000000004,13.258959235173776
lay.v,46.0,51.9,41.199999999999996,24.3,28.000000000000004,21.4,33.433516117812076
shave.v,62.7,59.0,66.9,4.3,4.0,4.6,16.41980511455602
weigh.v,31.3,22.5,51.5,46.6,40.0,55.7,38.19136027951872
apply.v,37.7,53.800000000000004,28.999999999999996,3.2,4.7,2.4,10.983624174196786
level.v,27.1,22.0,35.099999999999994,37.2,32.300000000000004,43.8,31.75090549889877
presume.v,42.5,29.299999999999997,77.10000000000001,18.8,12.6,36.6,28.26658805020514
wait.v,65.9,49.9,97.2,0.8,0.4,4.0,7.26085394426854
stick.v,39.7,56.99999999999999,30.4,2.1,3.1,1.6,9.130717386930778
separate.v,46.300000000000004,32.4,81.2,9.3,6.4,16.900000000000002,20.750662640021886
reap.v,60.5,46.300000000000004,87.5,8.5,5.6000000000000005,17.5,22.677080940897135
signal.v,20.5,12.5,57.099999999999994,19.5,13.0,39.5,19.993749023132207
swim.v,19.7,11.1,90.7,6.0,3.2,42.0,10.871982339941507
