,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,65.10000000000001,96.3,49.2,1.4000000000000001,8.3,0.7000000000000001,9.5467271878901
address.n,25.5,17.599999999999998,46.5,31.6,24.7,43.9,28.386616564853234
camp.n,46.5,62.0,37.2,13.8,19.0,10.9,25.33179819910146
innovation.n,68.60000000000001,96.0,53.300000000000004,8.0,23.200000000000003,4.8,23.426480742954116
mind.n,36.7,89.2,23.1,1.5,7.1,0.8,7.419568720619818
park.n,29.5,22.3,43.4,37.1,30.599999999999998,47.199999999999996,33.08247270081244
reputation.n,49.6,85.1,35.0,3.3000000000000003,8.200000000000001,2.0,12.793748473375581
gap.n,22.8,15.5,43.1,20.5,15.299999999999999,30.8,21.619435700313733
challenge.n,67.5,100.0,51.0,13.5,100.0,7.199999999999999,30.18691769624716
failure.n,50.4,98.6,33.900000000000006,4.1000000000000005,37.3,2.1999999999999997,14.374978260853128
air.n,44.3,99.0,28.599999999999998,1.0999999999999999,22.1,0.6,6.980687645210892
moment.n,69.6,99.1,53.6,2.0,17.1,1.0999999999999999,11.7983049630021
tour.n,23.1,17.599999999999998,33.800000000000004,35.0,28.499999999999996,45.300000000000004,28.434134416225863
movement.n,63.6,95.7,47.599999999999994,1.5,8.9,0.8,9.767292357659825
body.n,49.9,97.7,33.5,2.1,16.400000000000002,1.0999999999999999,10.236698686588367
guarantee.n,46.7,85.0,32.2,5.5,13.900000000000002,3.5000000000000004,16.02654048757872
class.n,46.1,97.3,30.2,3.6999999999999997,21.9,2.0,13.060245020672468
road.n,56.10000000000001,96.0,39.7,1.4000000000000001,11.0,0.7000000000000001,8.862279616441812
speed.n,63.9,90.4,49.3,3.5000000000000004,10.299999999999999,2.1,14.954932296737422
foundation.n,69.6,98.3,53.900000000000006,6.2,30.3,3.5000000000000004,20.773059476158057
idea.n,46.2,94.69999999999999,30.5,2.5,17.7,1.4000000000000001,10.747092630102339
entry.n,21.9,14.499999999999998,44.6,22.7,17.1,33.5,22.29641226744787
flight.n,48.6,97.39999999999999,32.4,1.0999999999999999,13.900000000000002,0.6,7.311634564172364
origin.n,53.900000000000006,95.6,37.5,11.700000000000001,39.2,6.9,25.112347560512937
note.n,54.400000000000006,97.7,37.7,10.7,46.0,6.0,24.126334160000354
rally.n,62.8,87.6,49.0,1.0999999999999999,2.1,0.7000000000000001,8.31143790207206
gas.n,73.2,99.2,57.99999999999999,6.6000000000000005,33.0,3.6999999999999997,21.979990900817043
chip.n,34.300000000000004,26.6,48.199999999999996,11.0,8.7,14.899999999999999,19.424211695716252
mark.n,30.9,20.5,62.8,26.200000000000003,19.900000000000002,38.2,28.453119336902237
margin.n,27.700000000000003,29.4,26.1,17.7,17.599999999999998,17.7,22.1424930845648
function.n,47.8,91.5,32.4,3.1,16.2,1.7000000000000002,12.172920767013972
legislation.n,61.6,81.69999999999999,49.4,5.3,8.200000000000001,3.9,18.068757566584374
screen.n,45.0,89.1,30.099999999999998,4.3999999999999995,20.200000000000003,2.5,14.071247279470288
commission.n,59.599999999999994,89.5,44.6,3.5999999999999996,11.700000000000001,2.1,14.647866738880442
display.n,44.800000000000004,80.2,31.1,1.7999999999999998,4.3,1.0999999999999999,8.97997772825746
office.n,53.0,94.69999999999999,36.8,1.3,5.8999999999999995,0.7000000000000001,8.300602387778854
dealer.n,60.0,95.89999999999999,43.7,1.5,9.5,0.8,9.486832980505138
community.n,47.099999999999994,99.2,30.9,1.2,23.5,0.6,7.517978451685
house.n,71.1,97.89999999999999,55.900000000000006,3.4000000000000004,19.400000000000002,1.9,15.547990223819927
shape.n,43.6,33.900000000000006,61.199999999999996,38.3,32.2,47.099999999999994,40.86416523067613
access.n,47.199999999999996,94.19999999999999,31.5,7.3999999999999995,29.9,4.2,18.689034217957865
field.n,52.5,97.8,35.9,3.4000000000000004,25.0,1.7999999999999998,13.36038921588739
edge.n,23.200000000000003,21.7,25.0,36.1,33.0,39.800000000000004,28.939937802282852
cell.n,65.3,96.7,49.3,0.8,6.9,0.4,7.227724399837061
officer.n,44.800000000000004,40.2,50.7,18.5,16.0,22.0,28.78888674471453
market.n,62.9,98.4,46.2,0.4,4.2,0.2,5.015974481593781
promotion.n,53.0,87.6,38.0,23.400000000000002,49.4,15.299999999999999,35.21647341799005
accounting.n,60.699999999999996,94.3,44.7,12.2,31.900000000000002,7.5,27.212864604815124
television.n,59.199999999999996,98.3,42.3,2.1,15.9,1.0999999999999999,11.149887891813083
campaign.n,56.599999999999994,98.4,39.7,2.1999999999999997,17.1,1.2,11.158852987650656
cheat.v,34.599999999999994,22.2,78.3,28.1,18.0,64.1,31.181084009379788
assemble.v,63.7,89.4,49.5,0.1,0.3,0.1,2.5238858928247927
root.v,68.89999999999999,82.5,59.099999999999994,49.6,68.5,38.9,58.458874433228694
reveal.v,64.5,98.4,48.0,1.4000000000000001,12.2,0.7000000000000001,9.50263121456368
haunt.v,26.5,18.6,46.400000000000006,11.4,8.0,19.6,17.381024135533558
operate.v,69.69999999999999,98.5,53.900000000000006,0.8,7.199999999999999,0.4,7.467261881037787
frame.v,45.800000000000004,97.89999999999999,29.9,18.2,64.60000000000001,10.6,28.871439174381315
assert.v,52.2,87.3,37.2,1.7000000000000002,4.7,1.0999999999999999,9.42019108086455
introduce.v,74.2,94.19999999999999,61.199999999999996,1.9,6.1,1.0999999999999999,11.873499905251188
swear.v,30.0,25.0,37.4,36.4,31.900000000000002,42.3,33.04542328371661
bow.v,42.3,79.7,28.799999999999997,12.6,32.9,7.8,23.086359609085186
figure.v,53.0,94.1,36.9,0.6,3.3000000000000003,0.4,5.639148871948674
