,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,50.6,52.0,49.4,3.1,3.5000000000000004,2.8000000000000003,12.524376231972592
address.n,16.6,10.299999999999999,42.9,26.400000000000002,20.0,38.7,20.93418257300724
camp.n,45.2,54.1,38.800000000000004,10.9,14.399999999999999,8.7,22.19639610387236
innovation.n,27.6,17.0,72.3,22.0,14.6,44.3,24.641428530018302
mind.n,28.7,32.800000000000004,25.5,8.799999999999999,10.0,7.9,15.892136420255143
park.n,27.700000000000003,18.8,52.5,39.300000000000004,31.1,53.300000000000004,32.99409037994532
reputation.n,13.900000000000002,9.0,30.8,21.4,15.9,32.4,17.24702872961021
gap.n,20.3,12.7,51.1,21.3,15.5,34.1,20.793989516203958
challenge.n,26.6,17.8,53.300000000000004,15.6,12.1,21.9,20.370567002417975
failure.n,21.7,14.499999999999998,42.4,28.7,23.400000000000002,37.1,24.95576085796624
air.n,40.9,56.10000000000001,32.2,9.8,14.799999999999999,7.3,20.02048950450513
moment.n,52.2,51.6,52.900000000000006,0.4,0.4,0.4,4.5694638635183455
tour.n,18.3,13.5,28.199999999999996,22.400000000000002,18.6,28.299999999999997,20.246481175750024
movement.n,25.6,16.8,54.1,23.9,17.4,38.2,24.73539973398449
body.n,44.7,57.699999999999996,36.4,5.6000000000000005,7.8,4.3,15.821504353252887
guarantee.n,27.500000000000004,20.9,40.300000000000004,24.2,19.900000000000002,30.9,25.797286679028865
class.n,20.8,15.2,32.7,18.4,16.0,21.7,19.563230817019974
road.n,27.0,19.3,45.300000000000004,16.0,13.100000000000001,20.5,20.784609690826528
speed.n,22.1,13.8,56.8,17.8,12.4,31.900000000000002,19.83380951809309
foundation.n,27.900000000000002,18.9,53.400000000000006,13.4,10.2,19.7,19.335459653186422
idea.n,39.1,51.9,31.3,2.8000000000000003,4.0,2.1,10.463269087622663
entry.n,21.4,14.000000000000002,45.2,19.6,14.7,29.2,20.48023437365891
flight.n,22.400000000000002,16.6,34.599999999999994,11.5,9.5,14.6,16.049922118191105
origin.n,21.3,14.299999999999999,41.9,35.8,26.900000000000002,53.5,27.614126819437907
note.n,23.1,15.5,44.7,23.9,19.5,31.0,23.49659549807163
rally.n,21.6,13.600000000000001,52.7,11.0,7.3999999999999995,21.4,15.414279094398156
gas.n,23.799999999999997,14.799999999999999,60.8,10.2,7.000000000000001,18.6,15.580757362849855
chip.n,29.599999999999998,20.4,53.6,13.600000000000001,10.299999999999999,19.8,20.063897926375123
mark.n,19.5,11.700000000000001,59.8,24.6,17.7,40.400000000000006,21.902054698132776
margin.n,23.5,16.8,39.0,30.7,25.8,37.8,26.85982129501237
function.n,28.999999999999996,26.1,32.5,14.000000000000002,13.600000000000001,14.299999999999999,20.149441679609886
legislation.n,53.2,58.099999999999994,49.0,0.1,0.1,0.1,2.3065125189341593
screen.n,36.199999999999996,51.300000000000004,28.000000000000004,9.2,14.2,6.800000000000001,18.249383551232626
commission.n,26.900000000000002,17.8,55.60000000000001,21.5,15.9,33.0,24.04890849913983
display.n,30.8,28.299999999999997,33.7,15.299999999999999,14.799999999999999,15.9,21.70806301815065
office.n,42.0,49.8,36.3,0.2,0.3,0.2,2.898275349237888
dealer.n,19.0,12.3,41.8,7.199999999999999,5.3,11.5,11.696153213770756
community.n,42.5,55.7,34.300000000000004,8.1,11.5,6.3,18.553975315279473
house.n,20.3,12.2,59.9,12.4,9.0,20.4,15.865686244219
shape.n,35.8,28.9,47.3,29.5,26.1,34.1,32.49769222575658
access.n,33.4,32.9,33.800000000000004,13.100000000000001,13.100000000000001,13.200000000000001,20.917456824384747
field.n,22.0,14.799999999999999,43.2,19.3,15.6,25.4,20.605824419323774
edge.n,14.299999999999999,10.4,22.900000000000002,33.900000000000006,29.099999999999998,40.6,22.017493045303773
cell.n,20.4,12.4,57.3,23.7,17.599999999999998,36.3,21.988178642170432
officer.n,49.0,58.5,42.1,16.8,21.7,13.700000000000001,28.691462144686877
market.n,50.9,54.2,48.0,2.1999999999999997,2.7,1.9,10.582060290888537
promotion.n,54.2,85.1,39.800000000000004,20.7,38.0,14.2,33.495372814763535
accounting.n,57.599999999999994,66.8,50.6,22.2,28.999999999999996,18.0,35.75919462180321
television.n,24.099999999999998,15.9,50.0,12.9,9.4,20.3,17.632073048850494
campaign.n,19.900000000000002,13.200000000000001,40.1,5.0,3.8,7.3999999999999995,9.974968671630002
cheat.v,31.1,19.8,72.7,26.6,16.8,64.1,28.76212787677574
assemble.v,55.2,58.199999999999996,52.5,11.3,11.799999999999999,10.9,24.975187686982455
root.v,48.9,54.0,44.7,12.7,16.2,10.4,24.920473510750153
reveal.v,39.900000000000006,34.4,47.5,0.8999999999999999,0.8,1.0999999999999999,5.992495306631454
haunt.v,19.3,11.4,61.5,26.6,17.8,52.800000000000004,22.657890457851543
operate.v,40.699999999999996,32.800000000000004,53.6,0.3,0.3,0.5,3.4942810419312296
frame.v,12.1,8.5,21.099999999999998,40.9,32.800000000000004,54.2,22.246123257772354
assert.v,47.3,40.6,56.599999999999994,28.1,25.0,32.300000000000004,36.45723522155787
introduce.v,56.3,51.9,61.5,6.6000000000000005,6.4,6.9,19.276410454231357
swear.v,19.1,13.4,33.6,32.2,26.700000000000003,40.6,24.79959677091545
bow.v,33.300000000000004,23.200000000000003,59.3,56.99999999999999,46.300000000000004,73.9,43.567189489339334
figure.v,36.1,36.199999999999996,36.1,3.1,3.3000000000000003,3.0,10.578752289377043
analyze.v,18.3,10.2,85.7,8.6,4.8,39.4,12.545118572576346
expose.v,24.8,17.2,44.2,4.1000000000000005,2.8000000000000003,7.199999999999999,10.083650132764426
conclude.v,38.800000000000004,50.6,31.5,2.7,3.8,2.1,10.23523326553919
appeal.v,39.4,54.2,30.9,2.1999999999999997,3.1,1.7000000000000002,9.310209449845905
owe.v,25.0,17.2,45.800000000000004,29.299999999999997,22.5,42.1,27.064737205448715
mount.v,26.900000000000002,47.099999999999994,18.9,8.200000000000001,13.4,5.8999999999999995,14.85193590075045
regain.v,57.099999999999994,50.0,66.7,13.900000000000002,11.899999999999999,16.8,28.17250432602682
relax.v,46.800000000000004,52.900000000000006,42.0,4.0,4.9,3.4000000000000004,13.682105101189656
cultivate.v,45.1,43.5,46.9,4.9,5.6000000000000005,4.3,14.865732407116711
violate.v,32.1,19.3,95.3,2.9000000000000004,1.6,21.4,9.648315915225828
commit.v,51.9,48.9,55.2,1.0999999999999999,1.2,1.0999999999999999,7.555792479945435
pour.v,40.699999999999996,56.00000000000001,32.0,4.5,6.4,3.5000000000000004,13.533292282367952
deny.v,59.5,52.2,69.19999999999999,2.4,2.1999999999999997,2.8000000000000003,11.949895397031725
lay.v,40.2,53.6,32.2,2.6,3.8,2.0,10.223502335305646
shave.v,61.0,61.0,61.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,6.534523701081817
weigh.v,23.1,16.5,38.800000000000004,41.0,34.699999999999996,50.1,30.774989845652264
apply.v,35.699999999999996,49.2,28.000000000000004,0.8,1.0999999999999999,0.6,5.344155686354955
level.v,31.1,23.7,45.2,41.4,36.1,48.6,35.8823076181006
presume.v,20.4,12.0,68.8,31.1,18.4,100.0,25.188092424794696
wait.v,65.9,49.9,97.1,0.1,0.1,0.5,2.5670995305986875
stick.v,32.9,34.4,31.5,5.5,5.8999999999999995,5.2,13.451765683359191
separate.v,74.5,70.6,78.8,4.2,4.1000000000000005,4.3,17.68897962009115
reap.v,15.9,9.1,64.7,8.4,4.7,40.9,11.556816170554933
signal.v,23.0,14.499999999999998,54.50000000000001,17.1,11.5,33.4,19.83179265724609
swim.v,28.000000000000004,16.5,93.5,7.7,4.2,47.9,14.683323874382122
slow.v,72.2,59.8,90.9,7.5,5.3,12.7,23.27015255644019
question.v,40.2,34.0,49.2,0.8999999999999999,0.7000000000000001,1.2,6.014981296729027
