,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
fr-es-de-ru-en__5__tf-idf-weighted__agglomerative__dummy.json,53.108999999999995,75.31099999999999,48.047999999999995,12.42,20.819000000000003,14.443999999999996,19.181693250755632
fr-es-de-ru-en__5__tf-idf-weighted__kmeans__dummy.json,34.145,30.96100000000001,50.723,18.064,15.478000000000002,26.076000000000004,21.0857728940199
fr-es-de-ru-en__10__tf-idf-weighted__agglomerative__dummy.json,55.68700000000002,81.35199999999999,48.553000000000004,12.485999999999999,24.677999999999997,12.954999999999998,20.649188014650246
fr-es-de-ru-en__10__tf-idf-weighted__kmeans__dummy.json,38.238,36.554,51.672,18.331999999999997,16.843999999999998,24.13799999999999,23.273779122707833
fr-es-de-ru-en__15__tf-idf-weighted__agglomerative__dummy.json,56.095,83.12100000000001,47.641999999999996,10.841000000000001,22.919999999999995,11.255999999999998,19.1910074528349
fr-es-de-ru-en__15__tf-idf-weighted__kmeans__dummy.json,40.051,38.845,52.173,18.726,17.784999999999997,24.418000000000003,23.835663018445292
fr-es-de-ru-en__20__tf-idf-weighted__agglomerative__dummy.json,56.995,86.528,46.739,9.265999999999998,22.341999999999995,8.892999999999999,17.632664579363826
fr-es-de-ru-en__20__tf-idf-weighted__kmeans__dummy.json,42.78099999999999,42.431999999999995,52.407,17.986,17.266,22.546,24.185796402216187
fr-es-de-ru-en__25__tf-idf-weighted__agglomerative__dummy.json,57.48400000000001,87.53300000000002,46.974,8.865999999999998,21.973,8.431,17.315077202529224
fr-es-de-ru-en__25__tf-idf-weighted__kmeans__dummy.json,42.498999999999995,43.427,51.20399999999999,17.718000000000004,17.692,21.909000000000002,23.96117412305608
