,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
en__5__tf__agglomerative__dummy.json,51.816,71.888,47.93000000000001,12.892000000000001,21.405,14.484000000000002,20.71919460303638
en__5__tf__kmeans__dummy.json,38.580999999999996,37.312,50.36000000000001,16.968999999999998,15.525,22.761999999999993,22.24806385308406
en__5__tf-idf__agglomerative__dummy.json,40.870000000000005,47.004,49.57499999999999,18.343000000000004,20.059,25.958,23.180972008498784
en__5__tf-idf__kmeans__dummy.json,24.63,17.189,51.606,20.541,15.911,32.248999999999995,21.186159741775818
en__5__tf-weighted__agglomerative__dummy.json,48.49099999999999,64.675,49.121,14.836000000000002,22.006000000000004,18.861,22.24131292830119
en__5__tf-weighted__kmeans__dummy.json,38.775,36.476000000000006,52.37399999999999,17.936,16.179000000000002,23.866,23.702825556776105
en__5__tf-idf-weighted__agglomerative__dummy.json,43.593,51.53000000000001,49.506,18.537,21.765999999999995,24.116000000000003,24.388285142266067
en__5__tf-idf-weighted__kmeans__dummy.json,27.24,20.043,53.145,21.535999999999998,17.135999999999996,32.605,23.002680311185713
en__5__tf__agglomerative__pos_excl.json,47.959999999999994,63.83,48.07699999999999,13.822000000000001,19.432000000000002,17.353,20.90436300823452
en__5__tf__kmeans__pos_excl.json,36.510999999999996,34.894,50.528999999999996,15.862,14.412,21.785000000000004,20.97709662714331
en__5__tf-idf__agglomerative__pos_excl.json,38.068,41.43900000000001,50.49100000000001,19.311,19.069999999999997,27.720000000000006,23.724909701279817
en__5__tf-idf__kmeans__pos_excl.json,24.47200000000001,18.122999999999998,51.935,19.732000000000003,15.627,31.186,20.520378808785434
en__5__tf-weighted__agglomerative__pos_excl.json,44.489000000000004,54.05300000000001,48.656000000000006,15.967000000000002,19.083000000000002,19.936,22.719890192337154
en__5__tf-weighted__kmeans__pos_excl.json,33.428999999999995,29.026999999999994,50.563,17.671999999999997,14.952,25.067999999999998,21.548258232914396
en__5__tf-idf-weighted__agglomerative__pos_excl.json,38.187999999999995,39.925000000000004,50.081,19.634,18.676,28.423000000000012,23.857848303722403
en__5__tf-idf-weighted__kmeans__pos_excl.json,25.462999999999997,18.445,52.477999999999994,20.717999999999996,16.184000000000005,32.411,21.617010277657467
