,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
fr-es__20__tf-idf-weighted__kmeans__dummy.json,37.43600000000001,35.525999999999996,49.735,15.052999999999999,13.253999999999998,20.646000000000004,19.530757216836843
fr-de__20__tf-idf-weighted__kmeans__dummy.json,37.86900000000001,37.327999999999996,48.79600000000001,14.308000000000002,13.051000000000002,20.252999999999997,19.259493280631983
fr-ru__20__tf-idf-weighted__kmeans__dummy.json,38.933,37.967,49.39,14.598999999999998,13.585,19.03,20.28678990693042
fr-en__20__tf-idf-weighted__kmeans__dummy.json,41.88,41.84000000000001,51.84900000000002,18.347,18.147000000000002,22.531999999999996,24.498780328335855
es-de__20__tf-idf-weighted__kmeans__dummy.json,36.04900000000001,34.318,49.903999999999996,15.526000000000003,13.828,22.057,19.904508024979883
es-ru__20__tf-idf-weighted__kmeans__dummy.json,38.675,37.795,49.754000000000005,15.206000000000001,14.128999999999998,19.726,20.280522490113594
es-en__20__tf-idf-weighted__kmeans__dummy.json,42.872,42.256,52.58100000000001,18.858,18.244,23.34,25.006488972086622
de-ru__20__tf-idf-weighted__kmeans__dummy.json,40.281,39.742999999999995,49.271,14.621999999999998,13.71,19.349,20.387179693662027
de-en__20__tf-idf-weighted__kmeans__dummy.json,41.586000000000006,42.797000000000004,51.068999999999996,17.188,17.17,21.654,23.387531838717162
ru-en__20__tf-idf-weighted__kmeans__dummy.json,43.17700000000001,43.641999999999996,51.222,17.913,17.921999999999997,21.706000000000003,24.531642270634684
fr-es-de__20__tf-idf-weighted__kmeans__dummy.json,39.328,39.358000000000004,48.702999999999996,14.367000000000003,14.173000000000002,18.028,20.105686035758485
fr-es-ru__20__tf-idf-weighted__kmeans__dummy.json,39.894,39.51499999999999,49.906000000000006,15.716,14.798,20.379,21.335614404411423
fr-es-en__20__tf-idf-weighted__kmeans__dummy.json,42.293,42.41700000000001,51.83699999999999,18.587,18.497,22.744000000000007,24.313052620176286
fr-de-ru__20__tf-idf-weighted__kmeans__dummy.json,38.742000000000004,37.518,50.156000000000006,16.695,15.179,22.868,21.471108771890595
fr-de-en__20__tf-idf-weighted__kmeans__dummy.json,43.803999999999995,44.99199999999999,51.099,17.19,17.479,20.802000000000003,24.114311037821317
fr-ru-en__20__tf-idf-weighted__kmeans__dummy.json,41.928000000000004,43.187,50.80899999999999,17.163999999999998,17.29,22.159999999999997,23.373565578612915
es-de-ru__20__tf-idf-weighted__kmeans__dummy.json,37.595,36.088,49.98500000000001,15.466999999999999,14.088999999999999,20.939999999999994,20.56375024933212
es-de-en__20__tf-idf-weighted__kmeans__dummy.json,42.80299999999999,43.45799999999999,51.55699999999999,17.6,17.473,22.206999999999997,23.936081271405964
es-ru-en__20__tf-idf-weighted__kmeans__dummy.json,41.993,42.40100000000001,51.28300000000001,17.409,17.138,21.537,23.77746963450762
de-ru-en__20__tf-idf-weighted__kmeans__dummy.json,41.043,41.788000000000004,50.799,17.416,17.237999999999996,22.842,23.528926202280132
fr-es-de-ru__20__tf-idf-weighted__kmeans__dummy.json,37.952000000000005,36.034,50.21799999999999,16.627,15.129999999999997,21.855999999999995,21.45230937312062
fr-es-de-en__20__tf-idf-weighted__kmeans__dummy.json,40.468,40.032999999999994,50.812,17.175,16.173,22.274,22.559326809380597
fr-es-ru-en__20__tf-idf-weighted__kmeans__dummy.json,42.054000000000016,42.032,51.982000000000006,18.893,18.616,23.258000000000003,25.07676819007104
fr-de-ru-en__20__tf-idf-weighted__kmeans__dummy.json,42.06100000000001,42.566,50.99999999999999,16.523999999999997,16.266999999999996,20.875999999999998,22.57646497992456
es-de-ru-en__20__tf-idf-weighted__kmeans__dummy.json,42.11299999999999,42.099,52.468,18.418000000000003,17.93,23.948,24.40717285453163
