,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
fr-es__10__tf-idf-weighted__dummy.json,51.507,71.577,47.332,11.016000000000002,18.083,13.613,17.26804422483693
fr-de__10__tf-idf-weighted__dummy.json,52.20200000000002,74.862,47.065,11.524000000000003,20.73,13.443,18.138585134846185
fr-ru__10__tf-idf-weighted__dummy.json,55.351000000000006,82.198,46.92700000000001,10.113000000000001,20.426,10.521000000000004,17.944014308727407
es-de__10__tf-idf-weighted__dummy.json,51.625,74.29299999999999,46.455,10.222999999999999,18.599999999999998,12.513,16.76967593585451
es-ru__10__tf-idf-weighted__dummy.json,52.621,72.931,48.464,11.474999999999998,19.177,13.796999999999999,18.63939728117747
de-ru__10__tf-idf-weighted__dummy.json,54.70700000000001,80.664,47.047999999999995,10.497,21.883999999999997,11.369999999999997,18.06677773954236
fr-es-de__10__tf-idf-weighted__dummy.json,52.71100000000001,76.58,47.622,11.713999999999999,21.023000000000003,14.049000000000001,18.18761616502578
fr-es-ru__10__tf-idf-weighted__dummy.json,53.410999999999994,78.104,47.317,10.354999999999997,19.736,12.041999999999998,17.756812087878373
fr-de-ru__10__tf-idf-weighted__dummy.json,53.699,78.667,47.106,11.431000000000001,21.932000000000002,13.137,18.845772018631074
es-de-ru__10__tf-idf-weighted__dummy.json,55.586999999999996,81.77199999999999,47.488,10.435,21.046999999999997,11.213,18.284114277276238
fr-es-de-ru__10__tf-idf-weighted__dummy.json,55.946000000000005,83.793,47.292,9.208,19.488999999999997,9.908999999999999,16.980817901416955
