,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,26.3,17.4,54.50000000000001,7.1,5.1,11.600000000000001,13.66491858739012
address.n,53.900000000000006,60.3,48.8,26.700000000000003,34.8,21.6,37.93586693354984
camp.n,59.699999999999996,86.3,45.6,20.7,36.0,14.499999999999998,35.153804914973286
innovation.n,25.6,15.6,71.7,28.499999999999996,18.7,59.599999999999994,27.01110882581461
mind.n,36.4,58.3,26.400000000000002,8.3,13.900000000000002,6.0,17.381599466102077
park.n,25.6,19.1,38.6,29.799999999999997,24.9,37.1,27.62028240261131
reputation.n,30.3,26.1,36.1,6.0,5.3,6.800000000000001,13.48332303254654
gap.n,45.7,40.0,53.2,23.7,22.400000000000002,25.1,32.91033272393338
challenge.n,49.5,50.0,48.9,2.1,2.6,1.7000000000000002,10.195587280779858
failure.n,26.400000000000002,21.7,33.800000000000004,25.900000000000002,22.7,30.099999999999998,26.148804944012262
air.n,41.3,57.099999999999994,32.300000000000004,11.3,17.299999999999997,8.4,21.603009049667133
moment.n,36.1,27.200000000000003,53.800000000000004,1.9,1.4000000000000001,2.9000000000000004,8.28190799272728
tour.n,15.8,10.8,29.599999999999998,24.6,19.7,32.800000000000004,19.714968932260586
movement.n,51.7,60.699999999999996,45.1,6.0,8.0,4.8,17.612495564229395
body.n,42.199999999999996,55.00000000000001,34.2,2.6,3.6999999999999997,2.0,10.474731500138798
guarantee.n,23.799999999999997,16.5,42.6,29.799999999999997,23.400000000000002,40.9,26.63156022466577
class.n,23.5,16.7,40.0,23.400000000000002,19.900000000000002,28.499999999999996,23.449946695035365
road.n,44.800000000000004,50.4,40.300000000000004,5.800000000000001,7.7,4.7,16.119553343687908
speed.n,61.3,63.4,59.4,15.7,17.599999999999998,14.099999999999998,31.022733599732955
foundation.n,50.5,49.0,52.0,6.7,7.3999999999999995,6.1,18.394292593084412
idea.n,38.5,50.6,31.1,2.5,3.5000000000000004,1.9,9.810708435174291
entry.n,22.6,15.8,39.6,19.7,15.1,28.199999999999996,21.100236965494013
flight.n,42.0,53.0,34.699999999999996,8.9,12.4,7.000000000000001,19.33390803743516
origin.n,54.0,51.6,56.599999999999994,30.0,29.4,30.599999999999998,40.24922359499622
note.n,35.8,39.900000000000006,32.4,25.3,28.4,22.7,30.095514615968938
rally.n,29.299999999999997,19.7,57.099999999999994,13.600000000000001,9.5,23.7,19.961963831246663
gas.n,66.5,62.5,70.89999999999999,29.5,30.7,28.299999999999997,44.291647068042074
chip.n,21.4,13.8,47.8,11.1,8.1,17.9,15.412332724153082
mark.n,34.4,25.7,51.9,21.0,17.5,26.1,26.877499883731744
margin.n,32.1,43.3,25.5,19.6,24.8,16.2,25.083062014036486
function.n,22.900000000000002,17.1,34.699999999999996,22.900000000000002,19.6,27.400000000000002,22.900000000000002
legislation.n,49.5,49.6,49.4,1.0,1.0,1.0,7.035623639735144
screen.n,20.1,15.1,30.0,29.7,24.9,36.9,24.43296952889681
commission.n,51.1,52.800000000000004,49.5,9.6,11.3,8.4,22.148589119851405
display.n,48.699999999999996,78.5,35.3,12.9,23.400000000000002,8.9,25.06451675177481
office.n,44.5,54.300000000000004,37.6,3.1,4.2,2.4,11.74521179034248
dealer.n,24.4,15.8,54.0,18.4,13.4,29.4,21.188676221038442
community.n,29.9,27.6,32.6,6.6000000000000005,6.3,6.800000000000001,14.047775624631823
house.n,58.3,56.49999999999999,60.099999999999994,6.800000000000001,8.200000000000001,5.800000000000001,19.91080108885627
shape.n,37.8,31.5,47.199999999999996,41.5,36.199999999999996,48.8,39.60681759495453
access.n,37.7,41.3,34.699999999999996,12.1,13.200000000000001,11.1,21.35813662284236
field.n,56.89999999999999,68.60000000000001,48.6,26.0,37.6,19.900000000000002,38.462969204157915
edge.n,28.9,21.7,43.4,51.0,44.1,60.3,38.39140528816313
cell.n,72.1,74.3,70.0,38.4,49.9,31.3,52.617867687697114
officer.n,67.9,76.1,61.3,49.4,60.4,41.8,57.91597361695649
market.n,48.6,50.7,46.7,1.4000000000000001,1.7000000000000002,1.2,8.248636250920512
promotion.n,37.2,28.9,52.2,32.800000000000004,28.299999999999997,39.2,34.930788711393284
accounting.n,38.0,27.500000000000004,61.6,35.5,28.599999999999998,46.9,36.72873534441391
television.n,46.9,51.1,43.2,2.4,2.8000000000000003,2.1,10.609429767899874
