,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,28.999999999999996,20.3,50.7,9.3,6.9,14.099999999999998,16.42254547870092
address.n,25.8,16.8,55.7,28.199999999999996,22.0,39.6,26.973320151586826
camp.n,68.10000000000001,85.9,56.39999999999999,36.3,50.9,28.299999999999997,49.7195132719539
innovation.n,24.7,15.2,65.60000000000001,23.1,15.2,47.599999999999994,23.886607126170098
mind.n,32.4,50.1,23.9,3.1,5.1,2.1999999999999997,10.02197585309404
park.n,26.900000000000002,19.5,43.3,31.900000000000002,25.900000000000002,41.6,29.293514640616277
reputation.n,39.2,46.300000000000004,34.1,1.6,2.0,1.4000000000000001,7.919595949289333
gap.n,51.7,56.3,47.8,8.200000000000001,10.0,6.9,20.589803301634525
challenge.n,49.1,49.0,49.2,4.2,5.2,3.5999999999999996,14.360362112425996
failure.n,21.0,14.799999999999999,35.8,21.0,17.599999999999998,26.1,21.0
air.n,42.9,58.9,33.800000000000004,10.8,16.3,8.0,21.524869337582516
moment.n,37.1,27.500000000000004,56.8,4.2,3.1,6.4,12.482788150088906
tour.n,24.9,22.3,28.199999999999996,16.1,14.799999999999999,17.7,20.022237637187306
movement.n,35.8,29.299999999999997,46.0,13.4,11.200000000000001,16.5,21.902511271541442
body.n,41.9,54.50000000000001,34.1,1.5,2.1,1.0999999999999999,7.927799190191436
guarantee.n,39.900000000000006,50.8,32.9,4.7,6.4,3.6999999999999997,13.694159338929865
class.n,24.4,18.0,38.0,26.400000000000002,22.7,31.5,25.38030732674449
road.n,48.0,53.7,43.4,8.6,11.3,6.9,20.31748015872047
speed.n,26.6,16.7,64.7,25.6,17.8,45.4,26.095210288480146
foundation.n,32.1,22.0,59.5,18.099999999999998,13.8,26.3,24.10414902044874
idea.n,38.7,50.4,31.4,2.4,3.4000000000000004,1.7999999999999998,9.637427042525406
entry.n,20.200000000000003,13.0,45.2,22.1,16.6,33.1,21.128653530218156
flight.n,42.4,56.39999999999999,34.0,8.7,12.7,6.7,19.206248983078396
origin.n,44.4,33.0,68.2,47.199999999999996,38.800000000000004,60.199999999999996,45.77859761941163
note.n,44.0,39.2,50.1,24.4,24.6,24.3,32.76583586603583
rally.n,32.6,22.7,57.8,11.0,7.9,18.099999999999998,18.936736783300336
gas.n,61.4,57.699999999999996,65.60000000000001,26.6,27.800000000000004,25.6,40.41336412623923
chip.n,20.7,12.9,52.0,15.7,11.200000000000001,26.5,18.027479025088336
mark.n,21.5,13.200000000000001,57.699999999999996,23.0,16.8,36.199999999999996,22.237355957937087
margin.n,33.0,24.8,49.0,44.5,38.0,53.7,38.32101251271944
function.n,52.7,92.5,36.9,15.5,40.2,9.6,28.580587817607952
legislation.n,49.0,49.1,48.9,0.3,0.3,0.3,3.8340579025361627
screen.n,16.2,11.799999999999999,25.900000000000002,29.9,24.5,38.5,22.00863466914747
commission.n,47.699999999999996,49.9,45.6,2.1,2.5,1.7999999999999998,10.008496390567366
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,43.4,52.400000000000006,37.0,1.7999999999999998,2.5,1.4000000000000001,8.83855191759374
dealer.n,23.599999999999998,15.4,51.2,16.900000000000002,12.3,26.900000000000002,19.97097894445838
community.n,38.3,50.6,30.9,1.2,1.7000000000000002,0.8999999999999999,6.779380502671317
house.n,51.9,50.0,54.1,2.3,2.7,1.9,10.925657874929088
shape.n,31.5,24.2,45.300000000000004,34.300000000000004,29.4,41.099999999999994,32.87019926924691
access.n,36.199999999999996,36.4,35.9,17.8,17.8,17.9,25.384247083575275
field.n,40.2,32.0,54.1,25.0,22.900000000000002,27.500000000000004,31.70173496829472
edge.n,19.6,15.1,28.1,39.300000000000004,34.2,46.300000000000004,27.753918642238613
cell.n,63.800000000000004,64.2,63.4,31.1,39.4,25.6,44.54413541646083
officer.n,67.9,76.1,61.3,49.4,60.4,41.8,57.91597361695649
market.n,49.2,52.6,46.2,2.3,2.7,2.0,10.637668917577761
promotion.n,56.8,65.3,50.3,30.3,34.699999999999996,26.900000000000002,41.48541912527822
accounting.n,26.6,19.2,43.5,20.4,16.7,26.200000000000003,23.294634575369496
television.n,47.599999999999994,52.0,43.8,3.4000000000000004,4.0,2.9000000000000004,12.7216351150314
campaign.n,47.4,56.10000000000001,41.0,4.8,6.2,3.9,15.083766107971842
cheat.v,46.2,33.300000000000004,75.0,17.9,13.0,29.099999999999998,28.757259952923192
assemble.v,47.699999999999996,47.3,48.1,0.0,0.0,0.0,0.0
root.v,42.6,46.0,39.7,16.3,20.5,13.600000000000001,26.35109105900551
reveal.v,50.3,51.1,49.5,4.0,4.2,3.9,14.184498581197715
haunt.v,23.799999999999997,14.299999999999999,71.39999999999999,41.3,27.0,87.4,31.351873947182167
operate.v,47.8,39.5,60.5,6.4,5.2,8.5,17.49056888726036
frame.v,40.0,72.3,27.6,14.899999999999999,28.999999999999996,10.100000000000001,24.413111231467404
assert.v,35.699999999999996,33.5,38.2,8.6,7.9,9.4,17.52198618878579
introduce.v,63.1,57.199999999999996,70.3,17.8,16.900000000000002,18.8,33.513877722519666
swear.v,39.2,66.8,27.800000000000004,9.3,17.599999999999998,6.3,19.0934543757802
bow.v,27.700000000000003,20.3,43.8,50.2,41.3,63.9,37.28994502543548
figure.v,55.50000000000001,72.6,45.0,23.400000000000002,33.900000000000006,17.8,36.03748048906861
analyze.v,62.0,48.3,86.7,10.100000000000001,6.9,19.1,25.023988491045948
expose.v,56.2,63.1,50.7,3.8,4.2,3.5000000000000004,14.613692209705253
conclude.v,52.6,68.8,42.5,20.8,29.2,16.2,33.07688014308484
appeal.v,46.1,62.6,36.5,13.4,18.7,10.4,24.85437587226845
owe.v,44.5,59.9,35.5,18.8,25.4,15.0,28.924038445555972
mount.v,32.5,48.6,24.5,24.099999999999998,31.1,19.7,27.986603938313056
regain.v,22.2,13.0,77.8,29.799999999999997,18.099999999999998,82.89999999999999,25.72080869646209
relax.v,30.5,19.8,66.5,30.9,22.6,48.9,30.69934852728963
cultivate.v,48.3,50.7,46.1,9.8,12.4,8.200000000000001,21.756378375088076
violate.v,23.7,13.5,95.0,3.1,1.6,27.3,8.57146428563988
commit.v,54.50000000000001,52.400000000000006,56.8,17.0,18.0,16.1,30.43846251044885
pour.v,45.1,47.8,42.699999999999996,28.799999999999997,30.3,27.400000000000002,36.03997780243489
deny.v,57.8,50.0,68.4,3.2,2.9000000000000004,3.6999999999999997,13.6
lay.v,38.5,31.900000000000002,48.699999999999996,29.599999999999998,26.1,34.300000000000004,33.757962023795216
shave.v,64.9,64.9,64.9,1.6,1.6,1.6,10.190191362285598
weigh.v,36.3,27.3,54.300000000000004,45.4,40.0,52.400000000000006,40.595812591941055
apply.v,39.6,59.4,29.7,5.2,8.1,3.9,14.349912891721678
level.v,38.5,35.6,42.0,37.7,35.099999999999994,40.8,38.09790020460445
presume.v,42.5,29.299999999999997,77.10000000000001,18.8,12.6,36.6,28.26658805020514
wait.v,67.2,51.2,97.5,1.2,0.6,5.800000000000001,8.97997772825746
stick.v,40.8,52.1,33.5,9.700000000000001,12.1,8.1,19.893717601293126
separate.v,62.7,48.199999999999996,89.60000000000001,17.599999999999998,12.7,28.7,33.219271515191295
reap.v,61.6,47.099999999999994,89.1,10.100000000000001,6.7,20.7,24.94313532818198
signal.v,23.599999999999998,14.899999999999999,57.3,16.7,11.200000000000001,32.800000000000004,19.852455767486298
swim.v,21.0,11.899999999999999,87.5,5.5,2.9000000000000004,37.3,10.747092630102339
slow.v,64.8,51.7,86.9,0.4,0.3,0.7000000000000001,5.091168824543142
question.v,53.800000000000004,56.8,51.0,4.3,4.3999999999999995,4.1000000000000005,15.209865219652672
