,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,51.5,51.800000000000004,51.1,2.1999999999999997,2.5,2.0,10.644247272588137
address.n,22.5,14.899999999999999,45.9,29.599999999999998,23.0,41.8,25.80697580112788
camp.n,52.1,63.9,44.0,10.7,14.6,8.5,23.61080261236369
innovation.n,18.6,11.200000000000001,53.400000000000006,16.0,10.5,33.5,17.25108692227826
mind.n,33.2,51.800000000000004,24.5,2.9000000000000004,4.7,2.1,9.812237257628864
park.n,45.300000000000004,49.6,41.699999999999996,35.6,39.5,32.4,40.15818721008208
reputation.n,23.3,16.400000000000002,40.0,30.0,23.0,43.4,26.43860813280457
gap.n,46.2,49.0,43.6,9.1,11.0,7.8,20.504145922227533
challenge.n,52.400000000000006,54.800000000000004,50.3,2.3,3.0,1.9,10.978160137290766
failure.n,19.1,13.3,33.7,21.099999999999998,17.5,26.400000000000002,20.075108966080357
air.n,38.4,52.900000000000006,30.2,4.5,6.9,3.4000000000000004,13.145341380123986
moment.n,52.0,50.3,53.800000000000004,1.6,1.6,1.6,9.121403400793104
tour.n,18.2,12.2,36.0,33.0,26.0,45.2,24.507141816213494
movement.n,30.5,22.400000000000002,47.5,15.1,12.0,20.4,21.460428700284623
body.n,39.6,49.4,33.0,0.7000000000000001,0.8999999999999999,0.5,5.264978632435273
guarantee.n,27.200000000000003,19.6,44.4,26.5,21.099999999999998,35.699999999999996,26.847718711279736
class.n,34.599999999999994,36.1,33.2,16.400000000000002,18.4,14.799999999999999,23.820999139414784
road.n,46.400000000000006,52.400000000000006,41.6,3.8,5.0,3.0,13.278554138158267
speed.n,22.0,13.900000000000002,52.2,18.6,12.9,33.1,20.228692493584454
foundation.n,60.0,58.599999999999994,61.6,14.000000000000002,15.5,12.7,28.98275349237888
idea.n,38.3,49.9,31.1,1.7000000000000002,2.4,1.3,8.069076774947677
entry.n,31.0,25.1,40.5,21.8,18.6,26.200000000000003,25.996153561632923
flight.n,18.9,13.200000000000001,33.7,11.799999999999999,9.4,15.9,14.933854157584369
origin.n,61.1,48.4,83.0,57.4,46.300000000000004,75.3,59.221111100687736
note.n,43.1,48.6,38.7,26.8,32.7,22.7,33.98646789532564
rally.n,23.799999999999997,15.6,50.6,9.700000000000001,6.6000000000000005,18.2,15.194077793666846
gas.n,23.200000000000003,14.499999999999998,57.9,12.3,8.5,22.5,16.892601931022945
chip.n,24.3,15.9,52.0,12.7,9.2,20.3,17.56729916634882
mark.n,20.5,13.0,49.0,19.0,14.099999999999998,29.099999999999998,19.73575435599055
margin.n,29.599999999999998,26.0,34.300000000000004,31.5,28.7,34.8,30.535225559998732
function.n,24.9,19.6,34.2,26.0,22.3,31.2,25.444056280396804
legislation.n,50.5,52.1,48.9,0.4,0.4,0.4,4.494441010848846
screen.n,22.2,18.5,27.800000000000004,19.3,17.5,21.4,20.699275349634828
commission.n,47.3,49.0,45.7,2.7,3.1,2.3,11.300884921102417
display.n,24.099999999999998,19.0,32.9,21.2,18.099999999999998,25.5,22.603539545832195
office.n,31.0,26.200000000000003,38.0,4.3999999999999995,4.0,4.8,11.679041056525145
dealer.n,25.4,16.5,55.7,19.400000000000002,14.2,30.4,22.198198125073127
community.n,38.4,50.3,31.0,0.7000000000000001,0.8999999999999999,0.5,5.184592558726289
house.n,52.800000000000004,50.4,55.50000000000001,1.3,1.5,1.0999999999999999,8.284926070883193
shape.n,35.3,41.9,30.5,12.4,14.7,10.7,20.921759008266967
access.n,30.3,26.6,35.199999999999996,19.400000000000002,16.6,23.3,24.244999484429776
field.n,41.699999999999996,50.2,35.6,5.3,7.7,4.1000000000000005,14.866405079910878
edge.n,22.6,18.9,28.199999999999996,33.800000000000004,30.9,37.4,27.63837911311009
cell.n,34.5,24.099999999999998,60.699999999999996,26.700000000000003,21.5,35.099999999999994,30.350453044394577
officer.n,62.1,70.5,55.60000000000001,42.9,53.0,36.1,51.614823452182804
market.n,48.5,50.7,46.400000000000006,1.5,1.7999999999999998,1.3,8.52936105461599
promotion.n,21.4,14.000000000000002,44.7,38.1,29.4,54.300000000000004,28.554159066587832
accounting.n,25.900000000000002,17.1,53.2,37.8,28.4,56.49999999999999,31.289295294077814
television.n,45.5,49.9,41.9,0.3,0.4,0.3,3.6945906403822333
campaign.n,44.2,50.1,39.5,1.2,1.5,1.0,7.28285658241325
cheat.v,36.9,23.5,86.4,34.300000000000004,22.2,75.3,35.57625612680457
assemble.v,47.699999999999996,47.3,48.1,0.0,0.0,0.0,0.0
root.v,28.000000000000004,20.599999999999998,43.3,32.2,27.200000000000003,39.4,30.026654825338106
reveal.v,48.4,49.2,47.599999999999994,1.5,1.6,1.4000000000000001,8.520563361656317
haunt.v,21.4,12.9,64.3,34.300000000000004,22.7,70.1,27.09280347250908
operate.v,56.39999999999999,54.1,58.8,8.4,8.1,8.7,21.766028576660464
frame.v,40.5,68.10000000000001,28.799999999999997,11.799999999999999,20.3,8.3,21.860924042684015
assert.v,46.5,41.0,53.7,27.0,24.2,30.5,35.43303543305315
introduce.v,60.199999999999996,54.50000000000001,67.30000000000001,11.799999999999999,11.200000000000001,12.4,26.65257961248779
swear.v,21.7,15.1,38.6,37.7,31.1,47.699999999999996,28.602272636977645
bow.v,19.6,13.0,39.1,46.2,37.3,60.8,30.09185936428655
figure.v,46.800000000000004,55.7,40.300000000000004,11.0,14.499999999999998,8.799999999999999,22.689204481426845
analyze.v,40.5,26.400000000000002,86.9,11.1,6.6000000000000005,34.5,21.202594180901542
expose.v,31.7,22.5,53.400000000000006,6.4,4.5,10.7,14.243595051811884
conclude.v,45.9,59.9,37.2,12.3,17.1,9.6,23.760681808399355
appeal.v,37.5,48.199999999999996,30.7,2.1999999999999997,2.9000000000000004,1.7000000000000002,9.082951062292475
owe.v,43.0,59.199999999999996,33.7,15.9,21.9,12.4,26.147657638878478
mount.v,28.199999999999996,41.4,21.3,22.8,29.5,18.5,25.356655930938526
regain.v,62.4,59.3,66.0,9.5,8.799999999999999,10.299999999999999,24.34748446965312
relax.v,50.9,55.800000000000004,46.800000000000004,6.5,7.8,5.6000000000000005,18.18928255869373
cultivate.v,47.099999999999994,52.2,42.9,13.200000000000001,17.599999999999998,10.5,24.93431370621618
violate.v,22.5,12.8,93.7,2.6,1.4000000000000001,23.599999999999998,7.648529270389178
commit.v,53.300000000000004,51.2,55.50000000000001,12.1,12.7,11.4,25.395472037353432
pour.v,50.3,68.10000000000001,39.900000000000006,26.900000000000002,37.8,20.9,36.784099825875856
deny.v,32.7,21.3,70.5,5.2,3.5000000000000004,10.6,13.039938650162432
lay.v,42.9,45.4,40.699999999999996,16.1,17.7,14.799999999999999,26.28098171682329
shave.v,27.800000000000004,16.6,85.0,30.4,19.400000000000002,70.39999999999999,29.0709476969706
weigh.v,30.9,22.5,49.1,46.5,39.800000000000004,55.900000000000006,37.905804304881855
apply.v,36.8,53.7,28.000000000000004,2.0,3.1,1.5,8.579044235810887
level.v,37.0,28.799999999999997,51.5,45.7,39.2,54.7,41.12055447096987
presume.v,41.9,29.299999999999997,73.0,15.9,10.7,30.5,25.811044147806186
wait.v,66.10000000000001,50.1,97.1,0.0,0.0,0.2,0.0
stick.v,40.9,55.400000000000006,32.4,5.800000000000001,8.200000000000001,4.5,15.40194792875239
separate.v,21.4,12.3,82.1,13.8,8.3,41.699999999999996,17.184877072589142
reap.v,67.0,50.4,100.0,41.8,26.400000000000002,100.0,52.920695384698035
signal.v,20.599999999999998,12.8,52.1,12.5,8.4,24.2,16.046806535881213
swim.v,18.9,10.5,94.89999999999999,7.8,4.2,55.7,12.141663806908836
slow.v,49.6,34.699999999999996,87.0,5.7,3.5000000000000004,14.6,16.81427964558696
question.v,53.0,55.50000000000001,50.6,3.3000000000000003,3.4000000000000004,3.2,13.224976370489287
happen.v,65.4,53.800000000000004,83.3,0.5,0.4,0.8,5.718391382198319
