,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,51.0,51.6,50.5,1.0999999999999999,1.2,1.0,7.4899933244296015
address.n,22.8,15.299999999999999,44.9,29.599999999999998,23.0,41.5,25.978452609807228
camp.n,44.9,52.7,39.1,6.4,8.4,5.2,16.951696080333672
innovation.n,18.5,10.9,61.199999999999996,19.1,12.4,40.8,18.797606230581597
mind.n,33.5,49.9,25.2,8.3,11.3,6.5,16.67483133347981
park.n,23.200000000000003,17.0,36.6,25.6,21.0,32.7,24.37047393876451
reputation.n,19.400000000000002,13.4,34.599999999999994,20.0,15.6,27.900000000000002,19.69771560359221
gap.n,37.1,30.3,47.8,13.8,12.1,16.1,22.62697505191536
challenge.n,49.8,49.6,49.9,5.5,6.800000000000001,4.6,16.549924471126747
failure.n,22.2,16.5,33.7,21.2,18.099999999999998,25.6,21.694238866574693
air.n,42.4,58.199999999999996,33.300000000000004,9.4,14.2,7.000000000000001,19.96396754154845
moment.n,39.1,30.5,54.300000000000004,0.8,0.6,1.2,5.592852581643825
tour.n,20.3,14.2,35.6,24.8,20.3,31.900000000000002,22.437468662930765
movement.n,36.199999999999996,28.799999999999997,48.699999999999996,9.5,8.0,11.600000000000001,18.544540975715737
body.n,40.6,50.6,33.800000000000004,1.7000000000000002,2.3,1.3,8.307827634225449
guarantee.n,45.9,64.60000000000001,35.6,17.1,25.3,12.9,28.015888349292084
class.n,24.4,18.7,35.099999999999994,22.5,19.8,25.900000000000002,23.430749027719962
road.n,43.9,49.4,39.6,2.1,2.7,1.7000000000000002,9.601562372864116
speed.n,50.8,52.5,49.2,3.5999999999999996,4.1000000000000005,3.3000000000000003,13.523313203501573
foundation.n,54.400000000000006,53.400000000000006,55.400000000000006,5.4,6.0,4.8,17.13942822850284
idea.n,39.2,51.2,31.8,2.3,3.3000000000000003,1.7999999999999998,9.495261976375375
entry.n,20.4,13.5,41.199999999999996,23.9,18.099999999999998,35.099999999999994,22.08076085645601
flight.n,39.900000000000006,50.2,33.1,2.8000000000000003,3.9,2.1999999999999997,10.56976820937905
origin.n,41.099999999999994,48.4,35.8,6.5,8.1,5.4,16.344723919356973
note.n,23.5,16.6,39.7,25.0,21.0,31.0,24.238399287081645
rally.n,24.5,16.0,52.300000000000004,10.0,6.9,18.3,15.652475842498529
gas.n,53.800000000000004,51.0,57.099999999999994,5.6000000000000005,5.8999999999999995,5.3,17.357419162997708
chip.n,21.0,13.600000000000001,46.800000000000004,9.6,6.9,15.7,14.198591479439079
mark.n,40.699999999999996,33.6,51.6,14.399999999999999,13.700000000000001,15.2,24.209089202198417
margin.n,28.7,22.400000000000002,40.0,32.6,28.4,38.0,30.587906106825947
function.n,23.799999999999997,16.1,45.7,34.0,27.200000000000003,45.4,28.446440902158567
legislation.n,48.8,48.699999999999996,48.9,0.3,0.3,0.3,3.826225293941798
screen.n,29.599999999999998,31.900000000000002,27.500000000000004,11.1,12.5,10.0,18.126224096595518
commission.n,33.900000000000006,26.8,46.0,8.1,7.000000000000001,9.8,16.570757375569773
display.n,39.5,53.0,31.5,9.9,14.399999999999999,7.6,19.774984197212397
office.n,42.9,50.9,37.0,1.2,1.7000000000000002,1.0,7.174956445860839
dealer.n,52.800000000000004,58.199999999999996,48.3,9.2,11.200000000000001,7.8,22.03996370232946
community.n,39.0,53.1,30.8,2.7,3.9,2.1,10.261578825892242
house.n,54.1,53.2,55.1,2.0,2.4,1.7000000000000002,10.401922899156675
shape.n,36.8,29.2,49.7,34.8,30.599999999999998,40.300000000000004,35.78603079415206
access.n,34.699999999999996,35.8,33.6,10.5,11.1,9.9,19.087954316793613
field.n,25.7,18.9,40.1,12.1,10.299999999999999,14.6,17.634341496069535
edge.n,24.6,19.8,32.300000000000004,38.7,35.0,43.3,30.854821341242605
cell.n,24.5,16.900000000000002,44.7,22.3,17.299999999999997,31.2,23.3741309998896
officer.n,56.8,65.7,50.0,36.7,46.0,30.5,45.65698194142929
market.n,50.4,56.3,45.7,0.4,0.6,0.4,4.48998886412873
promotion.n,19.8,13.200000000000001,39.0,35.199999999999996,27.200000000000003,49.5,26.4
accounting.n,48.9,60.099999999999994,41.3,2.1999999999999997,3.0,1.7000000000000002,10.372077901751412
television.n,46.1,51.2,41.9,0.4,0.5,0.3,4.294182110716778
campaign.n,44.1,50.1,39.4,0.8,1.0,0.6,5.939696961966999
cheat.v,35.3,22.2,85.7,35.4,22.6,82.0,35.34996463930339
assemble.v,33.900000000000006,26.400000000000002,47.3,3.2,2.5,4.7,10.41537325303323
root.v,42.6,46.0,39.7,16.3,20.5,13.600000000000001,26.35109105900551
reveal.v,41.3,35.8,48.8,2.8000000000000003,2.4,3.3000000000000003,10.75360404701605
haunt.v,19.0,11.4,57.099999999999994,32.0,21.2,65.4,24.657656011875904
operate.v,52.900000000000006,50.9,55.00000000000001,2.8000000000000003,2.7,2.9000000000000004,12.170456030897117
frame.v,23.200000000000003,17.0,36.4,50.7,41.099999999999994,66.3,34.296355491509594
assert.v,36.7,36.8,36.6,3.8,3.8,3.9,11.809318354587617
introduce.v,58.3,52.6,65.4,11.1,10.5,11.700000000000001,25.438749969288978
swear.v,24.099999999999998,16.8,43.0,34.300000000000004,28.4,43.2,28.75117388907799
bow.v,15.7,10.100000000000001,35.0,42.9,34.4,57.099999999999994,25.9524565311263
figure.v,46.0,58.099999999999994,38.1,4.7,6.6000000000000005,3.6999999999999997,14.703741020570241
analyze.v,58.5,43.2,90.5,13.3,8.4,31.2,27.893547640986796
expose.v,51.5,53.7,49.4,1.9,1.9,1.7999999999999998,9.891915891272024
conclude.v,47.699999999999996,63.6,38.2,14.299999999999999,20.3,11.0,26.117235688334244
appeal.v,39.800000000000004,54.7,31.2,3.3000000000000003,4.7,2.5,11.460366486286555
owe.v,41.9,53.5,34.4,10.8,14.000000000000002,8.799999999999999,21.272517481483003
mount.v,30.4,47.099999999999994,22.400000000000002,21.4,28.1,17.299999999999997,25.506077707087776
regain.v,27.3,16.7,75.0,20.5,13.0,48.699999999999996,23.656922876824027
relax.v,31.7,25.5,41.699999999999996,6.4,5.5,7.8,14.243595051811884
cultivate.v,20.200000000000003,13.0,45.0,27.500000000000004,21.2,39.4,23.569047498785352
violate.v,24.2,13.900000000000002,94.39999999999999,2.8000000000000003,1.5,25.0,8.23164625090267
commit.v,53.800000000000004,51.4,56.39999999999999,13.100000000000001,13.700000000000001,12.4,26.54769293177846
pour.v,40.9,52.400000000000006,33.5,6.9,9.3,5.5,16.79910711912987
deny.v,24.7,15.0,69.5,3.3000000000000003,2.1,7.7,9.028288874421332
lay.v,43.8,61.5,34.1,9.8,15.1,7.199999999999999,20.718108021728238
shave.v,23.799999999999997,14.099999999999998,74.4,27.800000000000004,17.599999999999998,66.2,25.722363810505442
weigh.v,36.6,26.0,61.9,52.300000000000004,44.3,63.800000000000004,43.75134283653475
apply.v,36.4,52.2,27.900000000000002,1.2,1.7999999999999998,0.8999999999999999,6.609084656743322
level.v,49.7,78.0,36.5,22.8,38.4,16.2,33.662441979155346
presume.v,63.4,56.49999999999999,72.2,8.3,6.9,10.299999999999999,22.939485608879725
wait.v,66.3,50.3,97.2,0.2,0.1,0.8,3.641428291206625
stick.v,43.0,57.99999999999999,34.2,9.2,13.0,7.1,19.88969582472291
separate.v,70.8,60.4,85.39999999999999,9.9,8.4,12.2,26.47489376749225
reap.v,19.0,10.7,81.2,19.5,10.8,100.0,19.248376554920156
signal.v,17.9,11.1,47.099999999999994,7.9,5.3,15.4,11.891593669479294
swim.v,19.7,11.1,90.7,6.9,3.6999999999999997,47.9,11.658902178164118
slow.v,23.400000000000002,13.4,91.8,10.2,5.800000000000001,45.0,15.44927182750048
question.v,34.0,26.200000000000003,48.5,0.8,0.6,1.2,5.215361924162119
happen.v,64.8,53.7,81.8,2.4,1.7999999999999998,3.5999999999999996,12.470765814495916
insist.v,44.9,37.6,55.60000000000001,6.800000000000001,5.6000000000000005,8.799999999999999,17.473408368146153
observe.v,41.6,59.8,31.900000000000002,1.7999999999999998,2.7,1.3,8.653323061113573
lie.v,60.199999999999996,50.0,75.7,4.2,3.5000000000000004,5.3,15.900943368240766
deploy.v,21.3,13.5,50.0,42.3,30.7,67.80000000000001,30.01649546499391
accommodate.v,31.2,22.7,50.0,54.300000000000004,43.2,72.8,41.160174926741995
sniff.v,36.4,25.0,66.7,58.9,49.1,73.6,46.30291567493347
straighten.v,45.800000000000004,57.4,38.1,10.7,14.499999999999998,8.5,22.137298841547945
pursue.v,50.8,36.199999999999996,85.1,9.5,6.2,20.4,21.968158775828254
defend.v,44.6,37.4,55.400000000000006,3.8,3.1,5.0,13.018448448259877
divide.v,45.9,68.5,34.5,11.0,19.900000000000002,7.6,22.469979973288805
mean,37.86900000000001,37.327999999999996,48.79600000000001,14.308000000000002,13.051000000000002,20.252999999999997,19.259493280631983
