,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,50.8,52.300000000000004,49.3,5.0,5.6000000000000005,4.3999999999999995,15.937377450509228
address.n,46.2,53.400000000000006,40.699999999999996,21.099999999999998,28.299999999999997,16.900000000000002,31.222107552181676
camp.n,59.3,77.10000000000001,48.199999999999996,17.8,25.8,13.5,32.48907508686574
innovation.n,27.3,17.0,69.1,24.9,16.5,51.0,26.072399199153114
mind.n,22.7,20.200000000000003,25.8,13.200000000000001,12.7,13.900000000000002,17.310112651279887
park.n,24.0,16.7,43.1,31.900000000000002,25.4,42.6,27.66947776883402
reputation.n,39.2,46.300000000000004,34.1,2.0,2.5,1.7000000000000002,8.854377448471462
gap.n,32.2,21.3,65.4,30.9,23.400000000000002,45.6,31.543303568269447
challenge.n,49.7,49.6,49.8,3.3000000000000003,4.0,2.7,12.806638903318857
failure.n,16.6,11.700000000000001,28.199999999999996,16.2,13.4,20.5,16.39878044245974
air.n,44.6,61.5,35.0,11.200000000000001,17.1,8.4,22.34994407151839
moment.n,35.0,25.900000000000002,54.300000000000004,1.4000000000000001,1.0,2.1999999999999997,7.000000000000001
tour.n,20.200000000000003,16.2,26.700000000000003,15.7,13.700000000000001,18.5,17.808424972467385
movement.n,25.2,17.1,47.4,14.000000000000002,10.5,21.0,18.782971010998235
body.n,42.9,57.699999999999996,34.1,2.7,3.9,2.0,10.762434668791258
guarantee.n,25.1,17.9,42.3,27.1,21.7,36.1,26.080835876175442
class.n,34.1,27.900000000000002,43.8,23.5,21.5,26.0,28.308126041827638
road.n,45.1,52.800000000000004,39.4,9.1,12.4,7.1,20.258578429889894
speed.n,57.3,57.99999999999999,56.599999999999994,12.1,13.4,11.1,26.33116024788881
foundation.n,28.599999999999998,19.900000000000002,50.9,13.100000000000001,10.0,19.1,19.356135978030327
idea.n,38.9,50.9,31.5,3.2,4.6,2.5,11.157060544785082
entry.n,18.2,11.799999999999999,40.2,16.3,12.3,24.3,17.223820714347905
flight.n,41.699999999999996,53.300000000000004,34.300000000000004,6.4,8.9,5.0,16.33646228532971
origin.n,60.5,57.099999999999994,64.2,43.6,42.5,44.7,51.35951713168651
note.n,21.5,14.499999999999998,41.3,27.700000000000003,22.6,35.9,24.403893132039407
rally.n,31.3,22.1,53.6,11.1,7.9,18.8,18.639474241512286
gas.n,62.9,59.0,67.30000000000001,28.299999999999997,29.4,27.200000000000003,42.19087579086265
chip.n,24.0,15.6,52.5,13.600000000000001,9.9,21.7,18.066543665017946
mark.n,18.6,11.5,48.5,18.9,13.8,30.2,18.749399990399695
margin.n,33.900000000000006,52.800000000000004,24.9,10.4,16.400000000000002,7.6,18.77658115845374
function.n,46.800000000000004,62.3,37.5,12.0,17.8,9.0,23.6981011897578
legislation.n,31.5,23.5,48.0,1.4000000000000001,1.0999999999999999,2.3,6.640783086353597
screen.n,25.3,20.200000000000003,33.800000000000004,27.6,24.4,31.900000000000002,26.424988174074933
commission.n,69.69999999999999,82.39999999999999,60.3,31.7,42.699999999999996,25.2,47.00521247691579
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,45.300000000000004,55.800000000000004,38.1,2.4,3.3000000000000003,1.9,10.426888318189661
dealer.n,24.6,15.7,57.699999999999996,20.599999999999998,14.899999999999999,33.300000000000004,22.51133048044917
community.n,42.1,61.1,32.1,5.5,8.5,4.1000000000000005,15.216767067941863
house.n,59.3,61.8,56.89999999999999,6.6000000000000005,8.6,5.3,19.783326312832227
shape.n,31.8,23.5,49.3,34.0,28.1,42.9,32.88160580020386
access.n,28.499999999999996,23.400000000000002,36.5,13.600000000000001,11.799999999999999,16.0,19.68755952371954
field.n,63.2,76.2,54.1,32.6,47.0,24.9,45.390747955943624
edge.n,20.7,16.0,29.299999999999997,41.4,36.1,48.4,29.274220741123067
cell.n,64.3,64.5,64.1,35.099999999999994,44.4,28.999999999999996,47.50715735549749
officer.n,70.39999999999999,61.4,82.5,49.3,43.7,56.49999999999999,58.91281694164691
market.n,48.199999999999996,50.9,45.800000000000004,0.7000000000000001,0.8,0.6,5.808614292583043
promotion.n,64.60000000000001,67.80000000000001,61.7,43.9,46.800000000000004,41.3,53.253544482973155
accounting.n,25.2,16.6,52.5,27.700000000000003,21.3,39.7,26.420446627564797
television.n,29.599999999999998,20.9,50.4,9.0,6.9,12.9,16.321764610482532
campaign.n,49.3,59.8,42.0,8.799999999999999,11.700000000000001,7.1,20.828826179120128
cheat.v,44.4,34.599999999999994,62.2,19.7,14.299999999999999,31.5,29.57498943364139
assemble.v,48.0,47.599999999999994,48.5,0.5,0.5,0.5,4.898979485566356
root.v,17.5,11.1,41.199999999999996,43.2,32.4,64.8,27.49545416973504
reveal.v,52.0,55.60000000000001,48.8,3.4000000000000004,3.6999999999999997,3.1,13.29661611087573
haunt.v,19.5,11.4,66.7,33.900000000000006,22.3,70.1,25.710892633278995
operate.v,49.1,42.1,58.9,4.9,4.0,6.3,15.510963864312238
frame.v,41.9,55.300000000000004,33.800000000000004,34.5,41.9,29.299999999999997,38.02038926681314
assert.v,39.2,40.1,38.3,10.299999999999999,10.4,10.2,20.093780132170252
introduce.v,64.60000000000001,58.599999999999994,71.89999999999999,17.8,16.900000000000002,18.7,33.909880565994335
