,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,55.1,64.3,48.3,0.6,0.8,0.5,5.749782604586021
address.n,27.900000000000002,19.5,49.5,32.7,26.3,43.1,30.20480094289648
camp.n,30.7,23.9,43.0,16.7,14.2,20.200000000000003,22.642658854472014
innovation.n,32.5,21.0,71.6,28.999999999999996,19.5,56.699999999999996,30.7001628660175
mind.n,31.5,49.8,23.0,1.4000000000000001,2.3,1.0,6.640783086353597
park.n,25.900000000000002,17.7,48.1,33.2,26.400000000000002,44.800000000000004,29.32371054283547
reputation.n,18.4,13.4,28.999999999999996,7.9,6.4,10.5,12.056533498481228
gap.n,35.4,28.4,46.9,15.8,13.4,19.1,23.64994714581832
challenge.n,49.3,50.4,48.3,2.6,3.3000000000000003,2.1,11.321660655575224
failure.n,25.7,21.099999999999998,32.800000000000004,22.400000000000002,19.8,25.8,23.993332407150117
air.n,42.3,58.4,33.1,12.4,18.8,9.2,22.902401620790776
moment.n,52.6,52.2,52.900000000000006,0.8999999999999999,0.8999999999999999,0.8999999999999999,6.880406964707829
tour.n,17.0,12.8,25.3,19.5,16.1,24.7,18.207141456033124
movement.n,51.4,59.4,45.300000000000004,10.7,13.900000000000002,8.6,23.451652393807986
body.n,42.9,56.99999999999999,34.4,2.7,3.9,2.1,10.762434668791258
guarantee.n,25.900000000000002,17.7,48.699999999999996,26.700000000000003,20.8,37.2,26.296957998977753
class.n,37.9,54.50000000000001,29.099999999999998,8.200000000000001,13.600000000000001,5.8999999999999995,17.628953457309937
road.n,46.9,52.5,42.3,9.4,12.4,7.6,20.996666402074403
speed.n,25.4,15.8,63.9,24.099999999999998,16.900000000000002,42.3,24.741463174194042
foundation.n,51.9,51.0,52.900000000000006,9.9,11.1,8.9,22.667377439836308
idea.n,38.3,50.0,31.1,2.1999999999999997,3.1,1.7000000000000002,9.179324593890335
entry.n,22.7,16.3,37.4,24.6,18.9,35.099999999999994,23.63091195870358
flight.n,23.200000000000003,16.7,38.1,15.299999999999999,12.5,19.6,18.8403821617291
origin.n,61.1,63.7,58.599999999999994,39.5,40.400000000000006,38.7,49.126876554488994
note.n,29.7,21.9,45.9,24.9,21.5,29.5,27.19430087352863
rally.n,32.4,21.9,62.0,17.9,12.6,31.1,24.082358688467373
