,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,23.200000000000003,14.6,55.7,9.6,6.7,16.5,14.923806484942105
address.n,19.5,12.2,48.5,33.6,25.5,49.0,25.59687480924185
camp.n,68.10000000000001,85.9,56.39999999999999,36.3,50.9,28.299999999999997,49.7195132719539
innovation.n,33.2,21.4,74.7,30.8,20.7,59.699999999999996,31.977492084277028
mind.n,31.900000000000002,49.4,23.5,1.0999999999999999,1.9,0.8,5.923681287847955
park.n,28.199999999999996,20.9,43.1,34.2,27.800000000000004,44.3,31.05543430705808
reputation.n,38.5,45.5,33.300000000000004,0.3,0.4,0.2,3.3985290935932855
gap.n,20.8,13.100000000000001,50.7,24.5,17.8,38.9,22.57432169523594
challenge.n,49.1,50.5,47.699999999999996,5.0,6.4,4.1000000000000005,15.668439615992398
failure.n,23.5,17.299999999999997,36.5,25.5,21.4,31.4,24.479583329787296
air.n,41.6,57.8,32.5,11.600000000000001,17.8,8.6,21.96724834839357
moment.n,54.400000000000006,53.300000000000004,55.60000000000001,2.8000000000000003,2.7,2.8000000000000003,12.341798896433211
tour.n,16.400000000000002,11.5,28.799999999999997,25.900000000000002,20.8,34.2,20.609706451087558
movement.n,25.3,16.1,59.199999999999996,21.2,15.2,35.099999999999994,23.1594473163761
body.n,42.699999999999996,59.3,33.300000000000004,1.9,2.9000000000000004,1.4000000000000001,9.007219326740078
guarantee.n,49.6,44.1,56.599999999999994,36.199999999999996,32.4,41.099999999999994,42.373576672261215
class.n,26.5,19.400000000000002,41.9,27.400000000000002,23.799999999999997,32.300000000000004,26.9462427807663
road.n,45.2,51.300000000000004,40.5,10.0,13.3,8.0,21.2602916254693
speed.n,30.3,19.900000000000002,63.6,22.900000000000002,16.5,37.8,26.341412262822967
foundation.n,49.9,48.4,51.4,1.9,2.1,1.7000000000000002,9.737042672187485
idea.n,38.800000000000004,51.5,31.1,2.5,3.5999999999999996,1.9,9.848857801796106
entry.n,26.200000000000003,19.0,42.0,23.400000000000002,18.4,32.1,24.76045233835602
