,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,50.5,50.6,50.4,1.4000000000000001,1.6,1.3,8.408329203831164
address.n,23.5,14.499999999999998,62.3,42.699999999999996,32.300000000000004,63.0,31.67727892354392
camp.n,59.3,77.10000000000001,48.199999999999996,17.8,25.8,13.5,32.48907508686574
innovation.n,26.1,16.7,60.5,17.9,11.899999999999999,36.0,21.61457841365406
mind.n,32.6,50.6,24.099999999999998,2.7,4.3999999999999995,2.0,9.381897462667133
park.n,35.699999999999996,29.099999999999998,46.300000000000004,36.9,31.2,45.0,36.29504098358341
reputation.n,14.899999999999999,9.700000000000001,31.7,17.4,13.100000000000001,25.6,16.101552720157144
gap.n,26.5,17.5,55.300000000000004,24.7,18.4,37.5,25.58417479615084
challenge.n,54.2,55.400000000000006,53.0,11.200000000000001,14.099999999999998,9.3,24.63818175109519
failure.n,25.2,19.3,36.1,18.8,16.3,22.2,21.766028576660464
air.n,29.599999999999998,25.5,35.3,16.1,15.2,17.1,21.8302542358077
moment.n,34.599999999999994,24.7,57.599999999999994,7.5,5.4,12.4,16.10900369358701
tour.n,20.599999999999998,14.2,37.5,35.4,28.1,47.9,27.004444078706747
movement.n,20.7,13.0,50.6,18.0,12.8,30.099999999999998,19.302849530574495
body.n,37.7,38.9,36.5,6.4,6.800000000000001,6.0,15.53319027115808
guarantee.n,25.3,18.4,40.1,21.2,17.1,28.000000000000004,23.1594473163761
class.n,22.1,16.0,35.8,23.7,20.3,28.499999999999996,22.886021934796794
road.n,46.6,52.1,42.1,6.9,9.1,5.6000000000000005,17.931536465122
speed.n,20.4,12.9,49.7,17.4,12.2,30.8,18.840382161729096
foundation.n,17.4,10.6,48.699999999999996,12.3,8.6,21.7,14.62942240828393
idea.n,38.5,50.8,31.0,2.5,3.5000000000000004,1.9,9.810708435174291
entry.n,24.099999999999998,16.3,46.1,26.400000000000002,20.3,37.8,25.223798286538845
flight.n,39.6,50.4,32.6,2.0,2.7,1.5,8.899438184514796
origin.n,49.3,38.5,68.60000000000001,44.0,35.4,58.3,46.57467122803982
note.n,31.3,22.0,54.300000000000004,32.0,27.1,39.2,31.648064711763972
rally.n,24.5,16.2,50.6,8.7,6.0,15.9,14.599657530229946
gas.n,21.3,12.8,62.3,12.4,8.4,24.0,16.25176913446656
chip.n,27.0,18.6,49.3,12.8,9.5,19.5,18.5903200617956
mark.n,26.6,17.9,51.7,19.3,14.899999999999999,27.500000000000004,22.657890457851543
margin.n,28.499999999999996,22.1,40.1,37.5,32.4,44.4,32.69174207655505
function.n,21.8,14.6,43.3,32.800000000000004,26.1,44.2,26.740231861373232
legislation.n,20.200000000000003,12.8,47.199999999999996,3.8,2.5,7.3999999999999995,8.761278445523804
screen.n,17.8,12.6,30.0,33.4,27.1,43.4,24.382780809415483
commission.n,22.8,15.299999999999999,44.800000000000004,14.6,10.8,22.5,18.244999314880776
display.n,25.4,17.4,47.3,30.099999999999998,23.799999999999997,40.699999999999996,27.650316453885296
office.n,27.400000000000002,21.3,38.7,4.0,3.4000000000000004,4.7,10.469001862641921
dealer.n,22.7,14.6,50.9,18.8,13.700000000000001,30.099999999999998,20.658170296519486
