,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,37.3,29.5,50.6,6.1,5.0,7.7,15.08409758653132
address.n,25.7,16.400000000000002,59.699999999999996,37.5,28.9,53.2,31.044323152550774
camp.n,45.0,58.5,36.6,5.0,7.199999999999999,3.8,15.0
innovation.n,25.900000000000002,15.9,68.8,21.7,14.399999999999999,43.8,23.70717191062654
mind.n,25.0,27.6,22.900000000000002,7.9,8.7,7.199999999999999,14.053469322555197
park.n,53.800000000000004,75.9,41.699999999999996,28.999999999999996,43.6,21.7,39.499367083536924
reputation.n,14.799999999999999,9.700000000000001,31.0,16.900000000000002,12.8,24.9,15.81518257877537
gap.n,21.9,13.8,53.800000000000004,22.900000000000002,16.7,36.4,22.394418947586026
challenge.n,49.9,51.1,48.9,2.8000000000000003,3.5000000000000004,2.3,11.820321484629764
failure.n,22.7,17.1,33.7,15.299999999999999,13.3,17.9,18.63625498859682
air.n,42.699999999999996,58.599999999999994,33.6,11.600000000000001,17.599999999999998,8.6,22.255785764605122
moment.n,52.7,52.6,52.900000000000006,0.1,0.1,0.1,2.2956480566497994
tour.n,14.399999999999999,9.5,29.799999999999997,23.3,18.5,31.6,18.317205026968498
movement.n,19.400000000000002,12.1,48.699999999999996,15.6,11.1,26.200000000000003,17.396551382386107
body.n,41.0,51.2,34.2,2.1999999999999997,3.1,1.7999999999999998,9.497368056467012
guarantee.n,22.8,16.3,37.6,23.1,18.5,30.9,22.949509798686336
class.n,22.8,17.4,33.0,19.5,17.299999999999997,22.3,21.085540068966694
road.n,45.0,50.4,40.699999999999996,4.2,5.5,3.4000000000000004,13.74772708486752
speed.n,26.1,16.6,61.0,19.8,13.900000000000002,34.8,22.732795692567162
foundation.n,20.0,12.4,50.6,11.799999999999999,8.4,20.0,15.362291495737216
idea.n,38.6,50.6,31.2,1.7999999999999998,2.5,1.4000000000000001,8.335466393669883
entry.n,23.400000000000002,16.0,43.2,25.0,19.2,35.6,24.186773244895647
flight.n,23.200000000000003,16.2,41.199999999999996,16.2,13.0,21.6,19.386593305684215
origin.n,54.7,63.7,47.9,29.5,36.5,24.7,40.170262632947775
note.n,27.900000000000002,19.1,51.9,30.8,25.3,39.4,29.31416040073466
rally.n,22.6,14.6,49.7,7.000000000000001,4.8,13.4,12.5777581468241
gas.n,60.0,56.49999999999999,64.1,22.400000000000002,23.400000000000002,21.5,36.660605559646726
chip.n,21.4,13.600000000000001,50.1,12.4,8.9,20.5,16.28987415543779
mark.n,28.999999999999996,20.1,51.9,19.3,15.5,25.4,23.657979626333265
margin.n,30.0,21.9,47.4,40.1,34.0,48.9,34.68429039204925
function.n,19.6,13.600000000000001,35.099999999999994,25.3,20.3,33.5,22.268363208821615
legislation.n,21.0,13.100000000000001,52.2,5.4,3.6999999999999997,10.7,10.648943609579309
screen.n,14.899999999999999,10.100000000000001,28.599999999999998,28.000000000000004,22.5,37.2,20.42547429069886
commission.n,38.2,32.5,46.2,5.0,4.7,5.5,13.820274961085254
display.n,30.8,24.7,40.9,21.3,18.9,24.5,25.613277806637715
office.n,42.4,50.4,36.6,1.7000000000000002,2.3,1.4000000000000001,8.48999411071645
dealer.n,19.3,12.4,43.7,13.0,9.4,21.099999999999998,15.839823231336895
community.n,40.8,54.6,32.5,6.9,9.9,5.3,16.778557744931476
house.n,59.599999999999994,58.4,60.8,6.1,7.3999999999999995,5.1,19.06724940834414
shape.n,31.3,26.5,38.2,22.2,20.5,24.3,26.360197267850634
access.n,23.7,19.1,31.3,18.8,16.3,22.3,21.10829220946119
field.n,41.699999999999996,53.2,34.300000000000004,6.0,9.0,4.3999999999999995,15.817711591756881
edge.n,23.5,17.0,38.3,46.0,39.4,55.300000000000004,32.87856444554719
cell.n,24.4,15.8,53.900000000000006,28.199999999999996,21.4,41.3,26.231279038582922
officer.n,56.699999999999996,64.60000000000001,50.6,30.7,38.0,25.7,41.721577151397334
market.n,48.6,51.1,46.300000000000004,1.6,1.9,1.4000000000000001,8.818163074019441
promotion.n,47.0,44.6,49.5,37.9,38.4,37.4,42.20544988505631
accounting.n,32.0,25.4,43.4,15.299999999999999,12.8,19.1,22.12690669750293
television.n,46.400000000000006,51.1,42.5,1.4000000000000001,1.6,1.2,8.059776671843954
campaign.n,43.6,49.4,39.0,1.7000000000000002,2.1999999999999997,1.5,8.609297300012354
cheat.v,55.300000000000004,48.1,65.0,17.599999999999998,15.2,20.9,31.197435792064706
assemble.v,48.6,48.199999999999996,49.1,1.3,1.3,1.3,7.948584779695063
root.v,12.8,7.9,33.300000000000004,35.9,27.200000000000003,52.800000000000004,21.43641761115882
reveal.v,48.6,49.5,47.8,1.7000000000000002,1.7999999999999998,1.6,9.08955444452587
haunt.v,11.899999999999999,7.1,35.699999999999996,17.4,11.5,35.5,14.38957956300322
operate.v,53.800000000000004,52.0,55.800000000000004,4.9,4.8,5.0,16.236378906640486
frame.v,38.800000000000004,55.300000000000004,29.9,15.4,22.400000000000002,11.700000000000001,24.444222221212115
assert.v,52.5,77.8,39.7,4.8,8.1,3.4000000000000004,15.874507866387544
