,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,51.800000000000004,55.7,48.4,5.7,6.800000000000001,5.0,17.183131262956703
address.n,24.9,16.0,56.00000000000001,36.8,28.499999999999996,51.9,30.27077798802006
camp.n,63.5,85.39999999999999,50.6,28.4,43.1,21.099999999999998,42.46645735165579
innovation.n,27.200000000000003,16.7,74.2,25.7,16.900000000000002,53.2,26.43936459145719
mind.n,35.0,57.49999999999999,25.1,7.9,13.5,5.6000000000000005,16.62828914831589
park.n,23.5,16.3,42.199999999999996,24.5,19.7,32.2,23.994791101403653
reputation.n,24.3,20.1,30.7,3.0,2.7,3.5000000000000004,8.538149682454625
gap.n,24.6,15.9,54.900000000000006,29.099999999999998,21.4,45.5,26.755560169803957
challenge.n,49.7,50.3,49.2,3.4000000000000004,4.2,2.8000000000000003,12.999230746471117
failure.n,25.0,18.7,37.5,28.1,24.0,34.0,26.504716561397142
air.n,42.699999999999996,58.599999999999994,33.6,10.299999999999999,15.6,7.7,20.971647527078073
moment.n,52.7,52.1,53.2,1.7000000000000002,1.7000000000000002,1.7000000000000002,9.465199416811037
tour.n,12.2,8.1,25.0,21.8,17.1,29.9,16.30828010551695
movement.n,52.400000000000006,62.6,45.1,15.6,21.4,12.3,28.59090764561349
body.n,42.9,57.49999999999999,34.300000000000004,3.2,4.7,2.5,11.716654812701448
guarantee.n,22.1,15.6,38.0,25.6,20.200000000000003,34.9,23.78570999570961
class.n,34.4,24.6,56.89999999999999,34.0,28.999999999999996,41.099999999999994,34.199415199678484
road.n,51.300000000000004,57.599999999999994,46.300000000000004,17.299999999999997,22.8,14.000000000000002,29.790770382788022
speed.n,57.3,57.99999999999999,56.599999999999994,12.1,13.4,11.1,26.33116024788881
foundation.n,29.799999999999997,20.9,52.0,11.4,8.799999999999999,16.2,18.43149478474277
idea.n,39.0,51.0,31.5,3.2,4.6,2.5,11.171392035015154
entry.n,19.6,13.3,37.6,15.2,11.799999999999999,21.3,17.260359208313133
flight.n,26.1,18.0,47.5,26.0,20.599999999999998,35.099999999999994,26.049952015310893
origin.n,44.4,33.0,68.2,46.7,37.7,61.199999999999996,45.535480671669646
note.n,26.0,17.8,48.6,29.099999999999998,23.9,37.2,27.50636290024546
rally.n,19.400000000000002,11.799999999999999,53.6,12.0,7.9,24.3,15.257784898208522
gas.n,62.8,58.9,67.2,25.5,26.5,24.5,40.017496173548885
chip.n,21.6,13.5,53.0,13.5,9.6,22.6,17.07629936490925
mark.n,26.8,17.9,53.2,23.200000000000003,17.599999999999998,33.800000000000004,24.93511580081392
margin.n,34.300000000000004,47.699999999999996,26.700000000000003,22.0,28.4,17.9,27.46998361848802
function.n,20.599999999999998,14.6,35.4,26.8,22.0,34.4,23.49638270032219
legislation.n,35.199999999999996,27.400000000000002,49.1,2.9000000000000004,2.1,4.3,10.103464752252071
screen.n,19.5,15.1,27.3,23.0,20.0,27.1,21.17781858454737
commission.n,37.9,26.3,68.2,34.2,26.400000000000002,48.699999999999996,36.002499913200474
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,43.7,52.300000000000004,37.5,2.8000000000000003,3.6999999999999997,2.1999999999999997,11.061645447219867
dealer.n,21.4,13.5,51.2,17.299999999999997,12.5,28.199999999999996,19.241101839551703
community.n,46.6,51.2,42.8,19.2,21.099999999999998,17.5,29.911870553343867
house.n,56.89999999999999,55.300000000000004,58.599999999999994,5.800000000000001,7.000000000000001,4.9,18.16645259812713
shape.n,35.099999999999994,26.8,50.6,39.6,33.2,49.1,37.28216731897436
access.n,37.3,48.6,30.2,5.8999999999999995,8.1,4.6,14.834756486036431
field.n,61.7,74.3,52.800000000000004,31.3,45.1,23.9,43.945534471661624
edge.n,26.400000000000002,24.5,28.599999999999998,29.599999999999998,28.999999999999996,30.099999999999998,27.954248335449837
cell.n,71.89999999999999,77.5,67.0,28.000000000000004,38.2,22.1,44.86869732898427
officer.n,68.8,77.0,62.2,50.4,61.6,42.699999999999996,58.88565190264943
market.n,48.199999999999996,50.6,46.0,1.2,1.4000000000000001,1.0999999999999999,7.6052613367326165
promotion.n,48.8,33.900000000000006,87.2,62.8,48.9,87.4,55.35919074553023
accounting.n,25.7,16.6,57.099999999999994,34.8,26.3,51.4,29.905852270082523
television.n,29.9,21.3,50.0,8.9,6.9,12.8,16.312878348102764
campaign.n,47.699999999999996,62.1,38.7,3.0,4.3,2.3,11.962441222426131
cheat.v,48.3,34.599999999999994,80.0,24.4,17.1,42.9,34.32957908276767
assemble.v,20.599999999999998,12.4,60.3,15.6,10.299999999999999,32.2,17.926516672237245
root.v,73.8,93.7,60.8,51.6,76.4,38.9,61.7096426824852
reveal.v,48.8,49.9,47.699999999999996,1.6,1.7000000000000002,1.5,8.836288813749809
haunt.v,17.5,10.0,70.0,33.5,22.0,70.1,24.212600025606502
operate.v,43.9,35.5,57.599999999999994,4.1000000000000005,3.3000000000000003,5.5,13.416035181826262
