,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,42.199999999999996,35.199999999999996,52.800000000000004,6.2,5.5,7.199999999999999,16.175289796476598
address.n,22.8,14.499999999999998,52.800000000000004,34.9,26.700000000000003,50.4,28.20850935444835
camp.n,68.10000000000001,85.9,56.39999999999999,36.3,50.9,28.299999999999997,49.7195132719539
innovation.n,69.0,73.6,65.10000000000001,22.400000000000002,23.7,21.2,39.31411960097797
mind.n,32.7,52.800000000000004,23.7,4.9,8.200000000000001,3.5000000000000004,12.658198924017588
park.n,23.200000000000003,16.7,38.2,31.0,24.9,41.199999999999996,26.817904466978774
reputation.n,28.1,20.9,43.1,21.099999999999998,16.7,28.499999999999996,24.349743325135893
gap.n,34.2,26.1,49.7,21.8,18.099999999999998,27.500000000000004,27.30494460715861
challenge.n,49.8,49.8,49.7,4.5,5.6000000000000005,3.8,14.969969939849578
failure.n,24.7,19.3,34.2,20.0,17.9,22.8,22.22611077089287
air.n,41.9,46.5,38.1,17.5,20.200000000000003,15.4,27.07858932810201
moment.n,53.6,51.9,55.400000000000006,4.8,4.7,5.0,16.039950124610737
tour.n,17.1,12.8,25.7,16.7,14.000000000000002,20.8,16.898816526609192
movement.n,55.7,57.99999999999999,53.6,25.3,29.5,22.1,37.53944592025833
body.n,42.8,57.4,34.2,2.4,3.5000000000000004,1.7999999999999998,10.13508756745594
guarantee.n,32.300000000000004,25.900000000000002,42.9,25.6,21.9,31.0,28.755521208978287
class.n,32.800000000000004,30.3,35.8,22.7,22.8,22.5,27.286626761107723
road.n,48.699999999999996,54.7,43.9,14.2,18.7,11.4,26.29714813435099
speed.n,30.599999999999998,20.0,64.4,24.3,17.5,40.0,27.26866333357761
foundation.n,19.3,11.899999999999999,52.2,15.9,11.1,27.700000000000003,17.517705329180533
idea.n,39.0,51.0,31.5,3.4000000000000004,4.9,2.6,11.515207336387826
entry.n,18.3,12.3,35.8,14.000000000000002,10.8,20.1,16.006248779773482
flight.n,24.0,16.400000000000002,45.2,23.0,18.099999999999998,31.4,23.49468024894146
origin.n,62.7,63.7,61.7,49.9,50.8,49.0,55.93505162239506
note.n,25.5,17.0,51.1,32.0,25.900000000000002,41.8,28.5657137141714
rally.n,21.099999999999998,12.8,59.599999999999994,18.3,12.1,37.4,19.650190838767955
gas.n,60.699999999999996,57.099999999999994,64.8,25.900000000000002,27.0,24.8,39.6500945774408
chip.n,25.7,16.8,55.00000000000001,16.0,11.600000000000001,25.900000000000002,20.27806696901852
mark.n,23.7,14.799999999999999,60.699999999999996,26.1,19.1,41.5,24.871067528355113
margin.n,22.3,16.5,34.2,31.0,26.400000000000002,37.5,26.29258450590204
function.n,19.400000000000002,13.100000000000001,37.7,26.200000000000003,20.9,35.099999999999994,22.54506597905626
legislation.n,40.2,33.800000000000004,49.6,1.6,1.3,2.1,8.019975062305368
screen.n,21.8,15.1,39.1,39.1,31.6,51.2,29.1955476057566
commission.n,24.0,14.7,64.3,31.8,22.8,52.300000000000004,27.62607463973121
display.n,48.699999999999996,78.5,35.3,12.9,23.400000000000002,8.9,25.06451675177481
office.n,43.3,51.9,37.1,1.5,2.0,1.2,8.059156283383516
dealer.n,22.8,14.399999999999999,54.2,23.799999999999997,17.2,38.6,23.294634575369496
community.n,41.199999999999996,54.0,33.4,6.5,9.2,5.1,16.364595931461306
house.n,28.199999999999996,18.2,63.0,18.2,13.700000000000001,26.8,22.654800815721156
shape.n,35.8,29.2,46.300000000000004,41.699999999999996,35.9,49.6,38.637546505957125
access.n,27.500000000000004,22.5,35.3,18.9,16.400000000000002,22.3,22.798026230355994
field.n,62.4,75.2,53.300000000000004,30.4,43.8,23.200000000000003,43.55410428421184
edge.n,22.900000000000002,17.9,31.7,41.5,36.8,47.699999999999996,30.827747241730137
cell.n,34.699999999999996,23.1,69.3,29.2,23.1,39.800000000000004,31.831431007731965
officer.n,67.9,76.1,61.3,49.4,60.4,41.8,57.91597361695649
market.n,48.9,51.1,46.800000000000004,2.4,2.8000000000000003,2.1,10.833282051160673
promotion.n,67.2,66.9,67.5,47.5,49.1,46.0,56.49778756730214
accounting.n,26.400000000000002,17.1,57.9,38.3,28.7,57.49999999999999,31.79811315156923
television.n,42.199999999999996,42.199999999999996,42.3,2.1,2.1,2.1999999999999997,9.413819628609845
campaign.n,49.9,68.8,39.1,4.5,7.1,3.3000000000000003,14.984992492490612
cheat.v,44.4,34.599999999999994,62.2,19.7,14.299999999999999,31.5,29.57498943364139
assemble.v,47.699999999999996,47.3,48.1,0.0,0.0,0.0,0.0
root.v,63.0,92.10000000000001,47.9,28.1,55.800000000000004,18.7,42.07493315502712
reveal.v,51.300000000000004,53.7,49.2,3.8,4.1000000000000005,3.5999999999999996,13.962091533864115
haunt.v,30.4,20.0,63.6,31.8,22.1,56.99999999999999,31.09212118849404
operate.v,54.1,52.0,56.39999999999999,4.9,4.7,5.1,16.28158468945821
frame.v,40.5,68.10000000000001,28.799999999999997,4.5,7.8,3.2,13.5
assert.v,39.2,40.1,38.3,10.299999999999999,10.4,10.2,20.093780132170252
introduce.v,65.2,59.5,72.2,19.900000000000002,19.0,20.9,36.02054969041978
swear.v,39.2,66.8,27.800000000000004,9.3,17.599999999999998,6.3,19.0934543757802
bow.v,32.1,24.6,45.9,48.199999999999996,40.8,58.9,39.33471748976977
figure.v,61.1,74.3,51.800000000000004,30.5,41.199999999999996,24.2,43.16885451341047
analyze.v,61.8,48.3,85.9,9.2,6.3,17.2,23.844496220302076
expose.v,56.3,65.2,49.5,1.7000000000000002,1.9,1.5,9.78314877736202
conclude.v,48.1,63.0,38.9,15.2,21.3,11.799999999999999,27.039230758288966
appeal.v,46.1,64.3,35.9,14.000000000000002,20.0,10.8,25.404723970159566
owe.v,45.300000000000004,62.4,35.5,19.3,26.6,15.1,29.568395289565515
mount.v,27.400000000000002,47.099999999999994,19.3,9.2,14.799999999999999,6.6000000000000005,15.877027429591474
regain.v,41.699999999999996,27.800000000000004,83.3,29.7,19.900000000000002,58.5,35.19218663283087
relax.v,46.0,49.5,42.9,4.5,5.3,3.9,14.38749456993816
cultivate.v,48.3,50.7,46.1,9.8,12.4,8.200000000000001,21.756378375088076
violate.v,24.6,14.099999999999998,95.6,4.2,2.1999999999999997,38.1,10.16464460765845
commit.v,56.2,54.0,58.5,25.5,26.900000000000002,24.099999999999998,37.85630726840641
pour.v,36.9,35.0,39.0,29.7,27.0,32.800000000000004,33.104833483949136
deny.v,60.5,52.7,71.0,6.6000000000000005,5.8999999999999995,7.6,19.982492337043446
lay.v,42.1,38.0,47.3,28.4,27.400000000000002,29.5,34.57802770546637
shave.v,66.5,64.4,68.8,6.7,6.5,7.000000000000001,21.108055334397815
weigh.v,46.5,35.5,67.2,58.4,51.300000000000004,67.9,52.111419094091076
apply.v,38.5,54.400000000000006,29.7,5.1,7.5,3.8,14.012494424619765
level.v,52.300000000000004,66.10000000000001,43.3,33.1,44.9,26.200000000000003,41.60685039750065
presume.v,42.5,29.299999999999997,77.10000000000001,18.8,12.6,36.6,28.26658805020514
wait.v,65.9,49.9,97.1,0.7000000000000001,0.4,3.6999999999999997,6.7919069487147725
stick.v,40.2,54.900000000000006,31.8,4.6,6.5,3.5000000000000004,13.59852933224766
separate.v,20.0,11.5,75.5,11.200000000000001,6.7,33.300000000000004,14.966629547095767
reap.v,60.5,46.300000000000004,87.5,8.5,5.6000000000000005,17.5,22.677080940897135
signal.v,21.2,13.100000000000001,55.1,18.2,12.2,36.199999999999996,19.64281038955475
swim.v,17.9,9.9,89.7,6.5,3.5000000000000004,47.9,10.786565718522276
slow.v,67.60000000000001,55.00000000000001,87.6,0.8999999999999999,0.7000000000000001,1.6,7.8
question.v,26.5,17.8,52.400000000000006,5.7,3.9,10.299999999999999,12.290240030202828
happen.v,62.6,50.2,83.2,6.800000000000001,5.0,10.6,20.632013958894078
insist.v,56.10000000000001,59.4,53.2,8.7,9.1,8.4,22.092306353117596
observe.v,30.2,29.099999999999998,31.4,7.9,7.7,8.1,15.446035089951078
lie.v,51.300000000000004,38.0,78.9,8.3,6.0,13.600000000000001,20.634679546821175
deploy.v,41.5,44.6,38.800000000000004,17.4,16.900000000000002,17.9,26.871918427979793
accommodate.v,59.599999999999994,63.6,56.00000000000001,55.50000000000001,56.99999999999999,54.1,57.513476681556995
sniff.v,36.7,28.1,52.900000000000006,55.7,47.5,67.30000000000001,45.212719449287725
straighten.v,59.8,73.7,50.3,33.5,44.9,26.8,44.75823946492981
pursue.v,61.6,49.7,80.80000000000001,4.1000000000000005,3.1,6.4,15.892136420255145
defend.v,53.1,49.9,56.8,1.7000000000000002,1.6,1.7999999999999998,9.50105257326787
divide.v,49.3,77.2,36.199999999999996,13.700000000000001,27.700000000000003,9.1,25.988651369395836
mean,42.054000000000016,42.032,51.982000000000006,18.893,18.616,23.258000000000003,25.07676819007104
