,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,52.2,57.099999999999994,48.1,2.1999999999999997,2.7,1.9,10.71634265969505
address.n,18.2,11.799999999999999,39.7,24.0,18.4,34.2,20.89976076418101
camp.n,59.3,77.10000000000001,48.199999999999996,17.8,25.8,13.5,32.48907508686574
innovation.n,28.9,18.099999999999998,71.39999999999999,23.400000000000002,15.6,46.400000000000006,26.004999519323203
mind.n,33.0,51.4,24.3,2.9000000000000004,4.8,2.1,9.78263768111648
park.n,32.5,23.0,55.1,39.800000000000004,31.900000000000002,53.0,35.965261016708894
reputation.n,45.5,59.699999999999996,36.7,5.4,7.3,4.2,15.674820573135758
gap.n,21.2,13.8,46.2,15.299999999999999,11.4,23.400000000000002,18.00999722376436
challenge.n,49.7,51.1,48.3,4.3,5.4,3.5000000000000004,14.618823482072694
failure.n,19.900000000000002,14.099999999999998,33.7,19.5,16.2,24.5,19.698984745412645
air.n,41.3,56.599999999999994,32.5,9.0,13.600000000000001,6.7,19.279522815671555
moment.n,54.50000000000001,56.39999999999999,52.7,2.0,2.1,2.0,10.44030650891055
tour.n,40.300000000000004,55.400000000000006,31.7,5.3,8.0,3.9,14.614718608307175
movement.n,51.7,57.199999999999996,47.099999999999994,5.6000000000000005,7.000000000000001,4.7,17.015287244122565
body.n,35.099999999999994,35.199999999999996,35.099999999999994,5.6000000000000005,5.800000000000001,5.3,14.019985734657507
guarantee.n,27.3,19.8,43.9,29.5,23.5,39.800000000000004,28.37868918748715
class.n,22.0,16.3,33.800000000000004,17.9,15.5,21.099999999999998,19.844394674567425
road.n,47.699999999999996,53.800000000000004,42.9,11.0,14.499999999999998,8.799999999999999,22.906331002585286
speed.n,21.6,13.5,54.900000000000006,15.0,10.5,26.3,18.0
foundation.n,17.5,10.6,50.0,13.4,9.4,23.599999999999998,15.313392831113555
idea.n,38.7,50.5,31.3,3.0,4.3,2.3,10.774970997640782
entry.n,21.9,15.5,37.1,19.3,14.899999999999999,27.6,20.55893966137359
flight.n,35.699999999999996,36.8,34.699999999999996,8.5,9.1,7.9,17.419816302131316
origin.n,34.599999999999994,24.2,61.1,45.2,34.300000000000004,66.4,39.546428410161134
note.n,51.2,62.1,43.5,21.9,32.1,16.6,33.48551925833016
rally.n,22.6,13.8,62.5,15.9,10.6,32.4,18.956265454988756
gas.n,48.8,39.0,65.2,17.7,15.0,21.6,29.389794146948358
chip.n,24.2,16.400000000000002,46.1,6.7,5.0,10.2,12.733420593069248
mark.n,21.3,13.4,51.800000000000004,22.1,16.2,34.300000000000004,21.696313050838846
margin.n,25.7,20.200000000000003,35.3,33.1,28.799999999999997,38.800000000000004,29.166247616037275
function.n,15.2,10.100000000000001,30.8,27.700000000000003,22.0,37.5,20.51925924588897
legislation.n,39.5,33.2,48.9,1.0999999999999999,0.8999999999999999,1.5,6.591661399070799
screen.n,18.0,12.6,31.2,33.0,26.8,43.2,24.372115213907882
commission.n,22.2,14.000000000000002,53.0,22.2,16.1,35.4,22.2
display.n,27.800000000000004,21.099999999999998,40.9,24.9,20.8,30.8,26.310074116201193
office.n,45.0,54.1,38.6,5.8999999999999995,7.9,4.6,16.294170736800325
dealer.n,23.400000000000002,14.7,56.2,20.4,14.7,33.300000000000004,21.84856974723975
community.n,38.2,50.0,30.9,1.3,1.7999999999999998,1.0,7.046985170979148
house.n,52.400000000000006,49.9,55.2,2.6,3.1,2.3,11.672189169131899
shape.n,37.2,28.9,52.400000000000006,44.2,37.1,54.7,40.549229339162544
access.n,25.5,20.200000000000003,34.699999999999996,20.7,17.0,26.400000000000002,22.974986398254952
field.n,29.5,23.5,39.5,16.900000000000002,15.1,19.0,22.32823324851297
edge.n,23.3,17.9,33.300000000000004,43.5,37.8,51.1,31.836300036279344
cell.n,30.2,20.0,61.5,23.400000000000002,18.099999999999998,33.1,26.583453500250865
officer.n,52.2,61.6,45.300000000000004,26.8,34.300000000000004,22.0,37.40267370122088
market.n,49.2,51.7,46.9,2.6,3.0,2.1999999999999997,11.310172412478954
promotion.n,45.7,56.99999999999999,38.1,11.600000000000001,15.7,9.2,23.024334952393307
accounting.n,31.900000000000002,21.8,60.0,29.799999999999997,23.200000000000003,41.6,30.83212610249251
television.n,45.800000000000004,50.1,42.199999999999996,1.9,2.1999999999999997,1.6,9.328451104015071
campaign.n,45.2,52.7,39.6,2.8000000000000003,3.5999999999999996,2.3,11.249888888340188
cheat.v,45.6,32.1,78.8,34.4,23.400000000000002,65.0,39.606060142357
assemble.v,48.6,41.5,58.5,10.9,9.0,13.8,23.016081334579958
root.v,35.699999999999996,23.799999999999997,71.39999999999999,48.5,38.7,64.8,41.610695740398285
reveal.v,49.0,50.5,47.699999999999996,0.0,0.0,0.0,0.0
haunt.v,11.799999999999999,7.1,33.300000000000004,22.8,15.0,48.1,16.402438843050138
operate.v,52.6,50.8,54.6,2.3,2.3,2.4,10.999090871522064
frame.v,40.0,72.3,27.6,7.3999999999999995,14.299999999999999,5.0,17.204650534085253
assert.v,34.9,31.6,39.0,9.5,8.6,10.7,18.20851449185243
introduce.v,59.199999999999996,53.6,66.2,9.6,9.1,10.100000000000001,23.839463081202144
swear.v,20.599999999999998,15.8,29.9,28.999999999999996,24.6,35.199999999999996,24.44176753019306
bow.v,37.2,30.4,47.699999999999996,44.800000000000004,40.1,50.8,40.82352263095384
figure.v,62.8,77.0,53.0,34.300000000000004,46.6,27.1,46.41163647190217
analyze.v,63.2,49.7,86.6,0.2,0.2,0.4,3.5552777669262356
expose.v,21.4,13.5,50.8,14.099999999999998,9.5,27.0,17.370664926824187
conclude.v,45.6,59.699999999999996,36.8,11.200000000000001,15.7,8.7,22.599115026920856
appeal.v,45.4,65.3,34.8,12.2,18.0,9.2,23.534655298091792
owe.v,47.9,64.3,38.1,23.400000000000002,31.6,18.6,33.479247303366904
mount.v,30.099999999999998,51.4,21.3,12.3,19.7,8.9,19.241361698175105
regain.v,59.199999999999996,53.7,65.9,11.600000000000001,10.2,13.4,26.20534296665472
relax.v,51.0,55.1,47.5,11.799999999999999,13.8,10.2,24.53161225847172
cultivate.v,47.099999999999994,52.2,42.9,13.200000000000001,17.599999999999998,10.5,24.93431370621618
violate.v,19.2,10.7,95.1,4.8,2.5,46.300000000000004,9.6
commit.v,53.7,52.0,55.60000000000001,10.8,11.5,10.2,24.082358688467373
pour.v,42.5,57.599999999999994,33.7,9.2,12.9,7.1,19.773719933285186
deny.v,56.99999999999999,49.4,67.4,1.0999999999999999,1.0,1.3,7.91833315793166
lay.v,33.2,30.599999999999998,36.199999999999996,15.4,15.0,15.9,22.61150149813143
shave.v,56.49999999999999,53.2,60.199999999999996,17.2,16.1,18.4,31.17370686973238
weigh.v,38.0,27.3,62.4,51.4,43.7,62.3,44.19502234415093
apply.v,40.2,57.99999999999999,30.7,7.9,11.899999999999999,5.8999999999999995,17.820774393948206
level.v,33.0,25.4,46.9,47.3,40.5,56.89999999999999,39.50822699134953
presume.v,42.5,29.299999999999997,77.10000000000001,18.8,12.6,36.6,28.26658805020514
wait.v,66.10000000000001,50.1,97.1,0.0,0.0,0.2,0.0
stick.v,40.300000000000004,55.7,31.5,4.3999999999999995,6.4,3.4000000000000004,13.316155601373843
separate.v,48.6,35.3,77.9,11.1,7.8,19.400000000000002,23.226278221015093
reap.v,64.2,49.6,90.9,12.2,8.1,24.5,27.98642528083928
signal.v,27.0,17.599999999999998,57.3,16.0,10.9,29.9,20.784609690826528
swim.v,18.7,10.5,84.1,5.2,2.8000000000000003,37.3,9.86103442849684
slow.v,69.39999999999999,56.49999999999999,90.0,6.1,4.3,10.6,20.575227823769048
question.v,41.5,35.0,51.0,2.7,2.1999999999999997,3.5000000000000004,10.58536725862641
happen.v,62.8,50.2,83.7,5.4,3.9,8.4,18.415211103867367
insist.v,50.9,52.400000000000006,49.5,0.0,0.0,0.0,0.0
observe.v,41.0,52.2,33.800000000000004,7.9,11.0,6.2,17.997222007854436
lie.v,49.5,36.4,77.5,4.6,3.3000000000000003,7.7,15.08973160795115
deploy.v,51.9,66.2,42.6,16.3,21.8,13.0,29.085563429302862
accommodate.v,50.0,63.6,41.199999999999996,27.200000000000003,35.199999999999996,22.1,36.878177829171555
sniff.v,30.4,21.9,50.0,51.4,42.199999999999996,65.8,39.52922969145743
straighten.v,48.4,64.1,38.800000000000004,16.400000000000002,20.4,13.8,28.173746644704536
pursue.v,61.5,49.5,81.10000000000001,4.5,3.3000000000000003,7.000000000000001,16.635804759614125
defend.v,52.900000000000006,49.6,56.699999999999996,0.1,0.1,0.1,2.3000000000000003
divide.v,48.1,81.2,34.1,7.1,19.5,4.3999999999999995,18.479989177486008
mean,39.894,39.51499999999999,49.906000000000006,15.716,14.798,20.379,21.335614404411423
